src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,7,0,5,0,0,410.0
97,96,0,5,0,0,410.0
97,4,5,5,0,0,420.0
94,22,0,5,0,0,450.0
91,1,0,5,0,0,380.0
90,89,0,5,0,0,380.0
90,38,5,5,0,0,410.0
89,8,5,5,0,0,490.0
88,23,0,5,0,0,440.0
87,51,0,5,0,0,390.0
86,27,0,5,0,0,400.0
84,94,5,5,0,0,400.0
84,64,0,5,0,0,410.0
83,25,0,5,0,0,420.0
81,99,5,5,0,0,410.0
81,69,0,5,0,0,420.0
81,63,10,5,0,0,450.0
81,46,15,5,0,0,420.0
81,2,20,5,0,0,380.0
80,38,0,5,0,0,380.0
78,42,0,5,0,0,400.0
77,60,0,5,0,0,440.0
77,20,5,5,0,0,470.0
76,93,0,5,0,0,470.0
75,3,0,5,0,0,400.0
74,82,0,5,0,0,430.0
74,75,5,5,0,0,430.0
74,53,10,5,0,0,380.0
73,87,5,5,0,0,460.0
67,64,5,5,0,0,400.0
67,45,0,5,0,0,400.0
66,74,15,5,0,0,470.0
66,27,5,5,0,0,390.0
63,41,0,5,0,0,380.0
63,21,5,5,0,0,440.0
61,74,20,5,0,0,410.0
61,45,5,5,0,0,410.0
59,66,0,5,0,0,460.0
59,64,10,5,0,0,400.0
59,54,5,5,0,0,400.0
59,51,15,5,0,0,480.0
58,98,0,5,0,0,400.0
58,60,5,5,0,0,390.0
57,94,10,5,0,0,380.0
57,85,0,5,0,0,430.0
53,52,0,5,0,0,390.0
53,30,5,5,0,0,380.0
53,12,15,5,0,0,470.0
52,36,5,5,0,0,420.0
52,12,10,5,0,0,390.0
51,85,5,5,0,0,460.0
51,76,10,5,0,0,430.0
50,32,0,5,0,0,430.0
46,75,10,5,0,0,450.0
46,50,5,5,0,0,440.0
45,12,20,5,0,0,390.0
42,59,20,5,0,0,440.0
41,61,10,5,0,0,380.0
41,34,5,5,0,0,390.0
40,19,0,5,0,0,410.0
39,98,5,5,0,0,410.0
36,95,0,5,0,0,460.0
36,22,10,5,0,0,400.0
36,2,15,5,0,0,440.0
34,96,10,5,0,0,440.0
29,88,5,5,0,0,420.0
29,22,15,5,0,0,430.0
29,16,0,5,0,0,430.0
28,12,0,5,0,0,410.0
28,2,5,5,0,0,390.0
25,71,5,5,0,0,430.0
25,52,15,5,0,0,440.0
25,21,10,5,0,0,470.0
24,82,5,5,0,0,460.0
24,64,15,5,0,0,400.0
23,33,5,5,0,0,420.0
22,51,20,5,0,0,400.0
20,91,10,5,0,0,490.0
20,68,0,5,0,0,490.0
20,65,15,5,0,0,460.0
19,65,5,5,0,0,490.0
18,91,5,5,0,0,420.0
18,88,10,5,0,0,420.0
17,14,0,5,0,0,390.0
16,96,5,5,0,0,480.0
16,17,10,5,0,0,400.0
16,7,15,5,0,0,420.0
15,61,0,5,0,0,380.0
14,43,5,5,0,0,480.0
14,9,10,5,0,0,430.0
13,90,10,5,0,0,430.0
12,96,25,5,0,0,420.0
11,19,10,5,0,0,440.0
9,17,5,5,0,0,450.0
8,88,15,5,0,0,460.0
8,50,10,5,0,0,440.0
7,73,10,5,0,0,430.0
7,45,25,5,0,0,400.0
6,48,0,5,0,0,380.0
5,87,10,5,0,0,440.0
5,56,0,5,0,0,480.0
5,43,15,5,0,0,400.0
5,24,20,5,0,0,400.0
4,17,15,5,0,0,390.0
3,84,10,5,0,0,450.0
3,72,5,5,0,0,430.0
3,16,20,5,0,0,400.0
2,46,0,5,0,0,400.0
0,68,5,5,0,0,400.0
99,61,15,4,0,0,370.0
98,18,15,4,0,0,360.0
97,45,10,4,0,0,320.0
92,42,5,4,0,0,340.0
89,10,10,4,0,0,340.0
88,27,20,4,0,0,350.0
86,4,10,4,0,0,330.0
85,70,10,4,0,0,330.0
84,22,25,4,0,0,350.0
83,11,5,4,0,0,320.0
77,69,10,4,0,0,350.0
76,58,15,4,0,0,350.0
74,44,25,4,0,0,340.0
72,68,10,4,0,0,350.0
72,13,0,4,0,0,340.0
70,27,14,4,0,0,320.0
69,44,5,4,0,0,350.0
68,49,14,4,0,0,350.0
67,71,10,4,0,0,370.0
67,19,15,4,0,0,310.0
66,62,10,4,0,0,360.0
66,19,20,4,0,0,320.0
65,44,0,4,0,0,310.0
63,96,15,4,0,0,300.0
61,24,25,4,0,0,330.0
59,40,25,4,0,0,350.0
59,6,29,4,0,0,370.0
58,73,19,4,0,0,370.0
55,96,19,4,0,0,310.0
55,90,15,4,0,0,360.0
54,40,10,4,0,0,370.0
49,66,24,4,0,0,360.0
47,73,0,4,0,0,340.0
43,96,30,4,0,0,370.0
43,55,0,4,0,0,350.0
34,92,0,4,0,0,350.0
34,31,15,4,0,0,350.0
30,48,10,4,0,0,310.0
29,90,20,4,0,0,360.0
29,11,24,4,0,0,360.0
26,2,10,4,0,0,320.0
25,78,20,4,0,0,300.0
25,75,24,4,0,0,370.0
22,54,29,4,0,0,370.0
18,71,0,4,0,0,350.0
16,18,25,4,0,0,330.0
16,13,29,4,0,0,300.0
14,10,15,4,0,0,340.0
13,19,24,4,0,0,340.0
11,86,15,4,0,0,330.0
10,28,19,4,0,0,370.0
9,88,24,4,0,0,320.0
6,13,5,4,0,0,370.0
0,25,28,4,0,0,330.0
99,90,24,2,0,0,90.0
99,88,28,2,0,0,60.0
99,78,10,2,0,0,55.0
99,76,19,2,0,0,65.0
99,52,21,2,0,0,45.0
99,49,12,2,0,0,40.0
99,47,26,2,0,0,20.0
99,27,30,2,0,0,35.0
98,84,19,2,0,0,60.0
98,77,21,2,0,0,20.0
98,75,28,2,0,0,45.0
98,69,23,2,0,0,25.0
98,53,25,2,0,0,55.0
98,52,30,2,0,0,50.0
98,50,32,2,0,0,45.0
98,42,10,2,0,0,75.0
98,33,12,2,0,0,35.0
98,32,34,2,0,0,50.0
98,31,36,2,0,0,60.0
98,20,38,2,0,0,35.0
98,19,40,2,0,0,15.0
98,17,42,2,0,0,10.0
98,13,44,2,0,0,65.0
98,12,46,2,0,0,55.0
98,11,48,2,0,0,70.0
98,7,50,2,0,0,50.0
98,2,52,2,0,0,80.0
97,91,15,2,0,0,45.0
97,84,17,2,0,0,50.0
97,78,24,2,0,0,50.0
97,75,19,2,0,0,75.0
97,72,21,2,0,0,55.0
97,52,26,2,0,0,25.0
97,51,28,2,0,0,90.0
97,49,30,2,0,0,30.0
97,48,32,2,0,0,40.0
97,43,34,2,0,0,40.0
97,41,36,2,0,0,75.0
97,35,38,2,0,0,50.0
97,34,40,2,0,0,85.0
97,32,42,2,0,0,65.0
97,31,44,2,0,0,35.0
97,29,46,2,0,0,65.0
97,25,48,2,0,0,30.0
97,24,50,2,0,0,55.0
97,16,52,2,0,0,60.0
97,9,54,2,0,0,15.0
96,91,23,2,0,0,60.0
96,79,34,2,0,0,30.0
96,64,36,2,0,0,40.0
96,56,38,2,0,0,35.0
96,35,40,2,0,0,60.0
96,34,42,2,0,0,55.0
96,26,44,2,0,0,70.0
96,17,46,2,0,0,70.0
95,93,5,2,0,0,45.0
95,90,26,2,0,0,95.0
95,73,15,2,0,0,35.0
95,57,7,2,0,0,25.0
95,37,9,2,0,0,25.0
95,16,33,2,0,0,60.0
95,10,23,2,0,0,25.0
95,9,17,2,0,0,10.0
95,7,20,2,0,0,85.0
95,6,11,2,0,0,40.0
95,0,13,2,0,0,70.0
94,77,15,2,0,0,5.0
94,75,17,2,0,0,35.0
94,69,19,2,0,0,55.0
94,64,21,2,0,0,70.0
94,56,23,2,0,0,55.0
94,55,25,2,0,0,55.0
94,30,27,2,0,0,75.0
94,20,29,2,0,0,35.0
94,14,31,2,0,0,75.0
94,13,33,2,0,0,80.0
94,8,35,2,0,0,65.0
94,6,37,2,0,0,50.0
94,4,39,2,0,0,60.0
