,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1747.0,FF_a,1747.0,1823,90440.0,101948.0,1823.0,0.958310477235
1e-05,1748.905656,FF_a,1748.0,1823,90565.6,104472.0,1824.04472,0.958806347686
2e-05,1754.837136,FF_a,1753.0,1823,91856.8,104469.4,1825.089388,0.961507500695
4e-05,1747.656376,FF_a,1744.0,1823,91409.4,104472.0,1827.17888,0.956477986436
8e-05,1750.2804,FF_a,1743.0,1823,91005.0,104469.4,1831.357552,0.955728387441
0.0001,1757.1614,FF_a,1748.0,1823,91614.0,104472.0,1833.4472,0.958392147862
0.0002,1765.1724,FF_a,1747.0,1823,90862.0,104469.4,1843.89388,0.95730693569
0.0004,1784.92256,FF_a,1748.0,1823,92306.4,104472.0,1864.7888,0.957171428743
0.0008,1801.3688,FF_a,1725.0,1810,95461.0,120710.2,1906.56816,0.944822659789
0.001,1825.0022,FF_a,1729.0,1811,96002.2,120405.6,1931.4056,0.944908827022
0.002,1911.9132,FF_mix,1684.0,1812,113956.6,120459.0,2052.918,0.931314938054
0.004,2148.9376,FF_mix,1688.0,1807,115234.4,121279.6,2292.1184,0.937533418867
0.008,2674.8768,FF_mix,1486.0,1629,148609.6,155874.0,2875.992,0.930071015497
0.01,2970.484,FF_mix,1485.0,1630,148548.4,155914.4,3189.144,0.931436147129
0.02,4419.68,FF_mix,1467.0,1630,147634.0,155914.4,4748.288,0.930794425275
0.04,7409.16,FF_mix,1479.0,1629,148254.0,155874.0,7863.96,0.942166542048
0.08,13303.456,FF_mix,1472.0,1630,147893.2,155919.6,14103.568,0.943268823889
0.1,16236.22,FF_mix,1468.0,1631,147682.2,155962.6,17227.26,0.942472569637
0.2,31117.6,FF_mix,1478.0,1630,148198.0,155919.6,32813.92,0.94830486574
0.4,60715.6,FF_mix,1476.0,1629,148099.0,155871.4,63977.56,0.949013998033
1.0,149466.2,FF_mix,1474.0,1630,147992.2,155917.0,157547.0,0.948708639327
10.0,1479869.0,FF_mix,1471.0,1630,147839.8,155917.0,1560800.0,0.948147744746
