src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,65,0,5,0,0,408.0
98,25,0,5,0,0,386.0
97,27,0,5,0,0,412.0
96,94,0,5,0,0,404.0
95,79,0,5,0,0,400.0
95,71,5,5,0,0,410.0
95,46,10,5,0,0,404.0
95,36,15,5,0,0,408.0
95,16,20,5,0,0,396.0
94,37,5,5,0,0,404.0
94,22,10,5,0,0,400.0
94,4,15,5,0,0,392.0
93,96,5,5,0,0,398.0
93,89,0,5,0,0,402.0
93,84,10,5,0,0,384.0
92,99,5,5,0,0,410.0
92,42,0,5,0,0,408.0
92,31,10,5,0,0,410.0
92,27,15,5,0,0,402.0
91,36,0,5,0,0,382.0
91,12,5,5,0,0,386.0
91,3,10,5,0,0,410.0
90,93,15,5,0,0,404.0
90,63,0,5,0,0,398.0
90,55,5,5,0,0,392.0
90,18,10,5,0,0,392.0
90,1,20,5,0,0,396.0
89,98,5,5,0,0,400.0
89,46,15,5,0,0,384.0
86,96,10,5,0,0,390.0
86,93,20,5,0,0,390.0
86,83,0,5,0,0,402.0
86,72,5,5,0,0,400.0
85,99,10,5,0,0,396.0
85,90,25,5,0,0,414.0
85,81,0,5,0,0,388.0
85,60,5,5,0,0,410.0
84,47,0,5,0,0,386.0
84,2,5,5,0,0,400.0
83,93,25,5,0,0,418.0
82,63,5,5,0,0,404.0
82,55,0,5,0,0,408.0
81,95,25,5,0,0,410.0
81,90,30,5,0,0,412.0
80,78,0,5,0,0,408.0
80,70,5,5,0,0,396.0
80,13,10,5,0,0,400.0
80,12,15,5,0,0,388.0
79,81,5,5,0,0,414.0
79,15,10,5,0,0,404.0
79,14,15,5,0,0,410.0
79,4,20,5,0,0,394.0
78,86,15,5,0,0,408.0
78,79,25,5,0,0,402.0
78,52,5,5,0,0,416.0
78,31,20,5,0,0,384.0
78,12,10,5,0,0,414.0
77,13,0,5,0,0,398.0
76,96,15,5,0,0,402.0
76,15,0,5,0,0,396.0
75,90,35,5,0,0,400.0
75,82,10,5,0,0,398.0
75,55,15,5,0,0,402.0
75,24,0,5,0,0,408.0
74,18,0,5,0,0,392.0
73,45,0,5,0,0,412.0
73,7,5,5,0,0,390.0
72,61,0,5,0,0,398.0
71,76,10,5,0,0,390.0
71,65,15,5,0,0,386.0
71,20,0,5,0,0,382.0
70,48,0,5,0,0,408.0
69,74,5,5,0,0,404.0
69,66,0,5,0,0,392.0
69,27,10,5,0,0,404.0
68,14,0,5,0,0,384.0
67,16,0,5,0,0,400.0
65,81,10,5,0,0,402.0
65,58,5,5,0,0,394.0
65,24,20,5,0,0,388.0
64,91,15,5,0,0,412.0
64,14,5,5,0,0,388.0
63,68,10,5,0,0,394.0
63,39,15,5,0,0,416.0
63,35,20,5,0,0,406.0
63,26,25,5,0,0,396.0
62,90,40,5,0,0,392.0
62,86,25,5,0,0,396.0
62,34,0,5,0,0,414.0
61,90,45,5,0,0,392.0
60,83,10,5,0,0,404.0
60,8,0,5,0,0,404.0
58,69,15,5,0,0,390.0
58,39,0,5,0,0,400.0
56,69,20,5,0,0,408.0
56,65,25,5,0,0,400.0
56,24,5,5,0,0,388.0
55,65,30,5,0,0,398.0
55,62,10,5,0,0,390.0
55,17,20,5,0,0,386.0
55,13,25,5,0,0,404.0
55,11,35,5,0,0,392.0
54,47,5,5,0,0,402.0
54,17,0,5,0,0,396.0
53,92,20,5,0,0,410.0
53,91,25,5,0,0,412.0
52,89,10,5,0,0,418.0
52,74,15,5,0,0,394.0
52,71,20,5,0,0,386.0
52,64,0,5,0,0,388.0
52,40,25,5,0,0,404.0
51,73,10,5,0,0,406.0
51,63,30,5,0,0,394.0
51,54,15,5,0,0,412.0
51,10,0,5,0,0,400.0
50,94,20,5,0,0,396.0
50,82,15,5,0,0,412.0
49,61,5,5,0,0,394.0
48,36,5,5,0,0,402.0
48,31,15,5,0,0,392.0
48,7,10,5,0,0,394.0
47,98,10,5,0,0,388.0
44,87,0,5,0,0,406.0
43,88,0,5,0,0,406.0
43,7,15,5,0,0,404.0
42,74,10,5,0,0,410.0
42,24,15,5,0,0,402.0
41,80,20,5,0,0,398.0
41,59,0,5,0,0,402.0
41,45,5,5,0,0,396.0
40,92,30,5,0,0,396.0
40,66,5,5,0,0,400.0
40,64,10,5,0,0,390.0
40,54,20,5,0,0,402.0
40,25,15,5,0,0,396.0
39,83,5,5,0,0,404.0
38,90,50,5,0,0,408.0
38,77,5,5,0,0,400.0
38,51,20,5,0,0,402.0
38,19,0,5,0,0,416.0
38,8,10,5,0,0,390.0
37,30,0,5,0,0,408.0
37,21,10,5,0,0,400.0
37,13,15,5,0,0,394.0
37,9,20,5,0,0,408.0
36,76,20,5,0,0,408.0
36,46,25,5,0,0,410.0
36,38,30,5,0,0,404.0
36,24,10,5,0,0,400.0
35,87,5,5,0,0,390.0
35,17,10,5,0,0,402.0
35,8,15,5,0,0,402.0
34,52,30,5,0,0,398.0
34,43,5,5,0,0,396.0
34,23,10,5,0,0,396.0
33,91,20,5,0,0,398.0
33,37,25,5,0,0,396.0
33,11,0,5,0,0,412.0
32,56,0,5,0,0,396.0
31,61,25,5,0,0,396.0
31,33,5,5,0,0,404.0
31,29,0,5,0,0,404.0
30,21,5,5,0,0,410.0
29,51,5,5,0,0,408.0
28,98,15,5,0,0,398.0
28,88,5,5,0,0,402.0
28,83,20,5,0,0,408.0
28,79,30,5,0,0,394.0
28,27,25,5,0,0,394.0
27,94,30,5,0,0,398.0
27,23,5,5,0,0,416.0
26,58,10,5,0,0,404.0
26,35,0,5,0,0,392.0
26,34,15,5,0,0,412.0
25,13,5,5,0,0,416.0
24,88,25,5,0,0,398.0
24,82,30,5,0,0,400.0
24,56,35,5,0,0,394.0
24,52,40,5,0,0,382.0
22,65,35,5,0,0,412.0
22,63,40,5,0,0,390.0
21,69,25,5,0,0,398.0
20,41,10,5,0,0,404.0
19,71,25,5,0,0,400.0
18,45,15,5,0,0,402.0
18,43,20,5,0,0,398.0
18,30,25,5,0,0,388.0
17,78,30,5,0,0,388.0
16,86,30,5,0,0,406.0
16,78,35,5,0,0,396.0
16,42,5,5,0,0,392.0
16,41,15,5,0,0,392.0
15,53,5,5,0,0,388.0
15,13,20,5,0,0,392.0
13,98,30,5,0,0,414.0
13,27,35,5,0,0,398.0
13,9,40,5,0,0,392.0
12,67,20,5,0,0,404.0
12,35,25,5,0,0,396.0
12,14,30,5,0,0,406.0
11,16,10,5,0,0,392.0
10,56,10,5,0,0,388.0
10,8,5,5,0,0,416.0
9,82,25,5,0,0,406.0
9,68,5,5,0,0,388.0
8,66,20,5,0,0,402.0
8,17,25,5,0,0,386.0
8,10,30,5,0,0,388.0
7,75,20,5,0,0,416.0
7,61,30,5,0,0,412.0
7,50,0,5,0,0,404.0
7,1,25,5,0,0,396.0
6,93,30,5,0,0,406.0
6,65,40,5,0,0,396.0
6,5,0,5,0,0,396.0
6,1,5,5,0,0,408.0
5,29,10,5,0,0,398.0
4,83,30,5,0,0,390.0
4,40,0,5,0,0,398.0
3,45,20,5,0,0,388.0
3,20,5,5,0,0,404.0
2,87,10,5,0,0,394.0
2,80,25,5,0,0,384.0
2,34,20,5,0,0,402.0
2,33,15,5,0,0,392.0
2,1,0,5,0,0,398.0
1,98,35,5,0,0,404.0
1,86,40,5,0,0,412.0
1,6,10,5,0,0,386.0
0,95,30,5,0,0,400.0
0,82,20,5,0,0,410.0
0,7,35,5,0,0,400.0
99,89,20,2,0,0,39.0
99,78,40,2,0,0,42.5
99,70,15,2,0,0,56.5
99,63,35,2,0,0,60.0
99,53,17,2,0,0,53.0
99,45,25,2,0,0,53.0
99,36,37,2,0,0,67.0
99,35,30,2,0,0,42.5
99,33,32,2,0,0,46.0
99,24,45,2,0,0,53.0
99,0,27,2,0,0,42.5
98,95,40,2,0,0,46.0
98,91,42,2,0,0,42.5
98,88,20,2,0,0,46.0
98,85,22,2,0,0,60.0
98,67,25,2,0,0,42.5
98,59,27,2,0,0,53.0
98,50,44,2,0,0,60.0
98,48,46,2,0,0,42.5
98,40,48,2,0,0,42.5
98,24,50,2,0,0,46.0
98,18,52,2,0,0,56.5
98,9,54,2,0,0,49.5
98,8,56,2,0,0,32.0
97,98,58,2,0,0,35.5
97,94,25,2,0,0,53.0
97,87,15,2,0,0,56.5
97,81,17,2,0,0,42.5
97,80,30,2,0,0,56.5
97,65,45,2,0,0,56.5
97,58,20,2,0,0,42.5
97,56,32,2,0,0,56.5
97,54,10,2,0,0,46.0
97,43,12,2,0,0,56.5
97,36,35,2,0,0,49.5
97,32,5,2,0,0,56.5
