,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1284.0,FF_a,1284.0,1284,111492.5,111492.5,1284.0,1.0
1e-05,1285.114925,FF_mix,1284.0,1284,111492.5,111492.5,1285.114925,1.0
2e-05,1286.22985,FF_mix,1284.0,1284,111492.5,111492.5,1286.22985,1.0
4e-05,1288.4597,FF_a,1284.0,1284,111492.5,111492.5,1288.4597,1.0
8e-05,1292.9194,FF_a,1284.0,1284,111492.5,111492.5,1292.9194,1.0
0.0001,1295.14925,FF_mix2,1284.0,1284,111492.5,111492.5,1295.14925,1.0
0.0002,1306.2985,FF_bm1,1284.0,1284,111492.5,111492.5,1306.2985,1.0
0.0004,1328.597,FF_a,1284.0,1284,111492.5,111492.5,1328.597,1.0
0.0008,1373.194,FF_a,1284.0,1284,111492.5,111492.5,1373.194,1.0
0.001,1395.4925,coreopt_IS_aa,1284.0,1284,111492.5,111492.5,1395.4925,1.0
0.002,1506.985,FF_bm2,1284.0,1284,111492.5,111492.5,1506.985,1.0
0.004,1729.97,FF_mix,1284.0,1284,111492.5,111492.5,1729.97,1.0
0.008,2175.94,FF_mix,1284.0,1284,111492.5,111492.5,2175.94,1.0
0.01,2398.925,FF_mix2,1284.0,1284,111492.5,111492.5,2398.925,1.0
0.02,3513.85,FF_mix,1284.0,1284,111492.5,111492.5,3513.85,1.0
0.04,5743.7,FF_bm2,1284.0,1284,111492.5,111492.5,5743.7,1.0
0.08,10203.4,coreopt_IS_da,1284.0,1284,111492.5,111492.5,10203.4,1.0
0.1,12433.25,FF_bm1,1284.0,1284,111492.5,111492.5,12433.25,1.0
0.2,23582.5,coreopt_IS_aa,1284.0,1284,111492.5,111492.5,23582.5,1.0
0.4,45881.0,coreopt_IS_aa,1284.0,1284,111492.5,111492.5,45881.0,1.0
1.0,112776.5,FF_a,1284.0,1284,111492.5,111492.5,112776.5,1.0
10.0,1116209.0,FF_a,1284.0,1284,111492.5,111492.5,1116209.0,1.0
