src,dst,spec,slots_used,core_src,core_dst,tfk_slot
6,0,0,2,0,0,14.0
92,90,0,19,0,0,436.0
41,6,2,19,0,0,436.0
16,50,0,2,0,0,14.0
88,15,0,19,0,0,432.0
58,76,0,19,0,0,432.0
18,84,0,2,0,0,14.0
28,63,0,2,0,0,14.0
29,67,0,2,0,0,14.0
54,70,0,19,0,0,432.0
31,3,0,2,0,0,14.0
46,1,0,19,0,0,432.0
27,88,19,19,0,0,432.0
26,41,21,19,0,0,432.0
3,84,2,19,0,0,432.0
95,59,0,19,0,0,428.0
91,39,0,19,0,0,428.0
77,70,19,19,0,0,428.0
41,98,40,19,0,0,428.0
26,38,0,19,0,0,428.0
31,49,2,2,0,0,14.0
34,32,0,2,0,0,14.0
38,98,19,2,0,0,14.0
43,66,0,2,0,0,14.0
43,78,2,2,0,0,14.0
47,83,0,2,0,0,14.0
49,53,0,2,0,0,14.0
7,34,2,19,0,0,428.0
58,52,19,2,0,0,14.0
64,3,21,2,0,0,14.0
65,70,38,2,0,0,14.0
5,69,0,19,0,0,428.0
96,8,0,18,0,0,424.0
67,47,2,2,0,0,14.0
72,46,19,2,0,0,14.0
88,2,38,18,0,0,424.0
53,66,2,18,0,0,424.0
73,74,0,2,0,0,14.0
51,30,0,18,0,0,424.0
48,79,0,18,0,0,424.0
74,81,2,2,0,0,14.0
39,90,19,18,0,0,424.0
79,18,18,2,0,0,14.0
39,82,37,18,0,0,424.0
79,84,21,2,0,0,14.0
95,21,19,2,0,0,14.0
97,76,19,2,0,0,14.0
4,97,0,2,0,0,18.5
7,53,21,2,0,0,18.5
16,47,4,2,0,0,18.5
18,78,4,2,0,0,18.5
19,84,23,2,0,0,18.5
20,95,21,2,0,0,18.5
22,31,4,18,0,0,424.0
22,69,22,2,0,0,18.5
26,75,19,2,0,0,18.5
11,54,19,18,0,0,424.0
27,57,0,2,0,0,18.5
93,1,19,18,0,0,420.0
28,65,2,2,0,0,18.5
92,34,21,18,0,0,420.0
29,69,19,2,0,0,18.5
88,3,56,18,0,0,420.0
77,13,0,18,0,0,420.0
68,9,0,18,0,0,420.0
30,13,18,2,0,0,18.5
47,57,6,18,0,0,420.0
32,1,37,2,0,0,18.5
32,16,2,2,0,0,18.5
26,27,40,18,0,0,420.0
23,26,58,18,0,0,420.0
37,42,0,2,0,0,18.5
45,46,21,2,0,0,18.5
17,46,23,18,0,0,420.0
46,38,41,2,0,0,18.5
56,31,22,2,0,0,18.5
94,32,4,18,0,0,416.0
86,67,4,18,0,0,416.0
82,64,0,18,0,0,416.0
60,15,19,18,0,0,416.0
54,33,37,18,0,0,416.0
52,39,55,18,0,0,416.0
49,63,4,18,0,0,416.0
47,60,37,18,0,0,416.0
56,83,2,2,0,0,18.5
72,76,21,2,0,0,18.5
74,78,6,2,0,0,18.5
36,91,19,18,0,0,416.0
25,46,43,18,0,0,416.0
97,19,25,18,0,0,412.0
66,33,55,18,0,0,412.0
76,31,24,2,0,0,18.5
57,7,24,18,0,0,412.0
77,10,38,2,0,0,18.5
26,77,40,18,1,0,412.0
21,46,61,18,0,0,412.0
