src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,93,0,5,0,0,420.0
99,66,5,5,0,0,430.0
98,97,0,5,0,0,450.0
96,98,5,5,0,0,450.0
94,45,0,5,0,0,410.0
94,15,5,5,0,0,440.0
93,80,5,5,0,0,440.0
92,64,0,5,0,0,420.0
88,23,0,5,0,0,480.0
87,36,0,5,0,0,430.0
86,29,0,5,0,0,490.0
82,37,0,5,0,0,420.0
81,11,0,5,0,0,480.0
76,87,5,5,0,0,410.0
76,68,0,5,0,0,450.0
75,53,0,5,0,0,410.0
75,1,5,5,0,0,420.0
74,56,0,5,0,0,390.0
74,32,5,5,0,0,390.0
74,31,10,5,0,0,460.0
71,74,15,5,0,0,390.0
70,69,0,5,0,0,420.0
68,26,5,5,0,0,420.0
66,90,0,5,0,0,380.0
66,82,10,5,0,0,430.0
63,78,0,5,0,0,450.0
63,69,5,5,0,0,450.0
59,23,5,5,0,0,400.0
58,63,10,5,0,0,390.0
58,60,0,5,0,0,470.0
58,52,5,5,0,0,400.0
58,25,15,5,0,0,390.0
56,44,5,5,0,0,430.0
55,79,0,5,0,0,380.0
55,21,5,5,0,0,410.0
55,11,10,5,0,0,430.0
51,8,0,5,0,0,430.0
48,85,0,5,0,0,480.0
48,67,5,5,0,0,460.0
45,20,5,5,0,0,470.0
44,94,10,5,0,0,400.0
43,97,5,5,0,0,460.0
43,89,0,5,0,0,420.0
43,79,10,5,0,0,410.0
43,28,15,5,0,0,440.0
39,70,5,5,0,0,430.0
38,12,0,5,0,0,390.0
35,95,0,5,0,0,440.0
35,50,5,5,0,0,460.0
34,64,5,5,0,0,380.0
30,93,10,5,0,0,490.0
30,68,15,5,0,0,440.0
29,85,5,5,0,0,390.0
27,80,0,5,0,0,400.0
26,85,10,5,0,0,390.0
24,82,5,5,0,0,410.0
23,33,10,5,0,0,410.0
22,60,5,5,0,0,440.0
19,39,0,5,0,0,430.0
19,14,5,5,0,0,480.0
18,86,5,5,0,0,380.0
17,3,0,5,0,0,440.0
10,86,10,5,0,0,490.0
9,51,5,5,0,0,450.0
8,83,5,5,0,0,480.0
