,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1673.0,FF_a,1673.0,1746,88314.0,99014.0,1746.0,0.958190148912
1e-05,1681.91436,FF_a,1681.0,1746,91436.0,101776.0,1747.01776,0.962734551708
2e-05,1678.95576,FF_mix,1677.0,1747,97788.0,101428.0,1749.02856,0.959936160219
4e-05,1677.60016,FF_a,1674.0,1746,90004.0,101776.0,1750.07104,0.958589749591
8e-05,1680.19872,FF_a,1673.0,1746,89984.0,101776.0,1754.14208,0.957846424846
0.0001,1682.9532,FF_a,1674.0,1747,89532.0,101428.0,1757.1428,0.95777827505
0.0002,1694.61,FF_mix,1675.0,1746,98050.0,101742.0,1766.3484,0.959386041848
0.0004,1715.2456,FF_a,1679.0,1746,90614.0,101404.0,1786.5616,0.96008198094
0.0008,1726.3888,FF_a,1650.0,1729,95486.0,119076.0,1824.2608,0.946349776304
0.001,1750.392,FF_a,1654.0,1730,96392.0,119472.0,1849.472,0.946427953492
0.002,1833.816,coreopt_IS_aa,1633.0,1729,100408.0,119420.0,1967.84,0.931892836816
0.004,2071.784,FF_mix,1609.0,1724,115696.0,121676.0,2210.704,0.937160289211
0.008,2598.984,FF_mix,1437.0,1569,145248.0,152238.0,2786.904,0.932570336115
0.01,2885.9,FF_mix,1434.0,1568,145190.0,152228.0,3090.28,0.933863598121
0.02,4349.48,FF_bm2,1440.0,1569,145474.0,152238.0,4613.76,0.942719170481
0.04,7273.52,FF_mix,1444.0,1568,145738.0,152214.0,7656.56,0.949972311325
0.08,13133.56,FF_mix,1451.0,1569,146032.0,152224.0,13746.92,0.955382005569
0.1,15984.6,FF_bm2,1440.0,1567,145446.0,152204.0,16787.4,0.952178419529
0.2,30665.8,FF_mix,1451.0,1569,146074.0,152238.0,32016.6,0.957809386381
0.4,59759.6,FF_mix,1438.0,1562,145804.0,152252.0,62462.8,0.956723041554
1.0,147546.0,FF_mix,1444.0,1562,146102.0,152238.0,153800.0,0.95933680104
10.0,1461943.0,FF_mix,1443.0,1562,146050.0,152252.0,1524082.0,0.959228571691
