src,dst,spec,slots_used,core_src,core_dst,tfk_slot
93,20,0,5,0,0,420.0
84,65,0,5,0,0,420.0
80,84,5,5,0,0,420.0
80,20,10,5,0,0,420.0
73,76,0,5,0,0,420.0
72,70,0,5,0,0,460.0
70,4,5,5,0,0,380.0
68,28,0,5,0,0,460.0
58,26,0,5,0,0,380.0
55,6,0,5,0,0,380.0
53,58,5,5,0,0,380.0
48,61,0,5,0,0,380.0
47,13,0,5,0,0,460.0
46,68,5,5,0,0,420.0
43,15,0,5,0,0,460.0
34,86,0,5,0,0,380.0
33,47,5,5,0,0,420.0
33,8,0,5,0,0,460.0
30,0,0,5,0,0,380.0
26,67,5,5,0,0,420.0
26,25,10,5,0,0,420.0
23,10,0,5,0,0,420.0
21,57,0,5,0,0,420.0
21,42,5,5,0,0,460.0
16,2,0,5,0,0,420.0
13,37,5,5,0,0,420.0
6,7,5,5,0,0,420.0
74,19,0,4,0,0,340.0
62,93,5,4,0,0,340.0
50,97,0,4,0,0,340.0
32,18,0,4,0,0,340.0
25,13,15,4,0,0,340.0
13,80,19,4,0,0,340.0
13,8,10,4,0,0,340.0
2,52,5,4,0,0,340.0
1,63,0,4,0,0,340.0
99,96,0,2,0,0,20.0
99,95,2,2,0,0,60.0
99,82,4,2,0,0,80.0
99,73,6,2,0,0,40.0
99,57,8,2,0,0,20.0
99,40,10,2,0,0,40.0
99,39,12,2,0,0,80.0
99,35,14,2,0,0,60.0
99,20,16,2,0,0,40.0
99,16,18,2,0,0,40.0
99,8,20,2,0,0,20.0
99,4,22,2,0,0,40.0
98,86,5,2,0,0,60.0
98,83,0,2,0,0,60.0
98,77,2,2,0,0,60.0
98,65,7,2,0,0,20.0
98,54,9,2,0,0,80.0
98,52,11,2,0,0,40.0
98,41,13,2,0,0,40.0
98,30,15,2,0,0,40.0
98,27,17,2,0,0,60.0
98,24,19,2,0,0,40.0
98,13,23,2,0,0,40.0
98,12,21,2,0,0,60.0
98,10,25,2,0,0,80.0
97,95,4,2,0,0,20.0
97,88,6,2,0,0,40.0
97,67,10,2,0,0,40.0
97,60,8,2,0,0,40.0
97,1,12,2,0,0,40.0
96,99,24,2,0,0,40.0
96,98,27,2,0,0,40.0
96,93,9,2,0,0,20.0
96,92,2,2,0,0,60.0
96,89,4,2,0,0,40.0
96,85,6,2,0,0,60.0
96,82,11,2,0,0,60.0
96,76,13,2,0,0,60.0
96,75,15,2,0,0,60.0
96,72,17,2,0,0,20.0
96,68,19,2,0,0,20.0
96,66,21,2,0,0,20.0
96,60,29,2,0,0,40.0
96,54,31,2,0,0,40.0
96,53,33,2,0,0,60.0
96,42,35,2,0,0,40.0
96,39,37,2,0,0,40.0
96,36,39,2,0,0,60.0
96,27,41,2,0,0,40.0
96,23,43,2,0,0,80.0
96,21,45,2,0,0,20.0
96,4,47,2,0,0,40.0
95,92,0,2,0,0,40.0
95,87,6,2,0,0,20.0
95,85,8,2,0,0,40.0
95,84,10,2,0,0,80.0
95,83,12,2,0,0,40.0
95,67,14,2,0,0,40.0
95,63,16,2,0,0,40.0
95,58,18,2,0,0,20.0
95,53,20,2,0,0,20.0
95,51,22,2,0,0,60.0
95,48,24,2,0,0,60.0
95,47,26,2,0,0,40.0
95,26,28,2,0,0,40.0
95,18,30,2,0,0,20.0
95,14,32,2,0,0,20.0
95,12,34,2,0,0,60.0
95,7,36,2,0,0,40.0
95,1,38,2,0,0,40.0
94,93,11,2,0,0,60.0
94,84,13,2,0,0,60.0
94,73,8,2,0,0,40.0
94,71,0,2,0,0,20.0
94,70,15,2,0,0,20.0
94,68,17,2,0,0,20.0
94,66,2,2,0,0,60.0
94,65,5,2,0,0,40.0
94,64,19,2,0,0,60.0
94,63,21,2,0,0,40.0
94,60,23,2,0,0,80.0
94,55,25,2,0,0,80.0
94,54,27,2,0,0,60.0
94,48,29,2,0,0,40.0
94,43,31,2,0,0,60.0
94,30,33,2,0,0,80.0
94,25,35,2,0,0,40.0
94,24,37,2,0,0,80.0
94,22,39,2,0,0,80.0
94,14,41,2,0,0,80.0
94,13,43,2,0,0,60.0
94,12,45,2,0,0,40.0
94,10,47,2,0,0,20.0
94,9,49,2,0,0,40.0
94,8,51,2,0,0,20.0
94,0,53,2,0,0,60.0
93,89,13,2,0,0,60.0
93,73,15,2,0,0,40.0
93,68,21,2,0,0,20.0
93,65,17,2,0,0,80.0
93,55,19,2,0,0,80.0
93,38,23,2,0,0,40.0
93,35,25,2,0,0,60.0
93,31,27,2,0,0,40.0
93,25,29,2,0,0,40.0
93,23,31,2,0,0,40.0
93,15,33,2,0,0,20.0
93,14,35,2,0,0,60.0
92,96,49,2,0,0,40.0
92,95,40,2,0,0,60.0
92,93,37,2,0,0,60.0
92,89,6,2,0,0,40.0
92,83,4,2,0,0,40.0
92,81,8,2,0,0,60.0
92,80,15,2,0,0,60.0
92,78,10,2,0,0,40.0
92,73,12,2,0,0,40.0
92,66,17,2,0,0,40.0
92,62,19,2,0,0,60.0
92,52,21,2,0,0,80.0
92,51,24,2,0,0,60.0
92,48,26,2,0,0,60.0
92,42,28,2,0,0,80.0
92,31,30,2,0,0,60.0
92,29,32,2,0,0,40.0
92,25,42,2,0,0,80.0
92,24,34,2,0,0,60.0
92,23,45,2,0,0,60.0
92,18,47,2,0,0,20.0
92,17,51,2,0,0,60.0
92,16,53,2,0,0,40.0
92,14,55,2,0,0,60.0
92,13,57,2,0,0,20.0
92,8,59,2,0,0,60.0
92,5,61,2,0,0,60.0
92,2,63,2,0,0,60.0
91,97,14,2,0,0,40.0
91,93,39,2,0,0,60.0
91,86,7,2,0,0,60.0
91,80,0,2,0,0,40.0
91,78,2,2,0,0,60.0
91,76,5,2,0,0,80.0
91,75,9,2,0,0,80.0
91,73,17,2,0,0,40.0
91,69,11,2,0,0,40.0
91,63,19,2,0,0,80.0
91,60,21,2,0,0,60.0
91,55,23,2,0,0,20.0
91,49,25,2,0,0,80.0
91,48,31,2,0,0,40.0
91,46,27,2,0,0,80.0
91,43,29,2,0,0,20.0
91,41,33,2,0,0,40.0
91,38,35,2,0,0,80.0
91,33,37,2,0,0,80.0
91,31,41,2,0,0,40.0
91,30,43,2,0,0,20.0
91,20,45,2,0,0,20.0
91,14,47,2,0,0,60.0
91,9,51,2,0,0,20.0
91,4,49,2,0,0,60.0
91,0,55,2,0,0,20.0
90,94,55,2,0,0,20.0
90,93,41,2,0,0,20.0
90,84,15,2,0,0,20.0
90,83,2,2,0,0,20.0
90,79,0,2,0,0,60.0
90,69,4,2,0,0,60.0
90,66,6,2,0,0,40.0
90,64,8,2,0,0,40.0
90,62,10,2,0,0,60.0
90,54,12,2,0,0,40.0
90,52,17,2,0,0,60.0
90,49,19,2,0,0,60.0
90,48,21,2,0,0,40.0
90,45,23,2,0,0,40.0
90,44,25,2,0,0,60.0
90,42,30,2,0,0,60.0
90,41,27,2,0,0,40.0
90,26,32,2,0,0,40.0
90,19,34,2,0,0,20.0
90,11,36,2,0,0,20.0
90,3,38,2,0,0,20.0
90,0,43,2,0,0,80.0
89,97,16,2,0,0,60.0
89,96,51,2,0,0,60.0
89,94,57,2,0,0,40.0
89,93,43,2,0,0,40.0
89,84,18,2,0,0,60.0
89,76,8,2,0,0,80.0
89,69,0,2,0,0,40.0
89,66,10,2,0,0,40.0
89,55,21,2,0,0,40.0
89,53,2,2,0,0,20.0
89,48,33,2,0,0,60.0
89,45,25,2,0,0,60.0
89,37,23,2,0,0,20.0
89,35,27,2,0,0,80.0
89,30,29,2,0,0,40.0
89,29,35,2,0,0,80.0
89,26,37,2,0,0,60.0
89,24,31,2,0,0,40.0
89,23,39,2,0,0,40.0
89,19,41,2,0,0,80.0
89,14,45,2,0,0,80.0
89,7,47,2,0,0,60.0
89,4,53,2,0,0,20.0
88,98,29,2,0,0,40.0
88,96,53,2,0,0,60.0
88,91,57,2,0,0,20.0
88,87,0,2,0,0,60.0
88,84,20,2,0,0,40.0
88,82,2,2,0,0,40.0
88,77,4,2,0,0,40.0
88,73,10,2,0,0,60.0
88,68,12,2,0,0,40.0
88,61,8,2,0,0,20.0
88,57,14,2,0,0,80.0
88,54,16,2,0,0,60.0
88,45,18,2,0,0,40.0
88,43,22,2,0,0,40.0
88,40,24,2,0,0,60.0
88,35,31,2,0,0,60.0
88,28,26,2,0,0,80.0
88,27,33,2,0,0,60.0
88,24,39,2,0,0,20.0
88,18,35,2,0,0,20.0
88,13,37,2,0,0,60.0
88,10,41,2,0,0,40.0
88,4,43,2,0,0,40.0
87,95,42,2,0,0,60.0
87,93,45,2,0,0,40.0
87,89,49,2,0,0,80.0
87,88,47,2,0,0,60.0
87,85,2,2,0,0,60.0
87,78,4,2,0,0,40.0
87,75,11,2,0,0,40.0
87,66,8,2,0,0,20.0
