src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,90,0,5,0,0,460.0
98,86,0,5,0,0,380.0
98,35,5,5,0,0,420.0
96,19,0,5,0,0,380.0
96,5,5,5,0,0,380.0
94,58,0,5,0,0,460.0
94,0,5,5,0,0,460.0
93,91,0,5,0,0,380.0
89,45,0,5,0,0,380.0
84,96,10,5,0,0,460.0
84,31,0,5,0,0,420.0
81,60,0,5,0,0,460.0
81,16,5,5,0,0,420.0
80,11,0,5,0,0,420.0
79,42,0,5,0,0,460.0
79,13,5,5,0,0,380.0
78,43,0,5,0,0,380.0
77,91,5,5,0,0,460.0
77,3,0,5,0,0,420.0
76,12,0,5,0,0,460.0
75,25,0,5,0,0,420.0
75,18,5,5,0,0,380.0
74,86,5,5,0,0,380.0
72,86,10,5,0,0,380.0
71,95,0,5,0,0,460.0
71,32,5,5,0,0,380.0
68,91,10,5,0,0,380.0
68,61,0,5,0,0,460.0
68,44,5,5,0,0,420.0
62,86,15,5,0,0,380.0
62,69,0,5,0,0,460.0
62,44,10,5,0,0,380.0
61,87,5,5,0,0,460.0
61,20,10,5,0,0,420.0
59,77,10,5,0,0,420.0
59,33,0,5,0,0,380.0
57,70,0,5,0,0,460.0
55,7,0,5,0,0,380.0
53,85,0,5,0,0,460.0
52,8,0,5,0,0,380.0
51,38,0,5,0,0,420.0
50,15,0,5,0,0,420.0
49,46,0,5,0,0,380.0
48,33,5,5,0,0,380.0
47,43,5,5,0,0,380.0
43,54,10,5,0,0,420.0
39,44,0,5,0,0,420.0
39,29,5,5,0,0,380.0
37,20,0,5,0,0,460.0
36,59,5,5,0,0,420.0
34,89,5,5,0,0,460.0
29,93,10,5,0,0,420.0
29,84,15,5,0,0,380.0
29,42,20,5,0,0,420.0
28,26,0,5,0,0,380.0
27,20,5,5,0,0,420.0
26,4,5,5,0,0,380.0
25,96,15,5,0,0,420.0
25,28,5,5,0,0,460.0
24,43,15,5,0,0,420.0
24,2,0,5,0,0,380.0
22,46,5,5,0,0,460.0
21,66,0,5,0,0,380.0
21,39,10,5,0,0,420.0
20,68,15,5,0,0,380.0
19,18,10,5,0,0,380.0
18,41,0,5,0,0,380.0
17,93,5,5,0,0,420.0
17,43,20,5,0,0,380.0
17,39,15,5,0,0,380.0
16,6,0,5,0,0,380.0
15,13,10,5,0,0,380.0
13,8,15,5,0,0,420.0
12,74,10,5,0,0,380.0
11,43,25,5,0,0,380.0
9,30,0,5,0,0,420.0
