src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,10,0,2,0,0,50.0
1,12,0,2,0,0,50.0
2,6,0,2,0,0,50.0
3,8,0,2,0,0,50.0
4,9,0,2,0,0,50.0
5,11,0,2,0,0,50.0
7,13,0,2,0,0,50.0
14,21,0,2,0,0,50.0
15,22,0,2,0,0,50.0
16,18,0,2,0,0,50.0
17,25,0,2,0,0,50.0
19,24,0,2,0,0,50.0
20,28,0,2,0,0,50.0
23,27,0,2,0,0,50.0
26,31,0,2,0,0,50.0
29,30,0,2,0,0,50.0
32,43,0,2,0,0,50.0
33,36,0,2,0,0,50.0
34,50,0,2,0,0,50.0
35,45,0,2,0,0,50.0
37,46,0,2,0,0,50.0
38,39,0,2,0,0,50.0
40,44,0,2,0,0,50.0
41,47,0,2,0,0,50.0
42,49,0,2,0,0,50.0
48,52,0,2,0,0,50.0
51,59,0,2,0,0,50.0
53,54,0,2,0,0,50.0
55,60,0,2,0,0,50.0
56,75,0,2,0,0,50.0
57,58,0,2,0,0,50.0
61,62,0,2,0,0,50.0
63,65,0,2,0,0,50.0
64,66,0,2,0,0,50.0
67,70,0,2,0,0,50.0
68,71,0,2,0,0,50.0
69,72,0,2,0,0,50.0
73,94,0,2,0,0,50.0
74,79,0,2,0,0,50.0
76,77,0,2,0,0,50.0
78,85,0,2,0,0,50.0
80,82,0,2,0,0,50.0
81,86,0,2,0,0,50.0
83,84,0,2,0,0,50.0
87,91,0,2,0,0,50.0
89,97,0,2,0,0,50.0
90,96,0,2,0,0,50.0
93,98,0,2,0,0,50.0
95,92,0,2,0,0,50.0
0,14,2,2,0,0,50.0
1,35,2,2,0,0,50.0
2,11,2,2,0,0,50.0
3,17,2,2,0,0,50.0
4,8,2,2,0,0,50.0
5,9,2,2,0,0,50.0
6,10,2,2,0,0,50.0
7,15,2,2,0,0,50.0
12,13,2,2,0,0,50.0
16,23,2,2,0,0,50.0
18,19,2,2,0,0,50.0
20,29,2,2,0,0,50.0
21,28,2,2,0,0,50.0
22,26,2,2,0,0,50.0
24,33,2,2,0,0,50.0
25,31,2,2,0,0,50.0
27,36,2,2,0,0,50.0
30,46,2,2,0,0,50.0
32,48,2,2,0,0,50.0
34,56,2,2,0,0,50.0
37,45,2,2,0,0,50.0
38,42,2,2,0,0,50.0
39,57,2,2,0,0,50.0
40,51,2,2,0,0,50.0
41,44,2,2,0,0,50.0
43,49,2,2,0,0,50.0
47,50,2,2,0,0,50.0
52,54,2,2,0,0,50.0
53,55,2,2,0,0,50.0
58,67,2,2,0,0,50.0
59,60,2,2,0,0,50.0
61,68,2,2,0,0,50.0
62,65,2,2,0,0,50.0
63,71,2,2,0,0,50.0
64,76,2,2,0,0,50.0
66,74,2,2,0,0,50.0
69,75,2,2,0,0,50.0
70,78,2,2,0,0,50.0
