src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,3,0,2,0,0,50.0
1,2,0,2,0,0,50.0
4,21,0,2,0,0,50.0
5,10,0,2,0,0,50.0
6,11,0,2,0,0,50.0
7,13,0,2,0,0,50.0
8,12,0,2,0,0,50.0
9,25,0,2,0,0,50.0
14,15,0,2,0,0,50.0
16,17,0,2,0,0,50.0
18,20,0,2,0,0,50.0
19,27,0,2,0,0,50.0
22,24,0,2,0,0,50.0
23,26,0,2,0,0,50.0
28,29,0,2,0,0,50.0
30,34,0,2,0,0,50.0
31,37,0,2,0,0,50.0
32,45,0,2,0,0,50.0
33,48,0,2,0,0,50.0
35,43,0,2,0,0,50.0
36,38,0,2,0,0,50.0
39,42,0,2,0,0,50.0
40,49,0,2,0,0,50.0
41,44,0,2,0,0,50.0
46,50,0,2,0,0,50.0
47,51,0,2,0,0,50.0
52,53,0,2,0,0,50.0
54,56,0,2,0,0,50.0
55,57,0,2,0,0,50.0
58,62,0,2,0,0,50.0
59,60,0,2,0,0,50.0
61,72,0,2,0,0,50.0
63,79,0,2,0,0,50.0
64,71,0,2,0,0,50.0
65,67,0,2,0,0,50.0
66,75,0,2,0,0,50.0
68,73,0,2,0,0,50.0
69,76,0,2,0,0,50.0
74,92,0,2,0,0,50.0
77,70,0,2,0,0,50.0
78,83,0,2,0,0,50.0
80,86,0,2,0,0,50.0
81,87,0,2,0,0,50.0
84,82,0,2,0,0,50.0
85,90,0,2,0,0,50.0
88,95,0,2,0,0,50.0
89,91,0,2,0,0,50.0
93,99,0,2,0,0,50.0
98,97,0,2,0,0,50.0
0,6,2,2,0,0,50.0
1,7,2,2,0,0,50.0
2,11,2,2,0,0,50.0
3,9,2,2,0,0,50.0
4,27,2,2,0,0,50.0
5,17,2,2,0,0,50.0
8,10,2,2,0,0,50.0
12,13,2,2,0,0,50.0
14,16,2,2,0,0,50.0
15,28,2,2,0,0,50.0
18,23,2,2,0,0,50.0
19,29,2,2,0,0,50.0
20,24,2,2,0,0,50.0
21,26,2,2,0,0,50.0
22,25,2,2,0,0,50.0
30,35,2,2,0,0,50.0
31,38,2,2,0,0,50.0
32,47,2,2,0,0,50.0
33,37,2,2,0,0,50.0
34,36,2,2,0,0,50.0
39,59,2,2,0,0,50.0
40,48,2,2,0,0,50.0
41,42,2,2,0,0,50.0
43,45,2,2,0,0,50.0
44,51,2,2,0,0,50.0
46,54,2,2,0,0,50.0
49,53,2,2,0,0,50.0
50,55,2,2,0,0,50.0
52,61,2,2,0,0,50.0
56,58,2,2,0,0,50.0
57,66,2,2,0,0,50.0
60,65,2,2,0,0,50.0
62,77,2,2,0,0,50.0
63,72,2,2,0,0,50.0
64,76,2,2,0,0,50.0
67,74,2,2,0,0,50.0
68,78,2,2,0,0,50.0
69,83,2,2,0,0,50.0
70,73,2,2,0,0,50.0
71,75,2,2,0,0,50.0
79,81,2,2,0,0,50.0
80,87,2,2,0,0,50.0
84,89,2,2,0,0,50.0
85,86,2,2,0,0,50.0
88,97,2,2,0,0,50.0
90,82,2,2,0,0,50.0
91,94,2,2,0,0,50.0
92,95,2,2,0,0,50.0
96,99,2,2,0,0,50.0
0,11,4,2,0,0,50.0
1,31,4,2,0,0,50.0
2,6,4,2,0,0,50.0
3,7,4,2,0,0,50.0
4,39,4,2,0,0,50.0
5,19,4,2,0,0,50.0
8,15,4,2,0,0,50.0
9,28,4,2,0,0,50.0
10,12,4,2,0,0,50.0
13,33,4,2,0,0,50.0
14,25,4,2,0,0,50.0
16,18,4,2,0,0,50.0
17,24,4,2,0,0,50.0
20,46,4,2,0,0,50.0
21,23,4,2,0,0,50.0
