src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
99,56,0,17,0,0,1,400.0
0,1,77,3,0,0,1,50.0
0,3,74,3,0,0,1,50.0
0,4,71,3,0,0,1,50.0
98,99,17,17,0,0,1,400.0
98,54,0,17,0,0,1,400.0
98,44,34,17,0,0,1,400.0
0,5,68,3,0,0,1,50.0
0,6,65,3,0,0,1,50.0
98,27,51,17,0,0,1,400.0
0,7,62,3,0,0,1,50.0
98,11,0,17,1,0,1,400.0
97,36,0,17,0,0,1,400.0
0,8,59,3,0,0,1,50.0
96,70,0,17,0,0,1,400.0
0,9,56,3,0,0,1,50.0
96,52,17,17,0,0,1,400.0
0,10,53,3,0,0,1,50.0
96,24,34,17,0,0,1,400.0
96,5,51,17,0,0,1,400.0
0,11,50,3,0,0,1,50.0
0,12,47,3,0,0,1,50.0
94,38,0,17,0,0,1,400.0
0,13,44,3,0,0,1,50.0
93,94,17,17,0,0,1,400.0
93,67,0,17,0,0,1,400.0
93,23,34,17,0,0,1,400.0
93,5,51,17,0,1,1,400.0
92,42,0,17,0,0,1,400.0
0,14,41,3,0,0,1,50.0
92,0,17,17,0,0,1,400.0
0,15,38,3,0,0,1,50.0
0,16,35,3,0,0,1,50.0
0,18,14,3,0,0,1,50.0
91,84,0,17,0,0,1,400.0
91,14,17,17,0,0,1,400.0
0,20,11,3,0,0,1,50.0
91,12,50,17,0,0,1,400.0
0,21,8,3,0,0,1,50.0
0,22,5,3,0,0,1,50.0
90,85,0,17,0,0,1,400.0
90,84,17,17,0,0,1,400.0
0,24,2,3,0,0,1,50.0
90,79,34,17,0,0,1,400.0
90,65,51,17,0,0,1,400.0
0,25,77,3,1,0,1,50.0
89,90,0,17,0,1,1,400.0
0,26,74,3,1,0,1,50.0
0,27,71,3,1,0,1,50.0
0,28,68,3,1,0,1,50.0
89,63,17,17,0,0,1,400.0
89,56,34,17,0,0,1,400.0
89,25,51,17,0,0,1,400.0
0,29,65,3,1,0,1,50.0
89,2,0,17,1,0,1,400.0
88,96,0,17,0,1,1,400.0
88,69,17,17,0,0,1,400.0
0,31,62,3,1,0,1,50.0
88,36,34,17,0,0,1,400.0
87,74,0,17,0,0,1,400.0
0,32,59,3,1,0,1,50.0
0,33,56,3,1,0,1,50.0
0,34,53,3,1,0,1,50.0
0,35,50,3,1,0,1,50.0
87,40,17,17,0,0,1,400.0
0,36,31,3,1,0,1,50.0
87,37,34,17,0,0,1,400.0
0,38,47,3,1,0,1,50.0
0,39,44,3,1,0,1,50.0
0,40,41,3,1,0,1,50.0
0,41,38,3,1,0,1,50.0
0,42,35,3,1,0,1,50.0
87,17,51,17,0,0,1,400.0
0,45,28,3,1,0,1,50.0
86,58,0,17,0,0,1,400.0
86,49,17,17,0,0,1,400.0
86,18,34,17,0,0,1,400.0
86,17,51,17,0,1,1,400.0
0,46,25,3,1,0,1,50.0
0,47,22,3,1,0,1,50.0
86,1,0,17,1,0,1,400.0
85,40,44,17,0,0,1,400.0
85,39,17,17,0,0,1,400.0
84,25,34,17,0,0,1,400.0
83,46,0,17,0,0,1,400.0
0,48,19,3,1,0,1,50.0
83,32,17,17,0,0,1,400.0
82,65,0,17,0,0,1,400.0
82,58,17,17,0,0,1,400.0
82,43,34,17,0,0,1,400.0
0,49,14,3,1,0,1,50.0
82,34,56,17,0,0,1,400.0
0,50,11,3,1,0,1,50.0
0,51,8,3,1,0,1,50.0
0,52,5,3,1,0,1,50.0
0,53,2,3,1,0,1,50.0
0,54,77,3,2,0,1,50.0
81,99,34,17,0,0,1,400.0
0,56,74,3,2,0,1,50.0
0,57,71,3,2,0,1,50.0
81,86,17,17,0,1,1,400.0
80,65,17,17,0,0,1,400.0
0,59,68,3,2,0,1,50.0
80,40,0,17,0,0,1,400.0
80,15,41,17,0,0,1,400.0
0,60,65,3,2,0,1,50.0
79,92,51,17,0,0,1,400.0
0,61,62,3,2,0,1,50.0
79,27,0,17,0,0,1,400.0
0,62,59,3,2,0,1,50.0
78,81,0,17,0,0,1,400.0
78,73,17,17,0,0,1,400.0
0,64,56,3,2,0,1,50.0
78,0,34,17,0,2,1,400.0
77,63,0,17,0,0,1,400.0
76,84,51,17,0,0,1,400.0
0,65,53,3,2,1,1,50.0
76,40,0,17,0,1,1,400.0
76,31,17,17,0,0,1,400.0
76,28,34,17,0,0,1,400.0
75,93,0,17,0,1,1,400.0
0,68,31,3,2,0,1,50.0
0,69,14,3,2,0,1,50.0
75,57,17,17,0,0,1,400.0
0,70,28,3,2,0,1,50.0
75,23,51,17,0,0,1,400.0
74,55,17,17,0,0,1,400.0
74,46,34,17,0,0,1,400.0
74,7,51,17,0,1,1,400.0
73,93,34,17,0,1,1,400.0
0,71,25,3,2,0,1,50.0
73,69,51,17,0,0,1,400.0
0,72,22,3,2,0,1,50.0
73,26,0,17,0,0,1,400.0
72,65,34,17,0,0,1,400.0
72,42,51,17,0,0,1,400.0
0,73,19,3,2,1,1,50.0
72,2,0,17,0,1,1,400.0
0,74,11,3,2,1,1,50.0
0,75,8,3,2,1,1,50.0
0,76,5,3,2,1,1,50.0
71,80,58,17,0,0,1,400.0
71,51,28,17,0,0,1,400.0
0,77,2,3,2,1,1,50.0
0,79,77,3,3,0,1,50.0
71,17,0,17,0,0,1,400.0
70,88,51,17,0,0,1,400.0
70,39,31,17,0,1,1,400.0
0,80,38,3,3,0,1,50.0
69,60,34,17,0,0,1,400.0
69,39,0,17,1,0,1,400.0
0,82,74,3,3,0,1,50.0
0,83,71,3,3,0,1,50.0
69,1,17,17,1,0,1,400.0
0,85,68,3,3,0,1,50.0
67,78,51,17,0,0,1,400.0
67,68,34,17,0,0,1,400.0
0,86,65,3,3,1,1,50.0
0,87,62,3,3,1,1,50.0
0,90,59,3,3,1,1,50.0
0,91,47,3,3,0,1,50.0
67,53,17,17,0,0,1,400.0
66,74,14,17,0,1,1,400.0
66,2,31,17,0,0,1,400.0
65,51,11,17,1,0,1,400.0
0,92,44,3,3,0,1,50.0
65,17,28,17,1,0,1,400.0
0,93,56,3,3,1,1,50.0
0,94,53,3,3,0,1,50.0
64,96,17,17,0,1,1,400.0
0,95,50,3,3,0,1,50.0
64,85,0,17,0,1,1,400.0
0,96,41,3,3,1,1,50.0
64,38,59,17,0,0,1,400.0
64,5,34,17,0,0,1,400.0
0,97,35,3,3,0,1,50.0
0,99,32,3,3,1,1,50.0
1,0,74,3,0,4,1,50.0
1,3,71,3,0,0,1,50.0
1,6,68,3,0,0,1,50.0
1,7,65,3,0,0,1,50.0
63,85,34,17,0,1,1,400.0
63,25,51,17,0,1,1,400.0
63,24,5,17,1,0,1,400.0
62,66,62,17,0,0,1,400.0
1,8,62,3,0,0,1,50.0
62,12,0,17,0,0,1,400.0
62,7,17,17,0,0,1,400.0
61,77,17,17,0,0,1,400.0
1,9,59,3,0,0,1,50.0
1,10,56,3,0,0,1,50.0
1,11,53,3,0,0,1,50.0
1,12,44,3,0,0,1,50.0
1,13,50,3,0,0,1,50.0
61,66,0,17,0,1,1,400.0
1,14,47,3,0,0,1,50.0
1,16,41,3,0,0,1,50.0
60,72,0,17,0,1,1,400.0
60,31,17,17,0,1,1,400.0
1,17,38,3,0,1,1,50.0
1,18,35,3,0,1,1,50.0
1,19,77,3,1,0,1,50.0
59,84,0,17,0,1,1,400.0
59,61,34,17,0,0,1,400.0
59,44,17,17,0,0,1,400.0
1,20,74,3,1,0,1,50.0
1,21,71,3,1,0,1,50.0
1,22,68,3,1,0,1,50.0
59,31,51,17,0,1,1,400.0
1,24,65,3,1,0,1,50.0
1,26,62,3,1,0,1,50.0
1,27,48,3,1,0,1,50.0
58,75,34,17,0,0,1,400.0
1,28,59,3,1,0,1,50.0
58,68,51,17,0,0,1,400.0
1,29,56,3,1,0,1,50.0
1,30,53,3,1,0,1,50.0
1,31,45,3,1,0,1,50.0
1,32,42,3,1,0,1,50.0
58,48,0,17,1,0,1,400.0
58,31,34,17,1,1,1,400.0
1,33,39,3,1,0,1,50.0
1,34,36,3,1,0,1,50.0
1,36,28,3,1,0,1,50.0
1,39,25,3,1,1,1,50.0
1,40,33,3,1,1,1,50.0
57,72,34,17,0,1,1,400.0
57,71,0,17,0,1,1,400.0
57,69,51,17,0,1,1,400.0
1,41,22,3,1,0,1,50.0
1,42,19,3,1,0,1,50.0
57,42,0,17,1,1,1,400.0
1,43,16,3,1,0,1,50.0
57,9,17,17,1,0,1,400.0
56,95,17,17,0,0,1,400.0
1,44,13,3,1,0,1,50.0
1,45,10,3,1,0,1,50.0
56,92,51,17,0,1,1,400.0
56,57,34,17,1,1,1,400.0
56,46,51,17,1,0,1,400.0
55,48,34,17,0,0,1,400.0
55,34,0,17,0,0,1,400.0
55,31,51,17,0,2,1,400.0
1,46,7,3,1,1,1,50.0
1,49,4,3,1,0,1,50.0
54,99,51,17,0,0,1,400.0
1,50,1,3,1,0,1,50.0
54,97,17,17,0,0,1,400.0
54,49,34,17,0,0,1,400.0
54,11,17,17,1,0,1,400.0
1,51,77,3,2,0,1,50.0
53,32,62,17,0,0,1,400.0
1,52,74,3,2,0,1,50.0
1,54,71,3,2,0,1,50.0
1,55,68,3,2,0,1,50.0
1,56,31,3,2,1,1,50.0
1,57,65,3,2,1,1,50.0
53,20,34,17,0,0,1,400.0
53,4,0,17,1,0,1,400.0
53,0,17,17,1,4,1,400.0
52,66,34,17,0,1,1,400.0
52,64,51,17,0,1,1,400.0
52,8,0,17,1,0,1,400.0
1,58,62,3,2,1,1,50.0
51,85,51,17,0,1,1,400.0
51,83,34,17,1,0,1,400.0
1,60,59,3,2,0,1,50.0
51,31,0,17,1,0,1,400.0
1,61,56,3,2,0,1,50.0
50,97,38,17,0,0,1,400.0
50,59,14,17,0,1,1,400.0
50,29,55,17,0,1,1,400.0
1,64,53,3,2,0,1,50.0
1,66,50,3,2,0,1,50.0
50,18,17,17,1,0,1,400.0
50,15,0,17,1,0,1,400.0
50,13,53,17,1,0,1,400.0
1,68,28,3,2,0,1,50.0
1,69,11,3,2,0,1,50.0
1,70,25,3,2,0,1,50.0
49,92,51,17,0,2,1,400.0
1,71,47,3,2,0,1,50.0
1,74,44,3,2,1,1,50.0
49,53,34,17,1,1,1,400.0
49,52,17,17,1,1,1,400.0
49,48,51,17,1,0,1,400.0
49,47,0,17,1,0,1,400.0
1,75,41,3,2,1,1,50.0
49,43,51,17,2,0,1,400.0
49,19,0,17,2,0,1,400.0
1,76,38,3,2,1,1,50.0
47,89,25,17,0,1,1,400.0
47,13,42,17,0,1,1,400.0
46,2,48,17,1,0,1,400.0
1,77,35,3,2,0,1,50.0
1,78,22,3,2,1,1,50.0
1,79,19,3,2,0,1,50.0
1,80,16,3,2,1,1,50.0
45,73,31,17,0,1,1,400.0
45,36,51,17,0,0,1,400.0
45,18,51,17,1,0,1,400.0
44,41,51,17,0,0,1,400.0
1,81,8,3,2,1,1,50.0
43,85,17,17,1,1,1,400.0
1,83,5,3,2,1,1,50.0
1,84,2,3,2,2,1,50.0
43,70,0,17,1,1,1,400.0
1,85,77,3,3,0,1,50.0
1,87,74,3,3,0,1,50.0
1,88,71,3,3,0,1,50.0
43,41,34,17,1,1,1,400.0
43,26,51,17,1,1,1,400.0
42,73,48,17,1,1,1,400.0
1,89,68,3,3,0,1,50.0
42,51,17,17,1,1,1,400.0
1,91,44,3,3,0,1,50.0
1,92,48,3,3,0,1,50.0
1,94,65,3,3,0,1,50.0
1,95,62,3,3,0,1,50.0
41,60,0,17,0,1,1,400.0
1,96,59,3,3,1,1,50.0
1,98,56,3,3,1,1,50.0
41,46,10,17,1,1,1,400.0
1,99,53,3,3,1,1,50.0
2,1,28,3,0,3,1,50.0
2,4,77,3,0,0,1,50.0
41,32,51,17,1,1,1,400.0
40,65,61,17,0,1,1,400.0
2,5,74,3,0,0,1,50.0
39,82,47,17,0,1,1,400.0
2,6,71,3,0,0,1,50.0
2,7,68,3,0,0,1,50.0
2,8,65,3,0,0,1,50.0
2,9,25,3,0,1,1,50.0
2,12,22,3,0,0,1,50.0
39,70,48,17,1,1,1,400.0
2,14,19,3,0,1,1,50.0
2,17,77,3,1,0,1,50.0
39,54,0,17,1,1,1,400.0
2,19,74,3,1,0,1,50.0
38,75,17,17,0,1,1,400.0
38,72,17,17,1,1,1,400.0
38,35,0,17,1,0,1,400.0
38,14,50,17,1,0,1,400.0
37,91,0,17,0,1,1,400.0
2,20,71,3,1,0,1,50.0
2,21,68,3,1,0,1,50.0
2,22,65,3,1,0,1,50.0
37,65,17,17,0,2,1,400.0
2,23,31,3,1,0,1,50.0
2,24,62,3,1,0,1,50.0
36,33,0,17,1,0,1,400.0
35,95,17,17,0,1,1,400.0
2,25,28,3,1,0,1,50.0
35,73,53,17,0,2,1,400.0
2,28,56,3,1,0,1,50.0
35,70,17,17,1,1,1,400.0
35,55,0,17,1,1,1,400.0
35,17,34,17,1,2,1,400.0
2,30,59,3,1,0,1,50.0
34,97,17,17,0,1,1,400.0
34,51,51,17,1,1,1,400.0
2,31,53,3,1,0,1,50.0
33,78,59,17,0,1,1,400.0
33,22,17,17,0,0,1,400.0
2,33,50,3,1,0,1,50.0
2,36,25,3,1,0,1,50.0
2,37,47,3,1,1,1,50.0
2,38,44,3,1,0,1,50.0
2,39,41,3,1,0,1,50.0
2,40,38,3,1,0,1,50.0
32,99,0,17,0,1,1,400.0
32,77,5,17,1,1,1,400.0
32,65,34,17,1,2,1,400.0
32,59,31,17,2,1,1,400.0
32,50,0,17,2,2,1,400.0
30,59,62,17,0,1,1,400.0
2,41,35,3,1,0,1,50.0
30,54,34,17,0,1,1,400.0
30,19,17,17,0,0,1,400.0
2,42,22,3,1,0,1,50.0
29,97,0,17,0,1,1,400.0
29,82,17,17,0,1,1,400.0
29,77,38,17,0,0,1,400.0
28,78,0,17,0,1,1,400.0
28,61,17,17,0,1,1,400.0
28,41,0,17,1,2,1,400.0
28,19,34,17,1,0,1,400.0
2,43,19,3,1,0,1,50.0
2,44,77,3,2,0,1,50.0
27,59,17,17,0,2,1,400.0
27,31,0,17,1,1,1,400.0
27,22,34,17,1,0,1,400.0
27,14,51,17,1,1,1,400.0
26,77,22,17,0,1,1,400.0
2,46,74,3,2,0,1,50.0
2,47,71,3,2,0,1,50.0
2,48,68,3,2,0,1,50.0
26,44,39,17,0,1,1,400.0
2,50,35,3,2,0,1,50.0
2,51,48,3,2,0,1,50.0
2,54,65,3,2,1,1,50.0
2,55,62,3,2,1,1,50.0
26,28,17,17,1,1,1,400.0
2,56,28,3,2,1,1,50.0
2,57,59,3,2,1,1,50.0
26,16,0,17,1,0,1,400.0
26,6,34,17,1,0,1,400.0
2,58,56,3,2,1,1,50.0
25,60,0,17,0,2,1,400.0
25,14,0,17,1,0,1,400.0
25,3,17,17,1,0,1,400.0
24,81,51,17,1,0,1,400.0
24,69,34,17,1,1,1,400.0
24,3,0,17,1,0,1,400.0
2,60,53,3,2,0,1,50.0
24,2,17,17,1,3,1,400.0
2,61,45,3,2,1,1,50.0
2,62,42,3,2,0,1,50.0
2,63,39,3,2,1,1,50.0
23,98,0,17,0,2,1,400.0
23,94,34,17,1,0,1,400.0
23,74,51,17,1,1,1,400.0
23,55,17,17,1,1,1,400.0
2,64,32,3,2,1,1,50.0
22,75,44,17,1,1,1,400.0
22,58,17,17,1,1,1,400.0
2,65,8,3,2,1,1,50.0
22,31,0,17,1,2,1,400.0
21,99,35,17,0,1,1,400.0
21,80,11,17,0,2,1,400.0
2,68,25,3,2,0,1,50.0
2,69,5,3,2,0,1,50.0
21,71,17,17,1,1,1,400.0
2,70,22,3,2,0,1,50.0
2,71,19,3,2,0,1,50.0
2,72,16,3,2,2,1,50.0
20,94,14,17,0,1,1,400.0
2,73,13,3,2,1,1,50.0
2,74,2,3,2,1,1,50.0
20,92,51,17,0,3,1,400.0
20,81,11,17,1,1,1,400.0
2,75,77,3,3,0,1,50.0
2,77,74,3,3,0,1,50.0
20,41,28,17,1,2,1,400.0
20,33,45,17,1,1,1,400.0
2,78,71,3,3,0,1,50.0
19,75,51,17,0,2,1,400.0
2,81,68,3,3,0,1,50.0
19,3,34,17,1,0,1,400.0
18,93,17,17,1,1,1,400.0
2,82,53,3,3,0,1,50.0
2,83,65,3,3,0,1,50.0
2,87,59,3,3,1,1,50.0
2,88,62,3,3,1,1,50.0
18,9,0,17,1,0,1,400.0
2,89,56,3,3,1,1,50.0
17,78,0,17,1,2,1,400.0
2,90,50,3,3,1,1,50.0
17,29,17,17,1,1,1,400.0
2,91,41,3,3,0,1,50.0
2,93,47,3,3,2,1,50.0
2,94,44,3,3,1,1,50.0
16,62,17,17,0,1,1,400.0
16,58,44,17,0,2,1,400.0
2,95,38,3,3,0,1,50.0
16,9,62,17,0,0,1,400.0
2,96,35,3,3,1,1,50.0
2,98,14,3,3,3,1,50.0
15,76,17,17,0,1,1,400.0
15,52,58,17,0,1,1,400.0
15,46,27,17,1,1,1,400.0
15,39,0,17,1,2,1,400.0
15,33,62,17,1,1,1,400.0
14,81,28,17,1,1,1,400.0
2,99,11,3,3,2,1,50.0
3,0,77,3,0,4,1,50.0
3,1,68,3,0,4,1,50.0
3,2,65,3,0,4,1,50.0
3,5,62,3,0,2,1,50.0
14,66,0,17,1,2,1,400.0
3,7,59,3,0,0,1,50.0
3,8,56,3,0,0,1,50.0
14,58,0,17,2,2,1,400.0
3,10,53,3,0,1,1,50.0
3,12,77,3,1,0,1,50.0
3,14,74,3,1,0,1,50.0
14,2,17,17,2,4,1,400.0
13,40,0,17,0,2,1,400.0
13,28,17,17,0,2,1,400.0
3,15,35,3,1,0,1,50.0
13,24,0,17,1,2,1,400.0
3,17,71,3,1,0,1,50.0
3,19,68,3,1,0,1,50.0
12,92,25,17,0,1,1,400.0
11,99,56,17,0,1,1,400.0
11,91,17,17,1,1,1,400.0
3,20,31,3,1,0,1,50.0
11,72,51,17,1,1,1,400.0
11,37,0,17,1,1,1,400.0
10,87,0,17,0,1,1,400.0
3,22,62,3,1,0,1,50.0
10,76,59,17,0,1,1,400.0
10,68,17,17,0,1,1,400.0
3,23,28,3,1,0,1,50.0
10,67,34,17,0,1,1,400.0
10,43,0,17,1,2,1,400.0
3,25,25,3,1,0,1,50.0
10,2,34,17,1,4,1,400.0
9,75,34,17,0,2,1,400.0
8,83,17,17,0,1,1,400.0
3,28,65,3,1,0,1,50.0
8,79,34,17,0,1,1,400.0
8,5,0,17,1,0,1,400.0
7,86,34,17,0,1,1,400.0
3,31,59,3,1,0,1,50.0
3,33,53,3,1,0,1,50.0
7,48,0,17,0,1,1,400.0
3,34,50,3,1,0,1,50.0
6,74,0,17,0,2,1,400.0
6,22,17,17,0,2,1,400.0
6,4,17,17,1,0,1,400.0
5,98,17,17,0,1,1,400.0
5,88,0,17,1,1,1,400.0
3,35,47,3,1,0,1,50.0
3,36,22,3,1,0,1,50.0
5,87,17,17,1,1,1,400.0
3,37,56,3,1,0,1,50.0
3,38,41,3,1,0,1,50.0
4,97,34,17,0,1,1,400.0
3,39,38,3,1,0,1,50.0
3,40,44,3,1,1,1,50.0
4,92,51,17,0,4,1,400.0
3,41,19,3,1,0,1,50.0
3,42,16,3,1,2,1,50.0
3,43,13,3,1,0,1,50.0
4,77,55,17,1,0,1,400.0
4,39,17,17,1,2,1,400.0
4,35,0,17,1,2,1,400.0
3,53,51,17,2,1,1,400.0
3,16,0,17,2,1,1,400.0
3,44,10,3,1,0,1,50.0
3,9,28,17,2,1,1,400.0
3,4,34,17,3,1,1,400.0
1,63,0,17,3,2,1,400.0
1,37,17,17,4,1,1,400.0
3,45,7,3,1,0,1,50.0
3,46,4,3,1,1,1,50.0
3,47,1,3,1,1,1,50.0
3,49,77,3,2,0,1,50.0
1,23,0,17,4,1,1,400.0
1,5,34,17,4,1,1,400.0
0,78,0,17,3,3,1,400.0
0,37,50,17,4,1,1,400.0
3,50,74,3,2,0,1,50.0
3,52,71,3,2,0,1,50.0
99,95,77,3,0,0,1,50.0
3,54,68,3,2,0,1,50.0
3,56,25,3,2,1,1,50.0
99,94,74,3,0,0,1,50.0
3,58,22,3,2,2,1,50.0
99,92,71,3,0,0,1,50.0
99,91,68,3,0,0,1,50.0
3,59,48,3,2,1,1,50.0
3,60,45,3,2,1,1,50.0
3,61,19,3,2,2,1,50.0
3,63,77,3,3,0,1,50.0
3,64,74,3,3,1,1,50.0
99,89,77,3,1,0,1,50.0
3,67,71,3,3,0,1,50.0
3,68,68,3,3,0,1,50.0
3,71,55,3,3,0,1,50.0
3,72,31,3,3,0,1,50.0
99,88,74,3,1,0,1,50.0
99,86,29,3,1,2,1,50.0
3,74,8,3,3,1,1,50.0
99,84,26,3,1,1,1,50.0
3,75,65,3,3,1,1,50.0
99,83,23,3,1,2,1,50.0
3,76,52,3,3,1,1,50.0
99,82,20,3,1,2,1,50.0
99,81,17,3,1,2,1,50.0
99,79,74,3,2,0,1,50.0
99,78,77,3,2,0,1,50.0
3,78,28,3,3,1,1,50.0
99,77,71,3,2,1,1,50.0
3,80,62,3,3,1,1,50.0
3,81,59,3,3,1,1,50.0
99,76,68,3,2,0,1,50.0
99,75,62,3,2,1,1,50.0
3,82,14,3,3,1,1,50.0
99,74,48,3,2,1,1,50.0
99,73,65,3,2,1,1,50.0
99,72,28,3,2,0,1,50.0
99,70,19,3,2,0,1,50.0
3,83,11,3,3,1,1,50.0
99,69,8,3,2,0,1,50.0
3,84,23,3,3,1,1,50.0
99,68,22,3,2,0,1,50.0
3,86,20,3,3,2,1,50.0
3,87,17,3,3,2,1,50.0
3,88,5,3,3,2,1,50.0
99,67,59,3,2,1,1,50.0
3,89,2,3,3,2,1,50.0
3,90,77,3,4,0,1,50.0
99,66,56,3,2,0,1,50.0
3,91,74,3,4,0,1,50.0
3,92,68,3,4,0,1,50.0
3,94,71,3,4,0,1,50.0
99,65,45,3,2,1,1,50.0
3,95,65,3,4,0,1,50.0
3,97,62,3,4,0,1,50.0
3,98,59,3,4,1,1,50.0
3,99,53,3,4,2,1,50.0
4,1,74,3,0,4,1,50.0
4,2,68,3,0,4,1,50.0
99,64,42,3,2,1,1,50.0
4,6,77,3,1,0,1,50.0
99,63,36,3,2,1,1,50.0
99,62,39,3,2,0,1,50.0
99,60,33,3,2,1,1,50.0
4,7,74,3,1,0,1,50.0
99,59,5,3,2,1,1,50.0
4,8,52,3,1,0,1,50.0
99,58,25,3,2,2,1,50.0
99,57,16,3,2,2,1,50.0
4,10,77,3,2,0,1,50.0
4,11,74,3,2,0,1,50.0
99,55,2,3,2,2,1,50.0
4,12,71,3,2,0,1,50.0
4,13,47,3,2,0,1,50.0
4,14,68,3,2,0,1,50.0
99,54,74,3,3,0,1,50.0
4,17,25,3,2,0,1,50.0
4,18,11,3,2,0,1,50.0
99,53,59,3,3,0,1,50.0
99,52,77,3,3,0,1,50.0
99,51,71,3,3,0,1,50.0
4,19,65,3,2,1,1,50.0
4,20,8,3,2,0,1,50.0
99,50,32,3,3,0,1,50.0
99,49,68,3,3,0,1,50.0
4,22,59,3,2,0,1,50.0
4,23,22,3,2,0,1,50.0
99,48,29,3,3,0,1,50.0
4,24,56,3,2,0,1,50.0
4,26,19,3,2,0,1,50.0
99,47,65,3,3,0,1,50.0
99,46,22,3,3,0,1,50.0
4,27,44,3,2,0,1,50.0
99,45,48,3,3,0,1,50.0
4,28,62,3,2,0,1,50.0
99,43,26,3,3,0,1,50.0
4,29,35,3,2,0,1,50.0
99,42,45,3,3,0,1,50.0
99,41,42,3,3,0,1,50.0
4,30,14,3,2,0,1,50.0
99,40,35,3,3,0,1,50.0
99,39,19,3,3,1,1,50.0
4,32,53,3,2,0,1,50.0
4,33,41,3,2,1,1,50.0
99,38,56,3,3,0,1,50.0
4,34,38,3,2,1,1,50.0
99,37,62,3,3,0,1,50.0
99,36,53,3,3,1,1,50.0
99,35,39,3,3,0,1,50.0
99,34,16,3,3,1,1,50.0
4,36,50,3,2,1,1,50.0
99,33,13,3,3,1,1,50.0
99,32,2,3,3,1,1,50.0
99,31,10,3,3,3,1,50.0
99,29,7,3,3,1,1,50.0
99,28,77,3,4,0,1,50.0
99,27,74,3,4,0,1,50.0
99,26,71,3,4,0,1,50.0
4,37,32,3,2,2,1,50.0
99,25,68,3,4,0,1,50.0
99,24,59,3,4,0,1,50.0
4,41,29,3,2,0,1,50.0
4,42,5,3,2,2,1,50.0
99,23,25,3,4,0,1,50.0
99,22,56,3,4,0,1,50.0
4,45,2,3,2,0,1,50.0
4,46,77,3,3,0,1,50.0
4,47,74,3,3,0,1,50.0
99,19,62,3,4,1,1,50.0
99,18,8,3,4,0,1,50.0
