,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,13168.0,FF_a_coreAsc,13168.0,13410,910750.0,1007550.0,13410.0,0.981953765846
1e-05,13166.0705,FF_a_coreAsc,13157.0,13406,907050.0,1006650.0,13416.0665,0.981365924207
2e-05,13178.165,FF_a_coreAsc,13160.0,13407,908250.0,1007050.0,13427.141,0.981457258846
4e-05,13193.296,FF_a_coreAsc,13157.0,13405,907400.0,1006600.0,13445.264,0.981259720895
8e-05,13231.628,FF_a_coreAsc,13159.0,13408,907850.0,1007450.0,13488.596,0.980949240381
0.0001,13259.145,FF_a_coreAsc,13168.0,13407,911450.0,1007050.0,13507.705,0.981598650548
0.0002,13343.74,FF_a_coreAsc,13162.0,13408,908700.0,1007100.0,13609.42,0.980478227581
0.0004,13536.94,FF_a_coreAsc,13172.0,13409,912350.0,1007150.0,13811.86,0.980095367315
0.0008,13893.96,FF_a_coreAsc,13166.0,13408,909950.0,1006750.0,14213.4,0.977525433746
0.001,14072.45,FF_a_coreAsc,13163.0,13408,909450.0,1007450.0,14415.45,0.976206084444
0.002,14979.4,FF_a_coreAsc,13162.0,13407,908700.0,1006700.0,15420.4,0.971401520064
0.004,16813.4,FF_a_coreAsc,13163.0,13406,912600.0,1009800.0,17445.2,0.963783734208
0.008,20630.4,FF_a_coreAsc_mix,12790.0,13399,980050.0,1010500.0,21483.0,0.960312805474
0.01,22498.5,FF_a_coreAsc_mix,12710.0,13389,978850.0,1012800.0,23517.0,0.956690904452
0.02,32204.0,FF_a_coreAsc_mix,12644.0,13375,978000.0,1014550.0,33666.0,0.956573397493
0.04,51599.0,FF_a_coreAsc_mix,12169.0,12816,985750.0,1018100.0,53540.0,0.963746731416
0.08,93463.0,FF_a_coreAsc_mix,10903.0,11222,1032000.0,1047950.0,95058.0,0.983220770477
0.1,114060.0,FF_a_coreAsc_mix,10890.0,11186,1031700.0,1046500.0,115836.0,0.984667978867
0.2,217120.0,FF_a_coreAsc_mix,10880.0,11201,1031200.0,1047250.0,220651.0,0.983997353286
0.4,423983.0,FF_a_coreAsc_mix,10923.0,11184,1032650.0,1045700.0,429464.0,0.987237579867
1.0,1043260.0,FF_a_coreAsc_mix,10910.0,11223,1032350.0,1048000.0,1059223.0,0.984929519091
10.0,10333408.0,FF_a_coreAsc_mix,10908.0,11210,1032250.0,1047350.0,10484710.0,0.985569271825
