src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
57,24,78,2,0,0,1,19.0
37,49,0,25,0,0,1,596.0
69,70,0,25,0,0,1,592.0
89,60,78,2,0,0,1,21.5
29,98,78,2,0,0,1,24.0
85,24,76,2,0,0,1,24.0
82,48,0,25,0,0,1,588.0
59,60,75,3,0,0,1,29.0
14,11,0,25,0,0,1,588.0
12,96,0,25,0,0,1,588.0
17,60,72,3,0,0,1,31.5
11,42,25,25,0,0,1,588.0
68,71,0,25,0,0,1,584.0
66,60,69,3,0,0,1,31.5
85,60,66,3,0,0,1,31.5
71,45,25,25,0,0,1,580.0
50,15,0,25,0,0,1,580.0
55,29,75,3,0,0,1,34.0
60,87,63,3,0,0,1,34.0
43,24,0,24,0,0,1,572.0
49,60,60,3,0,0,1,36.5
64,24,73,3,0,0,1,36.5
69,24,70,3,0,0,1,36.5
27,63,0,24,0,0,1,572.0
71,60,57,3,0,0,1,39.0
31,29,0,24,0,0,1,568.0
83,24,67,3,0,0,1,39.0
35,44,0,24,0,0,1,564.0
31,83,24,24,0,0,1,564.0
97,60,54,3,0,0,1,39.0
21,17,0,24,0,0,1,564.0
29,1,72,3,0,0,1,41.5
67,54,0,24,0,0,1,560.0
23,1,0,24,0,0,1,560.0
33,87,77,3,0,0,1,41.5
34,57,75,3,0,0,1,41.5
93,24,64,3,0,0,1,41.5
51,93,0,24,0,0,1,556.0
37,24,25,24,0,0,1,556.0
19,29,69,3,0,0,1,44.0
10,38,0,24,0,0,1,556.0
23,83,24,24,0,1,1,552.0
22,13,0,24,0,0,1,552.0
43,28,77,3,0,0,1,44.0
41,72,0,23,0,0,1,548.0
50,39,77,3,0,0,1,44.0
12,84,25,23,0,0,1,548.0
50,86,74,3,0,0,1,44.0
21,86,77,3,0,0,1,46.5
99,76,0,23,0,0,1,544.0
50,19,66,3,0,0,1,46.5
66,28,74,3,0,0,1,46.5
76,1,24,23,0,0,1,544.0
68,46,25,23,0,0,1,544.0
68,38,48,23,0,0,1,544.0
75,24,61,3,0,0,1,46.5
67,17,24,23,0,0,1,544.0
78,29,66,3,0,0,1,46.5
94,57,72,3,0,0,1,46.5
53,97,0,23,0,0,1,544.0
98,90,75,3,0,0,1,46.5
31,56,48,23,0,0,1,544.0
7,57,0,23,0,0,1,544.0
64,43,24,23,0,0,1,540.0
8,62,0,23,0,0,1,540.0
20,86,71,3,0,0,1,49.0
24,27,58,3,0,0,1,49.0
76,63,47,23,0,0,1,536.0
71,89,0,23,1,0,1,536.0
37,44,49,23,0,0,1,536.0
25,6,0,23,0,0,1,536.0
51,75,24,23,0,0,1,532.0
25,59,72,3,0,0,1,49.0
41,76,23,23,0,1,1,532.0
14,6,25,23,0,0,1,532.0
10,88,24,23,0,0,1,532.0
25,98,69,3,0,0,1,49.0
91,44,24,23,0,0,1,528.0
31,28,71,3,0,0,1,49.0
47,60,51,3,0,0,1,49.0
91,87,0,22,0,0,1,524.0
59,29,63,3,0,0,1,49.0
73,94,77,3,0,0,1,49.0
72,16,23,22,0,0,1,524.0
51,53,47,22,0,0,1,524.0
77,28,68,3,0,0,1,49.0
82,24,55,3,0,0,1,49.0
33,65,0,22,0,0,1,524.0
88,60,48,3,0,0,1,49.0
14,99,48,22,0,0,1,524.0
99,24,77,3,0,1,1,49.0
7,60,44,4,0,0,1,54.0
19,22,76,4,0,0,1,54.0
24,19,51,4,0,0,1,54.0
2,57,23,22,0,0,1,524.0
3,60,40,4,0,0,1,56.5
28,77,64,4,0,0,1,56.5
83,90,0,22,0,0,1,520.0
50,55,70,4,0,0,1,56.5
57,15,68,4,0,0,1,56.5
64,44,0,22,0,1,1,520.0
52,5,0,22,0,0,1,520.0
57,66,64,4,0,0,1,56.5
57,93,60,4,0,0,1,56.5
44,42,50,22,1,0,1,520.0
37,19,0,22,1,0,1,520.0
11,17,50,22,0,0,1,520.0
0,20,0,22,0,0,1,520.0
94,68,0,22,0,1,1,516.0
60,31,0,22,0,1,1,516.0
32,96,25,22,0,0,1,516.0
62,73,73,4,0,0,1,56.5
87,28,59,4,0,0,1,56.5
93,60,36,4,0,0,1,56.5
31,40,22,22,1,0,1,516.0
36,57,56,4,0,0,1,59.0
11,4,0,22,1,0,1,516.0
68,24,73,4,0,1,1,59.0
64,82,47,22,0,1,1,512.0
81,40,76,4,0,0,1,59.0
13,86,24,22,0,0,1,512.0
97,86,67,4,0,0,1,59.0
99,29,44,4,0,0,1,59.0
36,86,63,4,0,0,1,61.5
73,9,69,4,0,0,1,61.5
74,50,62,4,0,0,1,61.5
13,85,46,22,0,1,1,512.0
76,62,76,4,0,1,1,61.5
84,2,0,22,0,0,1,508.0
76,17,0,22,1,1,1,508.0
95,24,69,4,0,1,1,61.5
62,14,23,22,0,1,1,508.0
95,39,73,4,0,0,1,61.5
51,2,45,22,1,0,1,508.0
95,79,0,22,0,0,1,504.0
22,60,32,4,0,0,1,64.0
36,28,52,4,0,0,1,64.0
84,29,48,22,0,1,1,504.0
75,49,0,22,0,1,1,504.0
48,50,58,4,0,0,1,64.0
49,29,56,4,0,0,1,64.0
40,23,48,22,0,0,1,504.0
38,72,24,22,0,1,1,504.0
2,22,36,22,1,0,1,504.0
60,78,28,4,0,0,1,64.0
74,95,58,4,0,0,1,64.0
76,13,72,4,0,0,1,64.0
79,61,22,21,0,0,1,500.0
67,36,47,21,0,1,1,500.0
86,48,54,4,0,0,1,64.0
51,1,0,21,1,1,1,500.0
97,27,76,4,0,0,1,64.0
20,57,52,4,0,0,1,66.5
26,73,65,4,0,0,1,66.5
50,18,25,21,0,0,1,500.0
27,73,61,4,0,0,1,66.5
57,80,48,4,0,0,1,66.5
48,45,25,21,0,1,1,500.0
58,87,73,4,0,0,1,66.5
32,23,0,21,0,1,1,500.0
97,69,25,21,0,0,1,496.0
48,59,0,21,1,0,1,496.0
44,53,23,21,1,0,1,496.0
58,98,65,4,0,0,1,66.5
44,5,22,21,2,0,1,496.0
60,12,24,4,0,1,1,66.5
41,73,46,21,0,1,1,496.0
60,77,76,4,1,0,1,66.5
69,74,76,4,0,0,1,66.5
74,55,66,4,0,0,1,66.5
83,73,57,4,0,0,1,66.5
34,68,22,21,0,1,1,496.0
89,57,74,4,0,1,1,66.5
26,13,0,21,0,1,1,496.0
0,74,22,21,0,0,1,496.0
93,30,0,21,1,0,1,492.0
89,86,59,4,0,0,1,66.5
67,72,45,21,1,0,1,492.0
0,28,48,4,0,0,1,69.0
63,26,24,21,0,0,1,492.0
22,93,21,21,1,1,1,492.0
24,79,65,4,1,0,1,69.0
22,70,42,21,1,0,1,492.0
76,7,76,4,1,0,1,69.0
88,39,69,4,0,0,1,69.0
94,1,68,4,0,0,1,69.0
3,17,44,21,0,1,1,492.0
83,92,0,21,1,0,1,488.0
5,17,76,4,0,0,1,71.5
82,19,25,21,0,0,1,488.0
5,39,65,4,0,0,1,71.5
68,86,43,21,1,1,1,488.0
54,29,24,21,0,1,1,488.0
9,96,76,4,0,0,1,71.5
17,13,76,4,1,0,1,71.5
49,77,25,21,0,0,1,488.0
20,13,76,4,0,1,1,71.5
21,24,61,4,0,1,1,71.5
20,54,22,21,0,1,1,488.0
24,62,57,4,1,0,1,71.5
6,41,48,21,0,1,1,488.0
26,40,72,4,0,0,1,71.5
78,46,0,21,0,0,1,484.0
27,1,54,4,0,0,1,71.5
27,66,50,4,0,0,1,71.5
78,8,32,21,0,0,1,484.0
75,3,0,21,1,0,1,484.0
27,98,46,4,0,0,1,71.5
29,43,52,4,0,0,1,71.5
39,27,42,4,0,0,1,71.5
71,28,23,21,1,0,1,484.0
45,19,0,21,0,1,1,484.0
36,37,22,21,0,1,1,484.0
50,69,54,4,0,0,1,71.5
55,1,62,4,0,0,1,71.5
4,63,22,21,0,1,1,484.0
55,86,50,4,0,0,1,71.5
70,58,0,21,1,0,1,480.0
69,77,60,4,0,0,1,71.5
73,12,53,4,0,0,1,71.5
62,43,0,21,1,1,1,480.0
73,63,49,4,0,1,1,71.5
56,38,0,21,0,1,1,480.0
91,48,47,21,0,1,1,476.0
79,29,48,4,0,0,1,71.5
48,22,21,21,1,2,1,476.0
47,28,0,21,0,0,1,476.0
80,95,65,4,0,0,1,71.5
80,97,72,4,0,0,1,71.5
83,57,70,4,0,1,1,71.5
85,27,72,4,0,0,1,71.5
46,80,48,21,0,1,1,476.0
45,47,54,21,0,0,1,476.0
98,53,61,4,0,1,1,71.5
6,42,0,21,1,0,1,476.0
12,62,69,4,0,0,1,74.0
20,25,65,4,0,0,1,74.0
32,50,50,4,0,0,1,74.0
34,59,68,4,0,0,1,74.0
6,32,54,21,1,0,1,476.0
35,87,69,4,0,0,1,74.0
44,58,43,20,2,0,1,472.0
