src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
72,15,0,25,0,0,1,592.0
61,22,0,25,0,0,1,588.0
19,99,78,2,0,0,1,4.0
54,99,76,2,0,0,1,9.0
51,66,0,25,0,0,1,588.0
56,28,0,25,0,0,1,584.0
42,43,0,25,0,0,1,584.0
97,10,0,25,0,0,1,580.0
34,99,74,2,0,0,1,14.0
60,89,78,2,0,0,1,14.0
83,28,25,25,0,0,1,580.0
37,14,0,25,0,0,1,580.0
41,34,0,25,0,0,1,576.0
90,16,0,24,0,0,1,572.0
74,99,72,2,0,0,1,14.0
79,5,78,2,0,0,1,14.0
98,99,70,2,0,0,1,14.0
60,80,76,2,0,0,1,16.5
72,92,25,24,0,0,1,572.0
50,27,0,24,0,0,1,572.0
70,99,68,2,0,0,1,16.5
17,72,49,24,0,0,1,572.0
79,15,76,2,0,0,1,16.5
89,54,74,2,0,0,1,16.5
9,60,74,2,0,0,1,19.0
15,98,25,24,0,0,1,572.0
22,15,49,24,0,0,1,564.0
12,24,78,2,0,0,1,19.0
23,7,78,2,0,0,1,19.0
21,15,0,24,0,1,1,564.0
26,10,78,2,0,0,1,19.0
27,23,76,2,0,0,1,19.0
28,0,78,2,0,0,1,19.0
35,40,78,2,0,0,1,19.0
55,30,78,2,0,0,1,19.0
15,28,50,24,1,0,1,564.0
65,60,72,2,0,0,1,19.0
94,32,78,2,0,0,1,19.0
99,6,66,2,0,0,1,19.0
7,0,76,2,0,0,1,21.5
59,29,0,24,0,0,1,556.0
11,55,76,2,0,0,1,21.5
24,43,25,24,0,0,1,556.0
24,40,76,2,0,0,1,21.5
10,28,25,24,0,1,1,556.0
29,41,78,2,0,0,1,21.5
32,14,76,2,0,0,1,21.5
1,80,0,24,0,0,1,556.0
0,40,0,24,0,0,1,556.0
39,77,78,2,0,0,1,21.5
41,5,76,2,0,0,1,21.5
95,57,0,24,0,0,1,552.0
42,66,78,2,0,0,1,21.5
70,39,0,24,0,0,1,552.0
47,17,78,2,0,0,1,21.5
9,65,0,24,0,0,1,552.0
54,30,72,2,0,0,1,21.5
54,61,78,2,0,0,1,21.5
54,92,70,2,0,0,1,21.5
58,0,74,2,0,0,1,21.5
60,11,70,2,0,0,1,21.5
63,18,78,2,0,0,1,21.5
65,2,78,2,0,0,1,21.5
82,31,0,23,0,0,1,548.0
66,3,76,2,0,0,1,21.5
70,23,74,2,0,0,1,21.5
70,66,72,2,0,0,1,21.5
27,37,25,23,0,0,1,548.0
71,54,68,2,0,0,1,21.5
15,88,24,23,1,0,1,548.0
11,27,0,23,0,1,1,548.0
75,38,0,23,0,0,1,544.0
72,8,0,23,1,0,1,544.0
51,28,49,23,0,1,1,544.0
87,83,0,23,0,0,1,540.0
74,61,76,2,0,0,1,21.5
76,47,76,2,0,0,1,21.5
2,46,0,23,0,0,1,540.0
80,94,24,23,0,0,1,536.0
85,86,78,2,0,0,1,21.5
94,61,74,2,0,0,1,21.5
52,11,23,23,0,0,1,536.0
22,7,25,23,0,0,1,536.0
1,68,78,2,0,0,1,24.0
8,47,74,2,0,0,1,24.0
8,95,78,2,0,0,1,24.0
14,4,25,23,0,0,1,536.0
9,47,72,2,0,0,1,24.0
93,12,0,23,0,0,1,532.0
36,22,0,23,0,1,1,532.0
14,68,48,23,0,0,1,532.0
11,9,78,2,0,0,1,24.0
13,72,23,23,0,1,1,532.0
86,23,0,23,0,0,1,528.0
12,53,76,2,0,0,1,24.0
13,10,76,2,0,0,1,24.0
13,71,78,2,0,0,1,24.0
51,43,25,23,0,1,1,528.0
42,45,25,23,0,0,1,528.0
15,40,74,2,0,0,1,24.0
15,83,78,2,0,0,1,24.0
98,33,0,22,0,0,1,524.0
17,45,76,2,0,0,1,24.0
19,94,76,2,0,0,1,24.0
20,42,76,2,0,0,1,24.0
36,35,23,22,0,0,1,524.0
7,92,0,22,0,0,1,524.0
4,2,48,22,0,0,1,524.0
81,43,49,22,0,0,1,520.0
21,59,78,2,0,0,1,24.0
22,61,78,2,0,1,1,24.0
81,33,22,22,0,0,1,520.0
23,32,72,2,0,0,1,24.0
24,21,74,2,0,0,1,24.0
26,19,74,2,0,0,1,24.0
71,28,0,22,0,1,1,520.0
27,7,74,2,0,0,1,24.0
29,62,76,2,0,0,1,24.0
31,99,64,2,0,0,1,24.0
32,16,74,2,0,0,1,24.0
36,26,76,2,0,0,1,24.0
42,36,74,2,0,0,1,24.0
43,21,76,2,0,0,1,24.0
43,60,78,2,0,1,1,24.0
70,96,24,22,0,0,1,520.0
28,99,0,22,2,0,1,520.0
82,38,23,22,0,0,1,516.0
72,9,46,22,1,0,1,516.0
57,34,25,22,0,0,1,516.0
44,47,70,2,0,0,1,24.0
56,82,45,22,0,0,1,516.0
36,21,45,22,0,0,1,516.0
47,48,68,2,0,0,1,24.0
20,34,47,22,0,0,1,516.0
