src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,54,0,2,0,0,2.0
2,76,0,2,0,0,2.0
2,84,2,2,0,0,2.0
2,91,4,2,0,0,2.0
2,93,6,2,0,0,2.0
3,21,0,2,0,0,2.0
69,36,0,21,0,0,484.0
3,94,2,2,0,0,2.0
7,93,0,2,0,0,2.0
8,2,8,2,0,0,2.0
8,10,0,2,0,0,2.0
62,16,0,21,0,0,480.0
8,68,2,2,0,0,2.0
49,56,0,21,0,0,480.0
12,65,0,2,0,0,2.0
15,79,0,2,0,0,2.0
20,91,0,2,0,0,2.0
22,42,0,2,0,0,2.0
25,76,2,2,0,0,2.0
26,24,0,2,0,0,2.0
29,85,0,2,0,0,2.0
30,51,0,2,0,0,2.0
30,55,2,2,0,0,2.0
33,78,0,2,0,0,2.0
48,34,0,20,0,0,470.0
37,30,4,2,0,0,2.0
37,67,0,2,0,0,2.0
21,64,2,20,0,0,468.0
38,30,6,2,0,0,2.0
21,66,22,20,0,0,460.0
40,57,0,2,0,0,2.0
40,79,2,2,0,0,2.0
48,14,20,2,0,0,2.0
50,12,2,2,0,0,2.0
74,17,0,20,0,0,458.0
50,94,0,2,0,0,2.0
55,96,0,2,0,0,2.0
58,7,2,2,0,0,2.0
61,71,0,2,0,0,2.0
73,74,20,20,0,0,458.0
66,13,0,2,0,0,2.0
53,44,0,20,0,0,456.0
67,16,21,2,0,0,2.0
67,82,2,2,0,0,2.0
72,18,0,2,0,0,2.0
72,42,2,2,0,0,2.0
73,89,0,2,0,0,2.0
0,63,2,20,0,0,454.0
80,66,2,2,0,0,2.0
40,56,21,19,0,0,446.0
81,23,0,2,0,0,2.0
81,41,2,2,0,0,2.0
82,18,4,2,0,0,2.0
40,18,40,19,0,0,446.0
23,40,59,19,0,0,442.0
72,61,4,19,0,0,436.0
72,6,23,19,0,0,430.0
83,59,0,2,0,0,2.0
84,85,4,2,0,0,2.0
6,66,42,19,0,0,430.0
90,68,0,2,0,0,2.0
73,64,40,19,0,0,426.0
92,35,0,2,0,0,2.0
92,44,20,2,0,0,2.0
36,48,22,19,0,0,426.0
93,25,4,2,0,0,2.0
77,40,0,18,0,1,424.0
96,9,2,2,0,0,2.0
18,34,20,18,0,0,420.0
96,33,4,2,0,0,2.0
97,45,0,2,0,0,2.0
40,0,22,18,1,0,418.0
99,97,2,2,0,0,2.0
1,12,4,2,0,0,3.5
2,39,10,2,0,0,3.5
2,75,12,2,0,0,3.5
3,54,4,2,0,0,3.5
15,16,23,2,0,0,3.5
15,89,2,2,0,0,3.5
15,92,4,2,0,0,3.5
21,12,42,18,0,0,416.0
19,69,21,2,0,0,3.5
22,47,2,2,0,0,3.5
25,7,6,2,0,0,3.5
25,94,8,2,0,0,3.5
26,66,4,2,0,0,3.5
27,5,0,2,0,0,3.5
82,53,20,18,0,0,412.0
53,36,41,18,0,0,404.0
27,44,22,2,0,0,3.5
27,46,2,2,0,0,3.5
27,75,4,2,0,0,3.5
34,94,38,2,0,0,3.5
35,21,60,2,0,0,3.5
37,6,2,2,0,0,3.5
31,76,4,18,0,0,404.0
45,43,2,2,0,0,3.5
50,81,4,2,0,0,3.5
57,63,22,17,0,0,400.0
55,71,4,2,0,0,3.5
55,91,6,2,0,0,3.5
26,39,12,17,0,0,400.0
59,56,40,2,0,0,3.5
60,75,0,2,0,0,3.5
61,95,2,2,0,0,3.5
65,10,2,2,0,0,3.5
67,6,4,2,0,0,3.5
21,74,62,17,0,0,400.0
67,17,23,2,0,0,3.5
67,48,41,2,0,0,3.5
81,44,24,2,0,0,3.5
83,7,4,2,0,0,3.5
64,63,59,17,0,0,398.0
85,43,6,2,0,0,3.5
89,24,4,2,0,0,3.5
91,40,8,2,0,0,3.5
95,42,4,2,0,0,3.5
96,35,6,2,0,0,3.5
60,18,59,17,0,0,398.0
6,32,0,2,0,0,5.0
16,75,25,17,0,0,398.0
86,18,0,17,0,1,396.0
9,4,0,2,0,0,5.0
9,75,6,2,0,0,5.0
13,0,40,2,0,0,5.0
98,74,40,17,0,0,390.0
87,39,29,17,0,0,390.0
86,40,40,17,0,1,388.0
19,78,2,2,0,0,5.0
21,33,2,2,1,0,5.0
25,85,10,2,0,0,5.0
27,43,8,2,0,0,5.0
27,61,24,2,0,0,5.0
60,53,2,17,0,1,384.0
27,86,17,2,0,0,5.0
28,86,19,2,0,0,5.0
30,93,8,2,0,0,5.0
37,28,6,2,0,0,5.0
37,97,8,2,0,0,5.0
86,36,59,17,0,0,380.0
39,86,57,2,0,0,5.0
64,69,23,17,0,0,380.0
41,23,4,17,0,0,380.0
39,76,59,17,0,0,380.0
42,23,21,2,0,0,5.0
43,55,10,2,0,0,5.0
47,17,20,2,0,0,5.0
48,86,76,2,0,0,5.0
48,95,43,2,0,0,5.0
53,41,38,2,0,0,5.0
56,28,42,2,0,0,5.0
60,64,76,2,0,0,5.0
60,80,19,2,0,0,5.0
64,36,0,17,1,1,378.0
63,37,39,2,0,0,5.0
66,35,8,2,0,0,5.0
68,56,44,2,0,0,5.0
70,47,0,2,0,0,5.0
75,35,2,2,0,0,5.0
77,87,18,2,0,0,5.0
79,86,21,2,0,0,5.0
80,18,6,2,0,0,5.0
82,33,6,2,0,0,5.0
46,77,20,16,0,0,374.0
89,64,78,2,0,0,5.0
92,74,57,2,0,0,5.0
96,72,42,2,0,0,5.0
7,19,23,16,0,0,372.0
97,44,26,2,0,0,5.0
98,35,4,2,0,0,5.0
98,92,2,2,0,0,5.0
18,39,17,16,1,1,370.0
26,23,29,16,0,0,364.0
99,62,21,2,0,0,5.0
8,7,10,2,0,0,6.5
8,78,4,2,0,0,6.5
57,46,4,16,0,0,360.0
9,30,10,2,0,0,6.5
49,75,42,16,0,0,360.0
0,26,45,16,0,0,358.0
12,55,8,2,0,0,6.5
14,64,0,2,0,0,6.5
15,71,6,2,0,0,6.5
21,15,8,2,1,0,6.5
77,18,36,16,0,1,356.0
62,34,40,16,0,0,354.0
25,34,56,2,0,0,6.5
52,56,46,16,0,0,354.0
66,75,61,15,0,0,350.0
62,4,23,15,0,0,350.0
25,49,21,2,0,0,6.5
36,62,56,15,1,0,348.0
27,89,6,2,0,0,6.5
28,82,0,2,0,0,6.5
30,64,17,2,0,1,6.5
33,27,10,2,0,0,6.5
36,11,76,2,0,0,6.5
38,72,44,2,0,0,6.5
38,73,2,2,0,0,6.5
43,4,4,2,0,0,6.5
34,52,62,15,0,0,348.0
43,59,12,2,0,0,6.5
43,70,14,2,0,0,6.5
44,82,38,2,0,0,6.5
31,7,39,15,0,0,348.0
98,48,57,15,0,0,346.0
45,40,4,2,0,0,6.5
47,7,8,2,0,0,6.5
69,78,40,15,0,0,344.0
47,51,4,2,0,0,6.5
49,8,23,2,0,0,6.5
50,83,6,2,0,0,6.5
52,33,8,2,0,0,6.5
54,16,42,2,0,0,6.5
55,41,21,2,0,0,6.5
55,46,36,2,0,0,6.5
98,76,22,15,0,0,342.0
62,40,57,15,1,1,342.0
38,77,52,15,0,0,342.0
7,89,54,15,0,0,342.0
59,54,2,2,0,0,6.5
48,44,40,15,1,0,338.0
67,90,6,2,0,0,6.5
69,10,55,2,0,0,6.5
70,60,21,2,0,0,6.5
71,87,2,2,0,0,6.5
75,58,8,2,0,0,6.5
68,24,6,15,0,0,336.0
98,68,6,14,0,1,322.0
64,78,19,14,1,0,320.0
76,81,37,2,0,0,6.5
78,5,55,14,0,0,318.0
77,10,67,2,0,0,6.5
84,52,0,2,0,0,6.5
85,23,2,2,0,0,6.5
36,75,17,14,1,1,318.0
91,68,21,14,0,0,310.0
73,49,59,14,0,0,304.0
39,51,33,14,1,0,304.0
85,92,8,2,0,0,6.5
95,38,0,2,0,0,6.5
96,11,8,2,0,0,6.5
34,17,25,14,1,0,304.0
2,54,14,2,0,0,8.0
82,21,10,7,0,1,149.0
79,74,4,7,0,1,149.0
75,92,14,7,0,1,149.0
2,72,46,2,0,0,8.0
2,92,16,2,0,0,8.0
8,13,6,2,0,0,8.0
10,93,10,2,0,0,8.0
10,95,6,2,0,0,8.0
12,87,6,2,0,0,8.0
62,0,71,7,0,0,149.0
37,87,10,7,0,0,149.0
13,1,2,2,0,0,8.0
15,20,10,2,0,0,8.0
15,26,61,2,0,0,8.0
19,1,0,2,0,0,8.0
19,91,10,2,0,0,8.0
35,68,35,7,0,0,149.0
26,25,63,2,0,0,8.0
21,38,17,7,1,0,149.0
14,78,6,7,0,0,149.0
26,48,72,2,0,0,8.0
26,49,74,2,0,0,8.0
28,24,2,2,0,0,8.0
29,25,12,2,0,0,8.0
91,38,35,7,0,0,147.5
29,61,26,2,0,0,8.0
31,21,0,2,0,1,8.0
32,25,14,2,0,0,8.0
75,14,31,7,1,0,147.5
71,66,10,7,0,0,147.5
56,2,62,7,0,0,147.5
33,39,46,2,0,0,8.0
33,47,12,2,0,0,8.0
37,14,17,2,0,0,8.0
14,11,22,7,0,0,147.5
38,18,8,2,0,0,8.0
38,31,24,2,0,0,8.0
43,57,20,2,0,0,8.0
47,88,6,2,0,0,8.0
49,17,39,2,0,0,8.0
50,93,12,2,0,0,8.0
52,13,4,2,0,0,8.0
54,37,19,2,0,0,8.0
56,88,69,2,0,0,8.0
58,17,41,2,0,0,8.0
59,14,4,2,0,0,8.0
60,79,23,2,0,0,8.0
64,68,42,2,1,0,8.0
67,46,38,2,0,0,8.0
68,41,46,2,0,0,8.0
97,69,57,7,0,0,146.0
73,5,4,2,0,0,8.0
88,18,2,2,0,0,8.0
21,13,24,7,1,0,146.0
90,29,2,2,0,0,8.0
92,46,40,2,0,0,8.0
92,64,33,2,0,1,8.0
90,56,71,7,0,0,144.5
85,87,20,7,0,0,144.5
93,98,72,7,0,0,143.0
91,55,12,7,0,0,143.0
91,32,42,7,0,0,143.0
93,63,41,2,0,0,8.0
94,7,12,2,0,0,8.0
80,64,35,7,0,1,143.0
95,16,45,2,0,0,8.0
95,53,59,2,0,0,8.0
0,82,42,2,0,0,9.5
2,61,28,2,0,0,9.5
65,1,6,7,0,0,143.0
2,77,69,2,0,0,9.5
5,39,2,2,0,0,9.5
5,83,8,2,0,0,9.5
8,18,12,2,0,0,9.5
8,73,14,2,0,0,9.5
9,69,64,2,0,0,9.5
10,2,18,2,0,0,9.5
11,12,10,2,0,0,9.5
57,53,61,7,0,0,143.0
12,21,31,2,0,1,9.5
36,65,31,7,1,0,143.0
12,79,12,2,0,0,9.5
18,94,10,2,0,0,9.5
20,25,23,7,0,0,143.0
22,4,6,2,0,0,9.5
15,87,46,7,0,0,143.0
28,72,48,2,0,0,9.5
30,63,43,2,0,0,9.5
5,16,47,7,0,0,143.0
33,77,71,2,0,0,9.5
99,82,44,7,0,0,141.5
37,50,21,2,0,0,9.5
38,48,46,2,0,0,9.5
38,93,14,2,0,0,9.5
39,33,48,2,0,0,9.5
40,12,14,2,0,0,9.5
99,16,54,7,0,0,141.5
44,61,30,2,0,0,9.5
47,35,10,2,0,0,9.5
47,92,14,2,0,0,9.5
50,89,8,2,0,0,9.5
55,5,19,2,0,0,9.5
97,17,43,7,0,0,141.5
94,4,14,7,0,0,141.5
92,76,42,7,0,0,141.5
58,29,14,7,0,0,141.5
55,95,23,2,0,0,9.5
56,84,78,2,0,0,9.5
45,66,6,7,0,1,141.5
60,38,26,2,0,0,9.5
61,46,42,2,0,0,9.5
61,57,39,2,0,0,9.5
65,98,20,2,0,0,9.5
66,27,19,2,0,0,9.5
75,6,10,2,0,0,9.5
79,85,14,2,0,0,9.5
80,17,50,2,0,0,9.5
80,37,23,2,0,0,9.5
26,16,65,7,0,0,141.5
81,85,12,2,0,0,9.5
3,16,72,7,0,0,141.5
85,19,16,2,0,0,9.5
93,66,16,7,0,1,140.0
91,65,49,7,0,0,140.0
85,62,38,2,0,0,9.5
85,96,18,2,0,0,9.5
59,24,21,7,0,0,140.0
91,85,56,2,0,0,9.5
92,8,18,2,0,0,9.5
56,46,44,7,1,0,140.0
93,27,26,2,0,0,9.5
94,63,45,2,0,0,9.5
95,85,27,2,0,0,9.5
96,36,78,2,0,0,9.5
96,58,10,2,0,0,9.5
