,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4019.0,FF_d_coreAsc,4019.0,4298,318956.0,322353.0,4298.0,0.935086086552
1e-05,4016.20256,FF_d_coreAsc,4013.0,4298,320256.0,323531.0,4301.23531,0.933732351416
2e-05,4016.42812,FF_d_coreAsc,4010.0,4299,321406.0,324733.0,4305.49466,0.932861015324
4e-05,4017.80792,FF_d_coreAsc,4005.0,4295,320198.0,323602.0,4307.94408,0.93265089922
8e-05,4023.62464,FF_d_coreAsc,3998.0,4294,320308.0,323782.0,4319.90256,0.931415601189
0.0001,4037.0434,FF_d_coreAsc,4005.0,4297,320434.0,323738.0,4329.3738,0.932477440502
0.0002,4087.1078,FF_d_coreAsc,4023.0,4296,320539.0,323746.0,4360.7492,0.93724899382
0.0004,4129.5248,FF_d_coreAsc,4001.0,4295,321312.0,324774.0,4424.9096,0.933245009118
0.0008,4257.3712,FF_d_coreAsc,3999.0,4295,322964.0,326598.0,4556.2784,0.934396633884
0.001,4324.901,FF_d_coreAsc,4002.0,4290,322901.0,326301.0,4616.301,0.93687586663
0.002,4641.5,FF_d_coreAsc,3990.0,4289,325750.0,329495.0,4947.99,0.938057675945
0.004,5256.596,FF_d_coreAsc,3935.0,4265,330399.0,334385.0,5602.54,0.93825229271
0.008,6574.56,FF_d_coreAsc,3904.0,4246,333820.0,338270.0,6952.16,0.945685945088
0.01,7249.42,FF_d_coreAsc,3907.0,4240,334242.0,338817.0,7628.17,0.950348510849
0.02,10678.72,FF_d_coreAsc,3654.0,3975,351236.0,355691.0,11088.82,0.963016804313
0.04,18071.04,FF_d_coreAsc,2501.0,2746,389251.0,399856.0,18740.24,0.964290745476
0.08,33514.4,FF_d_coreAsc,2240.0,2466,390930.0,404170.0,34799.6,0.963068541018
0.1,41247.9,FF_d_coreAsc,2200.0,2453,390479.0,405684.0,43021.4,0.95877632992
0.2,80095.2,FF_d_coreAsc,2179.0,2331,389581.0,399307.0,82192.4,0.974484258885
0.4,157533.6,FF_d_coreAsc,2148.0,2301,388464.0,397957.0,161483.8,0.975538103513
1.0,391463.0,FF_d_coreAsc,2154.0,2306,389309.0,399021.0,401327.0,0.975421539044
10.0,3885149.0,FF_d_coreAsc,2139.0,2295,388301.0,398255.0,3984845.0,0.97498121006
