,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1535.0,FF_a,1535.0,1665,123514.0,155665.0,1665.0,0.921921921922
1e-05,1534.24932,FF_a,1533.0,1664,124932.0,156926.0,1665.56926,0.921156121721
2e-05,1535.49864,FF_a,1533.0,1664,124932.0,156926.0,1667.13852,0.921038426969
4e-05,1537.99728,FF_a,1533.0,1664,124932.0,156926.0,1670.27704,0.920803700924
8e-05,1542.99456,FF_a,1533.0,1664,124932.0,156926.0,1676.55408,0.920336885286
0.0001,1545.4932,FF_a,1533.0,1664,124932.0,156926.0,1679.6926,0.92010478584
0.0002,1566.3929,FF_a,1541.0,1663,126964.5,157160.0,1694.432,0.924435386017
0.0004,1592.1664,FF_a,1541.0,1663,127916.0,157775.5,1726.1102,0.922401362323
0.0008,1636.5916,FF_a,1534.0,1660,128239.5,161109.0,1788.8872,0.914865733289
0.001,1658.943,FF_a,1531.0,1660,127943.0,161332.0,1821.332,0.910840527702
0.002,1790.833,FF_bm2,1480.0,1655,155416.5,166139.0,1987.278,0.901148706925
0.004,2130.046,FF_bm2,1425.0,1593,176261.5,187811.0,2344.244,0.908628112091
0.008,2910.932,FF_bm2,1311.0,1472,199991.5,211908.0,3167.264,0.919068318902
0.01,3309.375,coreopt_IS_da,1292.0,1453,201737.5,215031.5,3603.315,0.918425116872
0.02,5323.66,FF_bm2,1236.0,1411,204383.0,218335.5,5777.71,0.921413501197
0.04,9511.3,coreopt_IS_da,1245.0,1369,206657.5,219663.5,10155.54,0.936562703707
0.08,17732.12,FF_bm2,1196.0,1352,206701.5,220415.5,18985.24,0.933995040358
0.1,21884.45,FF_bm2,1198.0,1347,206864.5,220340.5,23381.05,0.935990898612
0.2,42713.4,coreopt_IS_da,1218.0,1335,207477.0,220420.0,45419.0,0.940430216429
0.4,84116.4,coreopt_IS_da,1219.0,1332,207243.5,220328.0,89463.2,0.940234643965
1.0,208647.5,FF_bm2,1184.0,1329,207463.5,220428.5,221757.5,0.940881368161
10.0,2063876.0,coreopt_IS_da,1211.0,1328,206266.5,220387.0,2205198.0,0.935914144671
