src,dst,spec,slots_used,core_src,core_dst,tfk_slot
10,24,0,21,0,0,483.0
23,10,21,4,0,0,51.0
72,90,0,21,0,0,481.0
97,1,0,21,0,0,478.0
33,64,0,4,0,0,51.0
88,60,0,20,0,0,472.0
30,47,0,20,0,0,468.0
50,99,0,20,0,0,463.0
38,22,0,4,0,0,51.0
45,49,0,20,0,0,462.0
44,59,0,4,0,0,51.0
16,49,20,20,0,0,458.0
86,78,0,20,0,0,456.0
49,26,40,4,0,0,51.0
28,78,20,20,0,0,456.0
72,29,21,20,0,0,453.0
55,46,0,4,0,0,51.0
65,76,0,4,0,0,51.0
70,83,0,4,0,0,51.0
71,93,0,4,0,0,51.0
73,3,0,4,0,0,51.0
74,5,0,4,0,0,51.0
78,81,40,20,0,0,452.0
82,32,0,4,0,0,51.0
6,17,0,20,0,0,452.0
17,92,20,19,0,0,448.0
85,24,21,19,0,0,447.0
75,49,44,19,0,0,442.0
82,45,20,4,0,0,51.0
6,85,40,19,0,0,438.0
82,46,4,4,0,0,51.0
14,24,40,19,0,0,434.0
8,72,41,19,0,0,434.0
79,67,0,19,0,0,433.0
82,51,8,4,0,0,51.0
90,80,21,4,0,0,51.0
99,18,20,19,0,0,430.0
0,3,4,4,0,0,52.5
74,78,60,19,0,0,429.0
2,6,20,4,0,0,52.5
8,58,0,19,0,0,426.0
39,51,12,18,0,0,415.0
12,25,0,4,0,0,52.5
37,85,0,18,0,0,415.0
12,31,4,4,0,0,52.5
40,52,0,18,0,0,414.0
77,39,30,18,0,0,408.0
19,26,0,4,0,0,52.5
98,53,0,7,0,0,148.5
89,99,39,7,0,0,148.5
87,67,19,7,0,0,148.5
21,56,0,4,0,0,52.5
32,63,4,4,0,0,52.5
74,18,4,7,0,0,148.5
37,0,18,4,0,0,52.5
49,39,63,7,0,0,148.5
35,54,0,7,0,0,148.5
21,39,4,7,0,0,148.5
39,59,48,4,0,0,52.5
44,69,4,4,0,0,52.5
6,56,24,7,0,0,148.5
88,24,59,7,0,0,147.0
82,86,24,7,0,0,147.0
53,73,7,4,0,0,52.5
54,62,7,4,0,0,52.5
82,57,12,7,0,0,147.0
74,57,19,7,0,0,147.0
65,58,19,7,0,0,147.0
57,77,0,4,0,0,52.5
59,17,39,4,0,0,52.5
62,25,11,7,0,0,147.0
61,36,0,7,0,0,147.0
64,80,4,4,0,0,52.5
65,72,60,4,0,0,52.5
73,27,11,4,0,0,52.5
45,2,24,7,0,0,147.0
42,17,43,7,0,0,147.0
76,22,4,4,0,0,52.5
96,54,11,7,0,0,145.5
86,97,31,7,0,0,145.5
83,14,4,7,0,0,145.5
62,85,59,7,0,0,145.5
48,54,18,7,0,0,145.5
47,34,20,7,0,0,145.5
80,65,8,4,0,0,52.5
82,29,41,4,0,0,52.5
43,8,19,7,0,0,145.5
22,15,8,7,0,0,145.5
22,5,15,7,0,0,145.5
88,15,20,4,0,0,52.5
19,97,21,7,0,0,145.5
6,18,59,7,0,0,145.5
1,66,21,7,0,0,145.5
92,56,4,7,0,0,144.0
69,86,38,7,0,0,144.0
61,9,7,7,0,0,144.0
60,35,20,7,0,0,144.0
90,84,25,4,0,0,52.5
5,89,4,4,0,0,54.0
52,9,18,7,0,0,144.0
13,27,0,4,0,0,54.0
14,55,11,4,0,0,54.0
45,53,31,7,0,0,144.0
41,15,0,7,0,0,144.0
33,50,20,7,0,0,144.0
28,79,40,7,0,0,144.0
9,49,70,7,0,0,144.0
4,15,24,7,0,0,144.0
1,79,28,7,0,0,144.0
96,25,4,7,0,0,142.5
88,44,24,7,0,0,142.5
61,90,29,7,0,0,142.5
28,8,60,4,0,0,54.0
59,52,25,7,0,0,142.5
54,70,25,7,0,0,142.5
38,91,4,4,0,0,54.0
52,99,46,7,0,0,142.5
39,13,52,4,0,0,54.0
48,72,64,7,0,0,142.5
41,95,7,4,0,0,54.0
30,40,20,7,0,0,142.5
43,26,4,4,0,0,54.0
60,1,35,4,0,0,54.0
69,15,15,4,0,0,54.0
30,32,27,7,0,0,142.5
28,77,4,7,0,0,142.5
70,36,7,4,0,0,54.0
22,65,26,7,0,0,142.5
89,54,32,4,0,0,54.0
17,63,50,7,0,0,142.5
4,52,32,7,0,0,142.5
97,50,38,7,0,0,141.0
96,78,18,7,0,1,141.0
96,12,25,4,0,0,54.0
9,11,0,4,0,0,55.5
90,54,36,7,0,0,141.0
12,43,8,4,0,0,55.5
89,39,56,7,0,0,141.0
12,62,18,4,0,0,55.5
84,99,53,7,0,0,141.0
84,49,0,7,0,1,141.0
79,81,19,7,0,0,141.0
79,24,66,7,0,0,141.0
72,47,71,7,0,0,141.0
71,52,39,7,0,0,141.0
66,51,0,7,0,0,141.0
15,84,31,4,0,0,55.5
44,24,73,7,0,0,141.0
43,24,12,7,0,1,141.0
43,15,35,7,0,0,141.0
