,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,3341.0,FF_a_coreAsc_mix,3341.0,3710,320272.0,353402.5,3710.0,0.900539083558
1e-05,3336.2002,FF_a_coreAsc_mix,3333.0,3708,320020.0,353600.5,3711.536005,0.898873187679
2e-05,3338.39842,FF_a_coreAsc_mix,3332.0,3711,319921.0,353938.0,3718.07876,0.897882652706
4e-05,3347.81848,FF_a_coreAsc_mix,3335.0,3708,320462.0,354054.5,3722.16218,0.899428428452
8e-05,3366.6846,FF_a_coreAsc_mix,3341.0,3710,321057.5,354068.0,3738.32544,0.900586279615
0.0001,3368.06755,FF_a_coreAsc_mix,3336.0,3710,320675.5,353915.5,3745.39155,0.899256460917
0.0002,3405.2371,FF_a_coreAsc_mix,3341.0,3710,321185.5,354029.5,3780.8059,0.900664353068
0.0004,3475.6032,FF_a_coreAsc_mix,3347.0,3706,321508.0,353479.0,3847.3916,0.903366114331
0.0008,3592.2408,FF_a_coreAsc_mix,3335.0,3702,321551.0,353709.5,3984.9676,0.901447931471
0.001,3656.084,FF_a_coreAsc_mix,3334.0,3707,322084.0,354620.5,4061.6205,0.900154014881
0.002,3940.951,FF_a_coreAsc_mix,3291.0,3701,324975.5,359885.0,4420.77,0.891462573262
0.004,4609.654,FF_d_coreAsc,3272.0,3694,334413.5,361460.0,5139.84,0.896847761798
0.008,5933.208,FF_d_coreAsc,3243.0,3670,336276.0,363835.5,6580.684,0.901609619912
0.01,6615.385,FF_d_coreAsc,3232.0,3661,338338.5,366223.5,7323.235,0.903341897399
0.02,10072.8,FF_d_coreAsc,3044.0,3439,351440.0,378051.5,11000.03,0.915706593527
0.04,17732.52,FF_d_coreAsc,2164.0,2378,389213.0,405246.5,18587.86,0.953983944359
0.08,33449.2,FF_d_coreAsc,2006.0,2190,393040.0,408161.5,34842.92,0.959999908159
0.1,41289.3,FF_d_coreAsc,1990.0,2179,392993.0,408471.5,43026.15,0.959632688493
0.2,80360.7,FF_d_coreAsc,1957.0,2143,392018.5,407498.5,83642.7,0.960761668382
0.4,159035.8,FF_d_coreAsc,1964.0,2137,392679.5,407151.5,164997.6,0.963867353222
1.0,394233.5,FF_d_coreAsc,1955.0,2134,392278.5,407598.0,409732.0,0.962174055236
10.0,3931116.0,FF_d_coreAsc,1956.0,2124,392916.0,407600.0,4078124.0,0.963952052463
