src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
46,94,0,21,0,0,1,498.0
7,92,75,5,0,0,1,76.0
97,63,0,21,0,0,1,482.0
46,43,21,20,0,0,1,475.0
10,63,21,20,0,0,1,474.0
9,45,75,5,0,0,1,76.0
46,53,41,20,0,0,1,473.0
11,71,0,19,0,0,1,443.0
24,16,75,5,0,0,1,76.0
61,18,0,19,0,0,1,438.0
18,11,19,19,0,0,1,437.0
31,86,75,5,0,0,1,76.0
88,57,0,8,0,0,1,174.0
84,75,0,8,0,0,1,174.0
78,54,0,8,0,0,1,174.0
76,18,38,8,0,0,1,174.0
31,60,0,8,0,0,1,174.0
21,88,8,8,0,0,1,174.0
91,68,0,8,0,0,1,172.25
79,47,0,8,0,0,1,172.25
79,8,8,8,0,0,1,172.25
76,19,0,8,0,0,1,172.25
56,89,0,8,0,0,1,172.25
51,75,8,8,0,0,1,172.25
16,36,0,8,0,0,1,172.25
90,21,0,8,0,0,1,170.5
35,13,75,5,0,0,1,76.0
86,5,0,8,0,0,1,170.5
75,64,16,8,0,0,1,170.5
66,64,0,8,0,0,1,170.5
49,51,0,8,0,0,1,170.5
38,26,75,5,0,0,1,76.0
40,26,0,8,0,0,1,170.5
32,71,19,8,0,0,1,170.5
31,47,8,8,0,0,1,170.5
49,27,75,5,0,0,1,76.0
28,84,8,8,0,0,1,170.5
24,8,0,8,0,0,1,170.5
22,57,8,8,0,0,1,170.5
17,84,16,8,0,0,1,170.5
56,69,75,5,0,0,1,76.0
14,59,0,8,0,0,1,170.5
13,99,0,8,0,0,1,170.5
13,86,8,8,0,0,1,170.5
6,3,0,8,0,0,1,170.5
98,39,0,8,0,0,1,168.75
84,28,24,8,0,0,1,168.75
80,47,16,8,0,0,1,168.75
74,87,0,8,0,0,1,168.75
57,81,75,5,0,0,1,76.0
70,63,41,8,0,0,1,168.75
70,12,75,5,0,0,1,76.0
64,50,8,8,0,0,1,168.75
55,69,0,8,0,0,1,168.75
43,59,8,8,0,0,1,168.75
42,75,24,8,0,0,1,168.75
73,91,75,5,0,0,1,76.0
30,89,8,8,0,0,1,168.75
28,30,0,8,0,0,1,168.75
93,40,8,8,0,0,1,167.0
88,83,16,8,0,0,1,167.0
82,23,0,8,0,0,1,167.0
80,8,75,5,0,0,1,76.0
80,23,8,8,0,0,1,167.0
70,65,0,8,0,0,1,167.0
82,32,75,5,0,0,1,76.0
69,96,8,8,0,0,1,167.0
68,47,24,8,0,0,1,167.0
63,53,61,8,0,0,1,167.0
50,72,0,8,0,0,1,167.0
39,94,21,8,0,0,1,167.0
38,75,32,8,0,0,1,167.0
32,21,27,8,0,0,1,167.0
28,8,16,8,0,0,1,167.0
25,63,49,8,0,0,1,167.0
19,84,32,8,0,0,1,167.0
13,47,32,8,0,0,1,167.0
9,14,8,8,0,0,1,167.0
8,55,24,8,0,0,1,167.0
5,84,40,8,0,0,1,167.0
2,1,0,8,0,0,1,167.0
92,68,8,8,0,0,1,165.25
70,71,27,8,0,0,1,165.25
68,25,16,8,0,0,1,165.25
97,89,75,5,0,0,1,76.0
10,34,75,5,0,0,1,77.75
62,72,8,8,0,0,1,165.25
58,59,16,8,0,0,1,165.25
48,8,32,8,0,0,1,165.25
40,69,16,8,0,0,1,165.25
10,58,70,5,0,0,1,77.75
34,72,16,8,0,0,1,165.25
34,54,8,8,0,0,1,165.25
20,83,0,8,0,0,1,165.25
14,11,38,8,0,0,1,165.25
0,18,46,8,0,0,1,165.25
93,11,46,8,0,0,1,163.5
12,26,70,5,0,0,1,77.75
92,59,24,8,0,0,1,163.5
12,67,65,5,0,0,1,77.75
86,21,16,8,0,0,1,163.5
82,91,8,8,0,0,1,163.5
81,87,8,8,0,0,1,163.5
15,6,75,5,0,0,1,77.75
72,56,24,8,0,0,1,163.5
47,22,40,8,0,0,1,163.5
45,54,16,8,0,0,1,163.5
42,59,32,8,0,0,1,163.5
18,63,75,5,0,0,1,77.75
40,11,54,8,0,0,1,163.5
23,75,75,5,0,0,1,77.75
25,31,70,5,0,0,1,77.75
35,23,16,8,0,0,1,163.5
22,39,29,8,0,0,1,163.5
20,3,8,8,0,0,1,163.5
16,39,8,8,0,0,1,163.5
12,87,16,8,0,0,1,163.5
31,87,65,5,0,0,1,77.75
8,41,40,8,0,0,1,163.5
3,79,16,8,0,0,1,163.5
99,8,48,8,0,0,1,161.75
41,69,70,5,0,0,1,77.75
87,50,24,8,0,0,1,161.75
85,11,62,8,0,0,1,161.75
42,38,70,5,0,0,1,77.75
83,68,32,8,0,0,1,161.75
71,12,35,8,0,0,1,161.75
42,92,65,5,0,0,1,77.75
64,44,24,8,0,0,1,161.75
58,61,24,8,0,0,1,161.75
55,39,37,8,0,0,1,161.75
53,68,69,8,0,0,1,161.75
52,91,16,8,0,0,1,161.75
42,96,75,5,0,0,1,77.75
43,54,75,5,0,0,1,77.75
73,67,70,5,0,0,1,77.75
52,53,0,8,0,0,1,161.75
74,15,70,5,0,0,1,77.75
80,40,70,5,0,0,1,77.75
43,3,41,8,0,0,1,161.75
88,64,75,5,0,0,1,77.75
42,54,40,8,0,0,1,161.75
38,65,8,8,0,0,1,161.75
94,32,70,5,0,0,1,77.75
23,46,61,8,0,0,1,161.75
17,57,24,8,0,0,1,161.75
