src,dst,spec,slots_used,core_src,core_dst,tfk_slot
88,74,0,20,0,0,457.0
0,24,0,3,0,0,26.0
73,20,0,19,0,0,448.0
26,57,0,19,0,0,435.0
74,54,20,19,0,0,431.0
56,69,0,18,0,0,419.0
62,57,19,18,0,0,418.0
17,73,19,18,0,0,410.0
44,56,18,17,0,0,400.0
7,45,0,3,0,0,26.0
59,39,0,17,0,0,399.0
12,21,0,3,0,0,26.0
13,46,0,3,0,0,26.0
81,41,0,17,0,0,394.0
2,77,0,17,0,0,393.0
18,9,0,3,0,0,26.0
69,74,39,17,0,0,383.0
25,81,17,3,0,0,26.0
97,53,0,6,0,0,124.75
87,24,3,6,0,0,124.75
29,11,0,3,0,0,26.0
86,52,0,6,0,0,124.75
78,72,0,6,0,0,124.75
30,18,3,3,0,0,26.0
52,44,6,6,0,0,124.75
36,34,0,3,0,0,26.0
52,20,19,6,0,0,124.75
39,79,17,6,0,0,124.75
58,72,6,3,0,0,26.0
26,63,19,6,0,0,124.75
3,39,23,6,0,0,124.75
70,72,9,3,0,0,26.0
73,76,37,6,0,0,123.5
61,62,0,6,0,0,123.5
50,34,3,6,0,0,123.5
85,74,56,3,0,0,26.0
87,70,0,3,0,0,26.0
93,34,9,3,0,0,26.0
97,19,6,3,0,0,26.0
97,57,37,3,0,0,26.0
44,95,0,6,0,0,123.5
9,20,25,6,0,0,123.5
4,45,3,6,0,0,123.5
89,2,17,6,0,0,122.25
78,23,6,6,0,0,122.25
72,39,29,6,0,0,122.25
0,83,3,3,0,0,27.25
3,61,6,3,0,0,27.25
16,33,0,3,0,0,27.25
22,2,23,3,0,0,27.25
25,11,3,3,0,0,27.25
27,19,0,3,0,0,27.25
67,72,12,6,0,0,122.25
65,71,0,6,0,0,122.25
59,79,23,6,0,0,122.25
58,73,43,6,0,0,122.25
35,5,0,3,0,0,27.25
36,57,40,3,0,0,27.25
56,26,35,6,0,0,122.25
31,20,31,6,0,0,122.25
38,47,0,3,0,0,27.25
25,66,6,6,0,0,122.25
46,1,3,3,0,0,27.25
23,24,12,6,0,0,122.25
21,93,3,6,0,0,122.25
47,85,3,3,0,0,27.25
48,34,12,3,0,0,27.25
0,54,6,6,0,0,122.25
52,58,12,3,0,0,27.25
99,38,3,6,0,0,121.0
53,24,9,3,0,0,27.25
63,90,0,3,0,0,27.25
65,23,18,3,0,0,27.25
82,78,12,6,0,0,121.0
58,44,35,6,0,0,121.0
72,55,18,3,0,0,27.25
57,37,43,6,0,0,121.0
73,6,49,3,0,0,27.25
49,20,37,6,0,0,121.0
77,29,17,3,0,0,27.25
48,17,0,6,0,0,121.0
43,64,0,6,0,0,121.0
78,71,18,3,0,0,27.25
80,37,0,3,0,0,27.25
83,76,0,3,0,0,27.25
86,84,6,3,0,0,27.25
6,79,0,3,0,0,28.5
10,87,9,3,0,0,28.5
14,51,0,3,0,0,28.5
25,23,0,3,0,0,28.5
27,88,20,3,0,0,28.5
31,26,25,3,0,0,28.5
34,55,15,3,0,0,28.5
36,53,6,3,0,0,28.5
49,10,0,3,0,0,28.5
42,44,12,6,0,0,121.0
28,43,6,6,0,0,121.0
26,43,28,6,0,0,121.0
19,69,18,6,0,0,121.0
18,57,49,6,0,0,121.0
8,54,0,6,0,0,121.0
51,53,12,3,0,0,28.5
5,0,12,6,0,0,121.0
75,38,9,3,0,0,28.5
70,7,3,6,0,0,119.75
96,2,26,3,0,0,28.5
99,45,9,3,0,0,28.5
99,57,55,3,0,0,28.5
3,62,9,3,0,0,29.75
4,92,0,3,0,0,29.75
6,3,3,3,0,0,29.75
7,53,15,3,0,0,29.75
8,16,6,3,0,0,29.75
65,86,9,6,0,0,119.75
10,55,3,3,0,0,29.75
61,89,9,6,0,0,119.75
11,10,6,3,0,0,29.75
55,85,6,6,0,0,119.75
28,77,20,6,0,0,119.75
23,70,21,6,0,0,119.75
11,84,9,3,0,0,29.75
21,94,9,6,0,0,119.75
19,50,9,3,0,0,29.75
24,48,18,3,0,0,29.75
14,60,3,6,0,0,119.75
26,37,49,3,0,0,29.75
32,76,3,3,0,0,29.75
36,71,9,3,0,0,29.75
99,56,41,6,0,0,118.5
96,21,15,6,0,0,118.5
37,31,3,3,0,0,29.75
42,37,6,3,0,0,29.75
67,44,41,3,0,0,29.75
87,69,24,6,0,0,118.5
68,43,12,3,0,0,29.75
79,86,29,3,0,0,29.75
84,2,29,6,0,0,118.5
78,58,21,6,0,0,118.5
68,72,21,6,0,0,118.5
82,37,9,3,0,0,29.75
67,86,18,6,0,0,118.5
90,80,3,3,0,0,29.75
91,87,12,3,0,0,29.75
93,9,12,3,0,0,29.75
99,44,47,3,0,0,29.75
60,6,9,6,0,0,118.5
0,95,18,3,0,0,31.0
1,54,12,3,0,0,31.0
3,56,47,3,0,0,31.0
4,98,9,3,0,0,31.0
16,43,15,3,0,0,31.0
58,40,0,6,0,0,118.5
46,60,15,6,0,0,118.5
18,76,6,3,0,0,31.0
21,57,58,3,0,0,31.0
6,88,23,6,0,0,118.5
22,97,9,3,0,0,31.0
1,15,6,6,0,0,118.5
24,95,21,3,0,0,31.0
25,87,20,3,0,0,31.0
31,17,6,3,0,0,31.0
93,72,35,6,0,0,117.25
37,88,29,3,0,0,31.0
48,18,9,3,0,0,31.0
88,20,43,6,0,0,117.25
58,47,9,3,0,0,31.0
60,8,21,3,0,0,31.0
71,47,12,6,0,0,117.25
67,49,3,3,0,0,31.0
66,43,18,6,0,0,117.25
83,96,6,3,0,0,31.0
63,38,12,6,0,0,117.25
85,41,17,3,0,0,31.0
86,94,15,3,0,0,31.0
94,88,32,3,0,0,31.0
61,54,39,6,0,0,117.25
59,80,17,6,0,0,117.25
94,90,6,3,0,0,31.0
49,56,50,6,0,0,117.25
1,71,21,3,0,0,32.25
1,85,0,3,0,0,32.25
4,52,15,3,0,0,32.25
6,96,29,3,0,0,32.25
10,60,24,3,0,0,32.25
18,64,12,3,0,0,32.25
19,17,12,3,0,0,32.25
30,95,6,3,0,0,32.25
46,5,6,6,0,0,117.25
28,68,0,6,0,0,117.25
32,11,12,3,0,0,32.25
22,61,15,6,0,0,117.25
34,98,18,3,0,0,32.25
20,70,49,6,0,0,117.25
7,56,56,6,0,0,117.25
5,55,21,6,0,0,117.25
36,45,12,3,0,0,32.25
95,81,24,6,0,0,116.0
37,4,12,3,0,0,32.25
90,59,29,6,0,0,116.0
42,60,0,3,0,0,32.25
90,41,20,6,0,0,116.0
87,56,62,6,0,0,116.0
66,1,24,6,0,0,116.0
60,36,27,6,0,0,116.0
46,15,12,3,0,0,32.25
46,68,27,3,0,0,32.25
59,83,35,6,0,0,116.0
52,90,26,3,0,0,32.25
58,70,15,3,0,0,32.25
61,77,26,3,0,0,32.25
63,35,3,3,0,0,32.25
52,40,29,6,0,0,116.0
47,52,35,6,0,0,116.0
69,8,30,3,0,0,32.25
47,43,41,6,0,0,116.0
69,16,33,3,0,0,32.25
76,4,18,3,0,0,32.25
81,67,30,3,0,0,32.25
82,98,0,3,0,0,32.25
83,2,41,3,0,0,32.25
87,44,44,3,0,0,32.25
28,76,12,6,0,0,116.0
0,9,21,3,0,0,33.5
1,41,30,3,0,0,33.5
2,19,35,3,0,0,33.5
22,73,52,6,0,0,116.0
21,77,29,6,0,0,116.0
20,3,55,6,0,0,116.0
16,62,37,6,0,0,116.0
9,91,3,3,0,0,33.5
11,9,15,3,0,0,33.5
2,35,44,6,0,0,116.0
99,66,12,6,0,0,114.75
12,26,41,3,0,0,33.5
17,23,37,3,0,0,33.5
27,45,15,3,0,0,33.5
29,44,50,3,0,0,33.5
99,41,33,6,0,0,114.75
30,91,0,3,0,0,33.5
94,66,0,6,0,0,114.75
80,21,23,6,0,0,114.75
31,80,9,3,0,0,33.5
36,84,3,3,0,0,33.5
48,35,6,3,0,0,33.5
51,64,6,3,0,0,33.5
58,26,52,3,0,0,33.5
75,88,35,6,0,0,114.75
59,32,41,3,0,0,33.5
68,59,44,3,0,0,33.5
67,28,33,6,0,0,114.75
61,31,45,6,0,0,114.75
72,68,41,3,0,0,33.5
59,12,47,6,0,0,114.75
75,64,15,3,0,0,33.5
76,23,27,3,0,0,33.5
57,92,61,6,0,0,114.75
80,42,29,3,0,0,33.5
86,62,43,3,0,0,33.5
91,83,9,3,0,0,33.5
93,7,18,3,0,0,33.5
32,2,50,6,0,0,114.75
9,98,6,3,0,0,34.75
12,52,44,3,0,0,34.75
25,61,29,6,0,0,114.75
22,16,3,3,0,0,34.75
32,61,21,3,0,0,34.75
25,59,53,6,0,0,114.75
42,65,21,3,0,0,34.75
46,18,21,3,0,0,34.75
46,51,24,3,0,0,34.75
8,15,15,6,0,0,114.75
49,84,12,3,0,0,34.75
50,95,12,3,0,0,34.75
51,42,3,3,0,0,34.75
5,56,68,6,0,0,114.75
94,71,24,6,0,0,113.5
52,87,41,3,0,0,34.75
93,69,56,6,0,0,113.5
55,61,35,3,0,0,34.75
65,79,6,3,0,0,34.75
92,52,47,6,0,0,113.5
85,47,20,6,0,0,113.5
66,22,30,3,0,0,34.75
68,34,30,3,0,0,34.75
84,72,44,6,0,0,113.5
68,58,18,3,0,0,34.75
70,69,36,3,0,0,34.75
74,20,61,3,0,0,34.75
71,54,45,6,0,0,113.5
82,52,53,3,0,0,34.75
61,6,52,6,0,0,113.5
82,67,6,3,0,0,34.75
43,20,64,6,0,0,113.5
42,81,33,6,0,0,113.5
37,92,15,6,0,0,113.5
83,80,12,3,0,0,34.75
25,26,59,6,0,0,113.5
88,34,49,3,0,0,34.75
93,47,26,3,0,0,34.75
97,24,24,3,0,0,34.75
22,66,33,6,0,0,113.5
22,21,39,6,0,0,113.5
5,59,59,6,0,0,113.5
1,59,65,6,0,0,113.5
97,91,15,3,0,0,34.75
6,21,35,3,0,0,36.0
8,38,24,3,0,0,36.0
98,61,58,6,0,0,112.25
10,59,71,3,0,0,36.0
93,43,47,6,0,0,112.25
11,14,18,3,0,0,36.0
83,88,52,6,0,0,112.25
79,54,51,6,0,0,112.25
72,76,50,6,0,0,112.25
68,61,64,6,0,0,112.25
67,69,62,6,0,0,112.25
11,72,56,3,0,0,36.0
14,3,12,3,0,0,36.0
61,63,70,6,0,0,112.25
61,20,70,6,1,0,112.25
16,55,12,3,0,0,36.0
19,3,15,3,0,0,36.0
58,2,56,6,0,0,112.25
20,24,76,3,0,0,36.0
55,79,38,6,0,0,112.25
49,60,43,6,0,0,112.25
42,15,39,6,0,0,112.25
20,89,0,3,1,0,36.0
40,57,67,6,0,0,112.25
24,30,27,3,0,0,36.0
27,82,3,3,0,0,36.0
39,95,35,6,0,0,112.25
28,23,30,3,0,0,36.0
28,93,41,3,0,0,36.0
29,84,20,3,0,0,36.0
31,97,12,3,0,0,36.0
34,74,64,6,0,0,112.25
32,29,6,3,0,0,36.0
32,66,44,3,0,0,36.0
32,15,24,6,0,0,112.25
35,22,12,3,0,0,36.0
60,78,33,3,0,0,36.0
66,45,39,3,0,0,36.0
69,64,68,3,0,0,36.0
31,24,37,6,0,0,112.25
71,9,31,3,0,0,36.0
21,10,45,6,0,0,112.25
20,30,9,6,1,0,112.25
16,44,53,6,0,0,112.25
78,45,27,3,0,0,36.0
79,76,9,3,0,0,36.0
79,81,44,3,0,0,36.0
15,43,53,6,0,0,112.25
11,4,21,6,0,0,112.25
95,36,15,3,0,0,36.0
95,83,30,3,0,0,36.0
99,96,0,3,0,0,36.0
0,32,30,3,0,0,37.25
0,40,24,3,0,0,37.25
0,47,47,3,0,0,37.25
1,72,59,3,0,0,37.25
3,50,0,3,0,0,37.25
5,87,30,6,0,0,112.25
5,52,74,6,0,0,112.25
8,50,27,3,0,0,37.25
11,44,59,3,0,0,37.25
12,35,9,3,0,0,37.25
12,94,18,3,0,0,37.25
1,40,15,6,0,0,112.25
14,12,15,3,0,0,37.25
15,81,21,3,0,0,37.25
99,73,58,6,0,0,111.0
16,4,27,3,0,0,37.25
19,97,27,3,0,0,37.25
22,46,45,3,0,0,37.25
28,11,27,3,0,0,37.25
98,21,51,6,0,0,111.0
28,74,70,3,0,0,37.25
29,41,26,3,0,0,37.25
90,66,47,6,0,0,111.0
87,13,47,6,0,0,111.0
37,58,32,3,0,0,37.25
85,17,40,6,0,0,111.0
43,75,24,3,0,0,37.25
81,14,47,6,0,0,111.0
78,81,53,6,0,0,111.0
63,88,58,6,0,0,111.0
44,41,62,3,0,0,37.25
60,50,36,6,0,0,111.0
53,38,18,6,0,0,111.0
52,61,56,6,0,1,111.0
45,98,21,3,0,0,37.25
47,96,32,3,0,0,37.25
51,48,27,6,0,0,111.0
47,66,53,6,0,0,111.0
42,77,45,6,0,0,111.0
41,74,73,6,0,0,111.0
40,77,35,6,0,0,111.0
59,33,74,3,0,0,37.25
60,3,50,3,0,0,37.25
40,8,9,6,0,0,111.0
61,32,76,3,0,0,37.25
39,91,41,6,0,0,111.0
61,99,18,3,1,0,37.25
62,18,15,3,0,0,37.25
36,15,33,6,0,0,111.0
68,20,6,3,0,1,37.25
32,80,33,6,0,0,111.0
70,91,18,3,0,0,37.25
79,8,33,3,0,0,37.25
81,62,59,3,0,0,37.25
83,68,15,3,0,0,37.25
90,84,15,3,0,0,37.25
32,55,56,6,0,0,111.0
29,81,62,6,0,0,111.0
92,68,9,3,0,0,37.25
21,42,61,6,0,0,111.0
1,76,33,3,0,0,38.5
2,61,62,6,0,1,111.0
2,97,68,3,0,0,38.5
99,78,64,6,0,0,109.75
90,43,35,6,0,0,109.75
88,72,64,6,0,0,109.75
7,97,21,3,0,0,38.5
8,19,38,3,0,0,38.5
87,28,53,6,0,0,109.75
81,83,68,6,0,0,109.75
81,16,74,6,0,0,109.75
79,33,57,6,0,0,109.75
11,63,30,3,0,0,38.5
12,24,30,3,0,0,38.5
12,37,21,3,0,0,38.5
12,70,12,3,0,0,38.5
72,53,70,6,0,0,109.75
68,24,47,6,0,0,109.75
17,82,46,3,0,0,38.5
19,65,24,3,0,0,38.5
67,33,24,6,0,0,109.75
24,76,43,3,0,0,38.5
58,59,62,6,0,1,109.75
30,69,71,3,0,0,38.5
32,96,9,3,0,0,38.5
54,28,59,6,0,0,109.75
47,48,59,6,0,0,109.75
40,29,41,3,0,0,38.5
41,89,39,6,0,0,109.75
