,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1385.0,FF_a,1385.0,1531,169493.25,206305.0,1531.0,0.904637491835
1e-05,1387.6912925,FF_a,1386.0,1531,169129.25,207802.75,1533.0780275,0.905166774038
2e-05,1389.382585,FF_a,1386.0,1531,169129.25,207802.75,1535.156055,0.905043223765
4e-05,1392.76517,FF_a,1386.0,1531,169129.25,207802.75,1539.31211,0.904797123957
8e-05,1399.53034,FF_a,1386.0,1531,169129.25,207802.75,1547.62422,0.904308889661
0.0001,1402.912925,FF_a,1386.0,1531,169129.25,207802.75,1551.780275,0.904066733932
0.0002,1419.82585,FF_a,1386.0,1531,169129.25,207802.75,1572.56055,0.902875154791
0.0004,1450.0371,coreopt_IS_aa,1380.0,1530,175092.75,208866.5,1613.5466,0.898664531908
0.0008,1522.6692,FF_a,1386.0,1531,170836.5,210883.5,1699.7068,0.895842271149
0.001,1554.68775,FF_bm2,1361.0,1530,193687.75,211673.25,1741.67325,0.892640310116
0.002,1755.204,FF_bm2,1364.0,1530,195602.0,213485.5,1956.971,0.896898318882
0.004,2158.527,FF_bm2,1317.0,1486,210381.75,228650.75,2400.603,0.899160335966
0.008,3026.018,FF_bm2,1274.0,1442,219002.25,237204.0,3339.632,0.906093246202
0.01,3458.675,FF_bm2,1253.0,1429,220567.5,239718.5,3826.185,0.903948711314
0.02,5671.74,FF_mix,1233.0,1412,221937.0,241739.5,6246.79,0.907944720408
0.04,10148.81,FF_bm2,1231.0,1402,222945.25,241824.75,11074.99,0.916371933519
0.08,19062.06,coreopt_IS_da,1223.0,1395,222988.25,242292.0,20778.36,0.91739964078
0.1,23490.7,coreopt_IS_da,1217.0,1394,222737.0,242189.75,25612.975,0.91714062892
0.2,45619.6,FF_bm2,1211.0,1392,222043.0,242337.0,49859.4,0.914964881246
0.4,90408.4,coreopt_IS_da,1217.0,1391,222978.5,242479.75,98382.9,0.918944247425
1.0,223628.5,FF_bm2,1210.0,1389,222418.5,242376.75,243765.75,0.917390978839
10.0,2229629.0,FF_bm2,1214.0,1389,222841.5,242348.75,2424876.5,0.919481466376
