src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,11,0,3,0,0,38.0
0,13,3,3,0,0,38.0
0,40,6,3,0,0,38.0
0,80,9,3,0,0,38.0
0,97,12,3,0,0,38.0
99,84,0,18,0,0,424.0
1,4,0,3,0,0,38.0
1,6,3,3,0,0,38.0
1,9,6,3,0,0,38.0
1,11,9,3,0,0,38.0
98,6,6,18,0,0,424.0
1,15,12,3,0,0,38.0
96,43,0,18,0,0,424.0
93,60,0,18,0,0,424.0
92,77,0,18,0,0,424.0
1,23,15,3,0,0,38.0
1,27,18,3,0,0,38.0
1,34,21,3,0,0,38.0
87,74,0,18,0,0,424.0
1,36,24,3,0,0,38.0
85,73,0,18,0,0,424.0
1,37,27,3,0,0,38.0
1,39,30,3,0,0,38.0
1,42,33,3,0,0,38.0
83,40,9,18,0,0,424.0
82,0,15,18,0,0,424.0
1,54,36,3,0,0,38.0
1,63,39,3,0,0,38.0
80,93,18,18,0,0,424.0
80,24,36,18,0,0,424.0
79,90,0,18,0,0,424.0
1,74,42,3,0,0,38.0
79,83,27,18,0,0,424.0
78,50,0,18,0,0,424.0
1,84,45,3,0,0,38.0
1,91,48,3,0,0,38.0
1,92,51,3,0,0,38.0
2,9,0,3,0,0,38.0
2,50,18,3,0,0,38.0
2,55,3,3,0,0,38.0
75,62,0,18,0,0,424.0
75,48,18,18,0,0,424.0
74,15,18,18,0,0,424.0
2,63,6,3,0,0,38.0
72,31,0,18,0,0,424.0
2,71,9,3,0,0,38.0
71,98,24,18,0,0,424.0
2,79,21,3,0,0,38.0
66,72,18,18,0,0,424.0
64,76,0,18,0,0,424.0
64,51,18,18,0,0,424.0
2,95,12,3,0,0,38.0
2,97,15,3,0,0,38.0
64,32,36,18,0,0,424.0
64,30,54,18,0,0,424.0
62,90,18,18,0,0,424.0
60,39,33,18,0,0,424.0
3,0,33,3,0,0,38.0
3,13,0,3,0,0,38.0
59,39,0,18,0,0,424.0
3,27,3,3,0,0,38.0
3,35,6,3,0,0,38.0
59,13,18,18,0,0,424.0
3,45,9,3,0,0,38.0
3,50,21,3,0,0,38.0
57,87,18,18,0,0,424.0
3,59,36,3,0,0,38.0
3,69,12,3,0,0,38.0
3,76,18,3,0,0,38.0
3,81,15,3,0,0,38.0
57,46,0,18,0,0,424.0
3,95,24,3,0,0,38.0
4,17,3,3,0,0,38.0
4,58,6,3,0,0,38.0
57,19,36,18,0,0,424.0
54,20,0,18,0,0,424.0
53,98,42,18,0,0,424.0
4,64,72,3,0,0,38.0
53,28,0,18,0,0,424.0
52,43,18,18,0,0,424.0
4,80,12,3,0,0,38.0
49,55,6,18,0,0,424.0
49,30,24,18,0,0,424.0
4,92,18,3,0,0,38.0
4,93,36,3,0,0,38.0
48,8,0,18,0,0,424.0
5,10,0,3,0,0,38.0
5,11,3,3,0,0,38.0
47,27,21,18,0,0,424.0
46,88,18,18,0,0,424.0
46,62,36,18,0,0,424.0
44,89,0,18,0,0,424.0
44,42,36,18,0,0,424.0
5,24,6,3,0,0,38.0
5,50,24,3,0,0,38.0
42,5,54,18,0,0,424.0
40,7,27,18,0,0,424.0
5,52,9,3,0,0,38.0
5,63,12,3,0,0,38.0
38,90,36,18,0,0,424.0
5,71,15,3,0,0,38.0
6,11,24,3,0,0,38.0
34,39,51,18,0,0,424.0
6,83,0,3,0,0,38.0
29,71,42,18,0,0,424.0
6,91,27,3,0,0,38.0
29,4,0,18,0,1,424.0
28,12,18,18,0,0,424.0
27,92,54,18,0,0,424.0
23,82,33,18,0,0,424.0
7,0,45,3,0,0,38.0
