src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,99,0,2,0,0,4.0
90,27,0,23,0,0,544.0
1,4,0,2,0,0,4.0
76,35,0,21,0,0,500.0
9,84,0,2,0,0,4.0
10,4,2,2,0,0,4.0
10,60,0,2,0,0,4.0
11,6,0,2,0,0,4.0
14,45,0,2,0,0,4.0
8,5,0,21,0,0,496.0
15,80,0,2,0,0,4.0
16,32,0,2,0,0,4.0
17,10,4,2,0,0,4.0
0,39,2,21,0,0,484.0
17,44,0,2,0,0,4.0
10,40,6,20,0,0,468.0
17,63,2,2,0,0,4.0
18,85,0,2,0,0,4.0
19,48,0,2,0,0,4.0
21,74,0,2,0,0,4.0
21,75,2,2,0,0,4.0
21,97,4,2,0,0,4.0
47,57,0,19,0,0,448.0
27,18,23,19,0,0,428.0
24,27,42,18,0,0,404.0
22,78,0,2,0,0,4.0
22,90,23,2,0,0,4.0
24,82,0,2,0,0,4.0
28,71,0,2,0,0,4.0
29,22,2,2,0,0,4.0
32,48,2,2,0,0,4.0
23,98,0,18,0,0,404.0
2,90,25,18,0,0,404.0
47,96,19,17,0,0,400.0
32,53,4,2,0,0,4.0
21,53,6,17,0,0,396.0
10,81,26,17,0,0,396.0
32,86,6,2,0,0,4.0
33,59,0,2,0,0,4.0
34,9,2,2,0,0,4.0
36,75,0,2,0,0,4.0
37,94,0,2,0,0,4.0
39,37,23,2,0,0,4.0
43,96,0,2,0,0,4.0
43,98,18,2,0,0,4.0
46,81,0,2,0,0,4.0
47,87,36,2,0,0,4.0
48,74,4,2,0,0,4.0
49,44,2,2,0,0,4.0
16,25,2,17,0,0,384.0
52,20,0,2,0,0,4.0
79,25,19,17,0,0,380.0
62,36,2,2,0,0,4.0
63,16,19,2,0,0,4.0
77,97,6,17,0,0,380.0
64,3,0,2,0,0,4.0
64,9,4,2,0,0,4.0
64,88,2,2,0,0,4.0
65,64,6,2,0,0,4.0
66,83,0,2,0,0,4.0
69,34,0,2,0,0,4.0
70,3,2,2,0,0,4.0
43,57,20,17,0,0,380.0
70,46,4,2,0,0,4.0
71,26,2,2,0,0,4.0
78,98,20,16,0,0,372.0
71,84,4,2,0,0,4.0
0,43,37,16,0,0,372.0
74,59,2,2,0,0,4.0
99,29,4,16,0,0,364.0
75,37,4,2,0,0,4.0
77,65,0,2,0,0,4.0
83,77,23,16,0,0,364.0
80,29,20,2,0,0,4.0
71,4,6,16,0,0,360.0
3,53,23,16,0,0,360.0
84,88,6,2,0,0,4.0
86,31,0,2,0,0,4.0
86,32,8,2,0,0,4.0
86,55,2,2,0,0,4.0
86,74,10,2,0,0,4.0
89,27,60,2,0,0,4.0
39,60,25,16,0,0,356.0
89,93,0,2,0,0,4.0
5,88,21,15,0,0,348.0
91,55,0,2,0,0,4.0
91,62,4,2,0,0,4.0
92,45,2,2,0,0,4.0
93,14,2,2,0,0,4.0
95,47,38,2,0,0,4.0
95,53,0,2,0,0,4.0
66,57,37,15,0,0,340.0
0,41,23,2,0,0,6.5
0,94,25,2,0,0,6.5
2,52,2,2,0,0,6.5
3,52,4,2,0,0,6.5
65,59,8,15,0,0,340.0
8,37,21,2,0,0,6.5
13,45,4,15,0,0,336.0
12,98,36,2,0,0,6.5
14,9,6,2,0,0,6.5
14,93,4,2,0,0,6.5
15,54,2,2,0,0,6.5
69,47,40,15,0,0,332.0
16,17,21,2,0,0,6.5
17,53,39,2,0,0,6.5
94,4,27,14,0,0,324.0
69,4,55,14,0,0,324.0
19,47,55,2,0,0,6.5
20,13,2,2,0,0,6.5
20,95,4,2,0,0,6.5
20,99,20,2,0,0,6.5
21,70,23,2,0,0,6.5
26,13,0,2,0,0,6.5
28,19,2,2,0,0,6.5
58,98,38,14,0,0,324.0
31,38,2,2,0,0,6.5
31,63,4,2,0,0,6.5
31,86,12,2,0,0,6.5
33,15,4,2,0,0,6.5
52,2,6,14,0,0,324.0
33,98,52,2,0,0,6.5
34,3,6,2,0,0,6.5
25,0,53,14,0,0,320.0
34,90,43,2,0,0,6.5
37,36,6,2,0,0,6.5
40,14,26,2,0,0,6.5
58,27,62,14,0,0,316.0
2,3,43,14,0,0,312.0
75,18,6,13,0,0,296.0
41,85,2,2,0,0,6.5
9,90,45,13,0,0,296.0
84,59,23,13,0,0,284.0
51,78,2,13,0,0,280.0
42,67,0,2,0,0,6.5
67,12,2,12,0,0,264.0
43,0,67,2,0,0,6.5
43,16,53,2,0,0,6.5
44,26,4,2,0,0,6.5
44,28,6,2,0,0,6.5
48,66,6,2,0,0,6.5
50,79,0,2,0,0,6.5
55,56,4,2,0,0,6.5
55,82,6,2,0,0,6.5
56,28,8,2,0,0,6.5
62,59,36,12,0,0,256.0
65,11,2,2,0,0,6.5
35,58,21,12,0,0,256.0
65,93,23,2,0,0,6.5
33,29,22,12,0,0,256.0
26,92,6,12,0,0,256.0
87,98,54,11,0,0,246.5
66,70,8,2,0,0,6.5
35,46,33,11,0,0,246.5
67,84,14,2,0,0,6.5
68,43,2,2,0,0,6.5
6,29,34,11,0,0,246.5
71,21,25,2,0,0,6.5
94,40,41,11,0,0,244.0
57,32,52,11,0,0,244.0
94,81,2,11,0,0,241.5
28,53,41,11,0,0,241.5
71,51,22,2,0,0,6.5
72,55,8,2,0,0,6.5
98,3,65,11,0,0,239.0
44,81,13,11,0,0,239.0
72,63,0,2,0,0,6.5
72,95,2,2,0,0,6.5
13,90,58,11,0,0,239.0
74,6,6,2,0,0,6.5
74,23,18,2,0,0,6.5
75,11,19,2,0,0,6.5
78,40,36,2,0,0,6.5
78,59,48,2,0,0,6.5
79,9,8,2,0,0,6.5
79,15,6,2,0,0,6.5
79,31,10,2,0,0,6.5
0,93,69,11,0,0,239.0
80,31,6,2,0,0,6.5
80,89,2,2,0,0,6.5
79,65,36,11,0,0,236.5
80,92,4,2,0,0,6.5
80,93,8,2,0,0,6.5
82,14,8,2,0,0,6.5
82,44,10,2,0,0,6.5
64,97,23,11,0,0,236.5
82,55,12,2,0,0,6.5
84,22,8,2,0,0,6.5
31,5,36,11,0,0,236.5
9,5,58,11,0,0,236.5
84,91,2,2,0,0,6.5
87,16,23,11,0,0,236.0
86,53,52,11,0,0,234.0
85,94,13,2,0,0,6.5
76,53,63,11,0,0,234.0
86,10,43,2,0,0,6.5
86,13,19,2,0,0,6.5
88,31,8,2,0,0,6.5
88,73,0,2,0,0,6.5
89,15,8,2,0,0,6.5
3,16,8,11,0,1,234.0
91,92,18,2,0,0,6.5
95,52,20,2,0,0,6.5
23,61,20,11,0,0,232.0
95,83,6,2,0,0,6.5
97,71,34,2,0,0,6.5
59,34,50,11,0,0,231.5
99,5,47,2,0,0,6.5
1,30,2,2,0,0,9.0
1,94,15,2,0,0,9.0
2,94,20,2,0,0,9.0
29,38,45,11,0,0,231.5
19,39,41,11,0,0,231.5
11,30,4,11,0,0,231.5
3,69,19,2,0,0,9.0
4,59,4,2,0,0,9.0
6,7,2,2,0,0,9.0
95,39,52,11,0,0,229.0
7,71,27,2,0,0,9.0
13,84,21,2,0,0,9.0
14,35,44,2,0,0,9.0
15,99,22,2,0,0,9.0
20,88,10,2,0,0,9.0
22,68,4,2,0,0,9.0
22,97,36,2,0,0,9.0
24,77,2,2,0,0,9.0
28,12,14,2,0,0,9.0
28,59,61,2,0,0,9.0
28,62,10,2,0,0,9.0
30,17,15,2,0,0,9.0
30,57,63,2,0,0,9.0
87,27,0,11,0,1,229.0
30,76,21,2,0,0,9.0
16,73,34,11,0,0,229.0
31,6,14,2,0,0,9.0
77,33,39,11,0,0,226.5
61,45,31,11,0,0,226.5
23,43,55,11,0,0,226.5
31,19,16,2,0,0,9.0
32,26,18,2,0,0,9.0
6,12,16,11,0,0,226.5
32,52,22,2,0,0,9.0
33,25,36,2,0,0,9.0
35,43,69,2,0,0,9.0
20,25,38,10,0,0,224.0
35,56,46,2,0,0,9.0
38,16,56,2,0,0,9.0
98,83,8,10,1,0,221.5
38,37,8,2,0,0,9.0
38,93,6,2,0,0,9.0
41,9,10,2,0,0,9.0
91,94,52,10,0,0,221.5
62,18,48,10,0,0,221.5
41,15,12,2,0,0,9.0
54,25,67,10,0,0,221.5
41,92,0,2,0,0,9.0
43,58,4,2,0,0,9.0
44,95,8,2,0,0,9.0
45,30,19,2,0,0,9.0
47,19,57,2,0,0,9.0
48,50,8,2,0,0,9.0
49,8,23,2,0,0,9.0
49,51,0,2,0,0,9.0
49,71,29,2,0,0,9.0
46,53,6,10,0,1,221.5
51,37,15,2,0,0,9.0
23,77,66,10,0,0,221.5
