,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4295.0,FF_d,4295.0,4514,294479.0,297554.0,4514.0,0.951484271156
1e-05,4313.927805,FF_d,4311.0,4503,292780.5,295872.0,4505.95872,0.957382895199
2e-05,4293.87215,FF_d,4288.0,4515,293607.5,297249.0,4520.94498,0.949773148976
4e-05,4312.73162,FF_d,4301.0,4509,293290.5,296490.5,4520.85962,0.953962737733
8e-05,4313.48808,FF_d,4290.0,4501,293601.0,296811.5,4524.74492,0.953310773594
0.0001,4324.3657,FF_d,4295.0,4512,293657.0,296957.5,4541.69575,0.952147818356
0.0002,4343.8448,FF_d,4285.0,4514,294224.0,297964.0,4573.5928,0.949766406839
0.0004,4393.6126,FF_d,4276.0,4511,294031.5,298101.5,4630.2406,0.948895096294
0.0008,4540.328,FF_d,4306.0,4500,292910.0,295785.0,4736.628,0.958557015666
0.001,4603.9265,FF_d,4309.0,4512,294926.5,297839.0,4809.839,0.957189315484
0.002,4890.984,FF_d,4293.0,4503,298992.0,302278.5,5107.557,0.957597536356
0.004,5474.86,FF_d,4246.0,4444,307215.0,310203.0,5684.812,0.963067907962
0.008,6690.824,FF_d,4173.0,4439,314728.0,318936.5,6990.492,0.957132058802
0.01,7321.425,FF_d,4217.0,4433,310442.5,313772.5,7570.725,0.96707052495
0.02,10524.46,FF_d,3974.0,4257,327523.0,332371.5,10904.43,0.965154528939
0.04,17549.12,FF_d,3075.0,3358,361853.0,370052.5,18160.1,0.966355912137
0.08,32083.88,FF_d,2959.0,3201,364061.0,371935.5,32955.84,0.973541563498
0.1,39273.65,FF_d,2943.0,3196,363306.5,372163.0,40412.3,0.971824172344
0.2,75813.7,FF_bm2,2594.0,3162,366098.5,372920.0,77746.0,0.975145988218
0.4,149033.4,FF_bm2,2594.0,3152,366098.5,371105.0,151594.0,0.983108830165
1.0,368692.5,FF_bm2,2594.0,3098,366098.5,372489.0,375587.0,0.981643400863
10.0,3663579.0,FF_bm2,2594.0,3143,366098.5,372460.0,3727743.0,0.982787440014
