,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1573.0,FF_a,1573.0,1708,123887.5,154129.0,1708.0,0.920960187354
1e-05,1575.26302,FF_a,1574.0,1706,126302.0,157682.5,1707.576825,0.922513703007
2e-05,1576.52604,FF_a,1574.0,1706,126302.0,157682.5,1709.15365,0.922401587476
4e-05,1579.05208,FF_a,1574.0,1706,126302.0,157682.5,1712.3073,0.922177975881
8e-05,1584.10416,FF_a,1574.0,1706,126302.0,157682.5,1718.6146,0.921733214649
0.0001,1581.494,FF_a,1569.0,1707,124940.0,157423.5,1722.74235,0.918009590929
0.0002,1589.679,FF_a,1565.0,1708,123395.0,158906.0,1739.7812,0.913723518797
0.0004,1630.9534,FF_a,1580.0,1709,127383.5,159255.5,1772.7022,0.920038007512
0.0008,1667.782,FF_a,1567.0,1706,125977.5,161664.0,1835.3312,0.908709011213
0.001,1693.739,FF_a,1567.0,1706,126739.0,162835.0,1868.835,0.906307405416
0.002,1813.607,FF_a,1558.0,1703,127803.5,165738.0,2034.476,0.891436910536
0.004,2129.406,FF_bm2,1416.0,1620,178351.5,192370.0,2389.48,0.891158745836
0.008,2968.1,FF_bm2,1268.0,1451,212512.5,227007.0,3267.056,0.908493763192
0.01,3399.21,coreopt_IS_da,1254.0,1428,214521.0,230367.0,3731.67,0.91090852085
0.02,5559.31,coreopt_IS_da,1213.0,1390,217315.5,233408.5,6058.17,0.917655001428
0.04,9971.28,FF_bm2,1193.0,1369,219457.0,234336.0,10742.44,0.928213701915
0.08,18735.64,FF_bm2,1179.0,1353,219458.0,234756.5,20133.52,0.930569517899
0.1,23075.75,coreopt_IS_da,1197.0,1350,218787.5,234834.5,24833.45,0.92922046675
0.2,44970.1,coreopt_IS_da,1192.0,1342,218890.5,234768.0,48295.6,0.931142795617
0.4,88439.6,coreopt_IS_da,1183.0,1339,218141.5,234790.5,95255.2,0.928449050551
1.0,219564.5,coreopt_IS_da,1183.0,1338,218381.5,234724.0,236062.0,0.930113698943
10.0,2200599.0,coreopt_IS_da,1194.0,1337,219940.5,234745.0,2348787.0,0.936908710752
