src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,76,0,5,0,0,448.0
95,47,0,5,0,0,416.0
95,22,5,5,0,0,424.0
94,72,0,5,0,0,382.0
93,88,0,5,0,0,488.0
92,36,0,5,0,0,458.0
92,1,5,5,0,0,386.0
91,37,0,5,0,0,404.0
89,38,0,5,0,0,430.0
86,48,0,5,0,0,382.0
85,34,0,5,0,0,452.0
83,63,0,5,0,0,396.0
83,40,5,5,0,0,404.0
81,22,0,5,0,0,386.0
81,18,5,5,0,0,396.0
80,11,0,5,0,0,398.0
78,37,5,5,0,0,440.0
75,28,0,5,0,0,384.0
73,44,0,5,0,0,408.0
73,33,5,5,0,0,402.0
72,81,10,5,0,0,464.0
72,52,5,5,0,0,424.0
70,61,0,5,0,0,400.0
67,44,5,5,0,0,442.0
66,73,10,5,0,0,410.0
64,94,5,5,0,0,432.0
64,81,15,5,0,0,454.0
64,27,0,5,0,0,440.0
61,8,5,5,0,0,392.0
60,62,0,5,0,0,408.0
59,0,0,5,0,0,462.0
58,79,0,5,0,0,416.0
58,71,5,5,0,0,436.0
58,44,10,5,0,0,436.0
56,98,0,5,0,0,440.0
56,8,10,5,0,0,438.0
55,74,0,5,0,0,380.0
53,83,10,5,0,0,398.0
52,22,10,5,0,0,388.0
48,79,5,5,0,0,384.0
48,7,10,5,0,0,496.0
43,57,0,5,0,0,434.0
42,52,0,5,0,0,400.0
42,39,5,5,0,0,476.0
37,83,15,5,0,0,442.0
36,12,5,5,0,0,472.0
34,17,5,5,0,0,418.0
32,92,10,5,0,0,408.0
32,64,20,5,0,0,454.0
32,20,0,5,0,0,434.0
31,52,15,5,0,0,474.0
31,36,10,5,0,0,392.0
30,97,5,5,0,0,410.0
29,88,5,5,0,0,394.0
29,44,15,5,0,0,454.0
27,96,5,5,0,0,464.0
27,26,10,5,0,0,424.0
22,87,15,5,0,0,418.0
20,71,10,5,0,0,428.0
20,32,5,5,0,0,376.0
18,96,0,5,0,0,396.0
18,67,10,5,0,0,408.0
16,67,0,5,0,0,420.0
15,28,5,5,0,0,446.0
14,27,15,5,0,0,420.0
10,32,15,5,0,0,444.0
10,27,20,5,0,0,380.0
10,15,0,5,0,0,402.0
10,9,5,5,0,0,396.0
9,85,10,5,0,0,392.0
9,36,15,5,0,0,402.0
6,34,10,5,0,0,420.0
3,9,0,5,0,0,398.0
2,70,5,5,0,0,406.0
96,21,10,4,0,0,332.0
89,24,5,4,0,0,372.0
87,99,0,4,0,0,342.0
69,35,0,4,0,0,372.0
65,97,10,4,0,0,350.0
65,86,5,4,0,0,308.0
54,8,0,4,0,0,344.0
53,44,20,4,0,0,368.0
48,0,15,4,0,0,366.0
46,7,0,4,0,0,366.0
44,82,24,4,0,0,324.0
44,74,28,4,0,0,372.0
42,74,10,4,0,0,362.0
33,24,0,4,0,0,334.0
31,71,0,4,0,0,326.0
26,39,0,4,0,0,332.0
24,44,32,4,0,0,338.0
23,69,4,4,0,0,356.0
22,50,20,4,0,0,312.0
20,25,15,4,0,0,368.0
17,79,10,4,0,0,370.0
16,86,9,4,0,0,316.0
15,52,20,4,0,0,366.0
14,96,20,4,0,0,356.0
11,63,5,4,0,0,358.0
9,59,20,4,0,0,358.0
4,49,0,4,0,0,372.0
3,54,5,4,0,0,358.0
3,33,10,4,0,0,372.0
0,48,19,4,0,0,358.0
0,39,10,4,0,0,372.0
99,44,36,3,0,0,129.5
96,9,24,3,0,0,135.5
95,43,10,3,0,0,135.5
92,64,25,3,0,0,131.0
91,29,10,3,0,0,144.5
90,87,4,3,0,0,149.0
88,25,10,3,0,0,144.5
86,21,14,3,0,0,128.0
82,98,5,3,0,0,146.0
81,77,20,3,0,0,146.0
79,25,19,3,0,0,129.5
77,30,0,3,0,0,147.5
75,94,10,3,0,0,131.0
74,35,5,3,0,0,141.5
72,44,39,3,0,0,144.5
70,92,15,3,0,0,129.5
69,62,8,3,0,0,135.5
69,60,11,3,0,0,135.5
67,59,15,3,0,0,141.5
59,43,5,3,0,0,140.0
59,17,24,3,0,0,128.0
58,54,15,3,0,0,146.0
56,62,5,3,0,0,129.5
50,73,15,3,0,0,138.5
50,19,0,3,0,0,137.0
47,15,10,3,0,0,129.5
46,80,5,3,0,0,132.5
45,71,15,3,0,0,135.5
45,52,24,3,0,0,149.0
45,48,27,3,0,0,131.0
44,97,42,3,0,0,137.0
44,80,45,3,0,0,128.0
41,46,8,3,0,0,135.5
40,95,13,3,0,0,134.0
40,77,10,3,0,0,128.0
40,16,16,3,0,0,135.5
39,34,15,3,0,0,138.5
39,9,27,3,0,0,129.5
38,10,10,3,0,0,132.5
38,5,5,3,0,0,128.0
35,91,13,3,0,0,137.0
33,78,14,3,0,0,126.5
33,76,17,3,0,0,131.0
32,9,30,3,0,0,132.5
31,48,23,3,0,0,128.0
31,16,5,3,0,0,131.0
31,5,20,3,0,0,137.0
28,19,10,3,0,0,141.5
26,99,4,3,0,0,137.0
26,98,15,3,0,0,147.5
25,85,5,3,0,0,137.0
24,94,13,3,0,0,126.5
21,93,5,3,0,0,129.5
21,69,17,3,0,0,134.0
21,61,20,3,0,0,129.5
21,22,24,3,0,0,135.5
20,99,19,3,0,0,138.5
20,51,22,3,0,0,141.5
18,21,27,3,0,0,143.0
15,13,13,3,0,0,131.0
14,80,8,3,0,0,146.0
11,29,20,3,0,0,132.5
8,47,15,3,0,0,147.5
6,67,18,3,0,0,146.0
4,51,4,3,0,0,138.5
2,28,13,3,0,0,126.5
1,36,20,3,0,0,128.0
0,78,23,3,0,0,140.0
99,48,30,2,0,0,60.5
99,21,8,2,0,0,53.0
99,17,14,2,0,0,53.0
99,1,10,2,0,0,92.0
98,75,8,2,0,0,18.5
98,74,18,2,0,0,42.5
98,73,20,2,0,0,35.0
98,65,22,2,0,0,63.5
98,56,24,2,0,0,32.0
98,51,10,2,0,0,29.0
98,48,32,2,0,0,69.5
98,45,12,2,0,0,96.5
98,42,26,2,0,0,5.0
98,20,28,2,0,0,44.0
98,17,30,2,0,0,89.0
98,15,34,2,0,0,72.5
98,14,36,2,0,0,86.0
98,1,38,2,0,0,108.5
97,87,20,2,0,0,54.5
97,66,15,2,0,0,80.0
97,61,17,2,0,0,123.5
97,50,24,2,0,0,95.0
97,43,22,2,0,0,84.5
97,21,30,2,0,0,48.5
97,0,26,2,0,0,96.5
96,97,28,2,0,0,5.0
96,63,14,2,0,0,63.5
96,57,16,2,0,0,29.0
96,43,18,2,0,0,21.5
96,25,30,2,0,0,3.5
96,15,32,2,0,0,69.5
96,11,34,2,0,0,80.0
96,3,36,2,0,0,84.5
96,0,38,2,0,0,47.0
