,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,2664.0,FF_bm2,2664.0,2664,230500.0,230150.0,2664.0,1.0
1e-05,2667.3055,FF_mix,2665.0,2665,230550.0,230550.0,2667.3055,1.0
2e-05,2668.61,FF_bm2,2664.0,2664,230500.0,230150.0,2668.603,1.0000026231
4e-05,2674.222,coreopt_IS_da,2665.0,2665,230550.0,230550.0,2674.222,1.0
8e-05,2682.44,FF_bm2,2664.0,2664,230500.0,230150.0,2682.412,1.00001043837
0.0001,2688.055,FF_mix,2665.0,2665,230550.0,230550.0,2688.055,1.0
0.0002,2711.11,FF_mix2,2665.0,2665,230550.0,230550.0,2711.11,1.0
0.0004,2756.2,FF_bm2,2664.0,2663,230500.0,229750.0,2754.9,1.00047188646
0.0008,2848.4,FF_bm2,2664.0,2664,230500.0,230150.0,2848.12,1.00009831046
0.001,2894.5,FF_bm2,2664.0,2664,230500.0,230150.0,2894.15,1.00012093361
0.002,3126.1,FF_mix,2665.0,2665,230550.0,230550.0,3126.1,1.0
0.004,3587.2,FF_mix,2665.0,2665,230550.0,230550.0,3587.2,1.0
0.008,4508.0,FF_bm2,2664.0,2664,230500.0,230150.0,4505.2,1.00062150404
0.01,4969.0,FF_bm2,2664.0,2664,230500.0,230150.0,4965.5,1.00070486356
0.02,7276.0,FF_mix,2665.0,2665,230550.0,230550.0,7276.0,1.0
0.04,11887.0,FF_mix,2665.0,2665,230550.0,230550.0,11887.0,1.0
0.08,21109.0,FF_mix,2665.0,2665,230550.0,230550.0,21109.0,1.0
0.1,25720.0,FF_bm3,2665.0,2665,230550.0,230550.0,25720.0,1.0
0.2,48764.0,FF_bm2,2664.0,2664,230500.0,230150.0,48694.0,1.00143754877
0.4,94864.0,FF_bm2,2664.0,2664,230500.0,230150.0,94724.0,1.00147797813
1.0,233215.0,FF_bm3,2665.0,2665,230550.0,230550.0,233215.0,1.0
10.0,2308165.0,FF_mix,2665.0,2665,230550.0,230550.0,2308165.0,1.0
