src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
98,91,0,17,0,0,1,400.0
0,3,77,3,0,0,1,50.0
98,89,17,17,0,0,1,400.0
98,57,34,17,0,0,1,400.0
0,7,74,3,0,0,1,50.0
0,9,71,3,0,0,1,50.0
98,52,51,17,0,0,1,400.0
98,40,0,17,1,0,1,400.0
98,26,17,17,1,0,1,400.0
98,24,34,17,1,0,1,400.0
0,10,68,3,0,0,1,50.0
98,13,51,17,1,0,1,400.0
98,7,0,17,2,0,1,400.0
98,1,17,17,2,0,1,400.0
97,44,0,17,0,0,1,400.0
97,29,17,17,0,0,1,400.0
0,11,65,3,0,0,1,50.0
97,17,34,17,0,0,1,400.0
96,95,0,17,0,0,1,400.0
96,92,17,17,0,0,1,400.0
0,15,62,3,0,0,1,50.0
96,71,34,17,0,0,1,400.0
96,62,51,17,0,0,1,400.0
96,58,0,17,1,0,1,400.0
0,17,59,3,0,0,1,50.0
96,55,17,17,1,0,1,400.0
96,53,34,17,1,0,1,400.0
0,18,56,3,0,0,1,50.0
96,48,51,17,1,0,1,400.0
96,35,0,17,2,0,1,400.0
0,19,53,3,0,0,1,50.0
96,28,17,17,2,0,1,400.0
96,21,34,17,2,0,1,400.0
96,2,51,17,2,0,1,400.0
95,90,17,17,0,0,1,400.0
0,20,50,3,0,0,1,50.0
95,86,34,17,0,0,1,400.0
95,81,51,17,0,0,1,400.0
95,67,0,17,1,0,1,400.0
95,22,17,17,1,0,1,400.0
95,20,53,17,1,0,1,400.0
95,15,34,17,1,0,1,400.0
95,7,17,17,2,0,1,400.0
0,22,47,3,0,0,1,50.0
94,87,0,17,0,0,1,400.0
94,83,17,17,0,0,1,400.0
94,58,34,17,0,0,1,400.0
94,53,51,17,0,0,1,400.0
94,35,17,17,1,0,1,400.0
94,32,0,17,1,0,1,400.0
94,31,34,17,1,0,1,400.0
94,15,51,17,1,1,1,400.0
94,9,0,17,2,0,1,400.0
0,25,44,3,0,0,1,50.0
94,5,17,17,2,0,1,400.0
92,95,0,17,0,2,1,400.0
0,27,41,3,0,0,1,50.0
90,74,0,17,0,0,1,400.0
90,29,34,17,0,0,1,400.0
90,22,51,17,0,0,1,400.0
90,18,0,17,1,0,1,400.0
89,85,0,17,0,0,1,400.0
89,82,34,17,0,0,1,400.0
89,69,51,17,0,0,1,400.0
89,66,0,17,1,0,1,400.0
0,37,38,3,0,0,1,50.0
89,52,17,17,1,0,1,400.0
89,45,34,17,1,0,1,400.0
89,24,51,17,1,0,1,400.0
0,39,35,3,0,0,1,50.0
89,20,0,17,2,0,1,400.0
89,15,17,17,2,0,1,400.0
89,14,34,17,2,0,1,400.0
88,97,51,17,0,0,1,400.0
88,90,17,17,0,1,1,400.0
88,85,34,17,0,0,1,400.0
88,76,0,17,0,0,1,400.0
88,65,0,17,1,0,1,400.0
88,61,17,17,1,0,1,400.0
88,5,34,17,1,0,1,400.0
88,4,51,17,1,0,1,400.0
87,72,17,17,0,0,1,400.0
87,59,34,17,0,0,1,400.0
87,50,51,17,0,0,1,400.0
87,32,17,17,1,0,1,400.0
86,57,0,17,0,0,1,400.0
0,41,32,3,0,0,1,50.0
85,74,17,17,0,0,1,400.0
85,68,51,17,0,0,1,400.0
85,45,0,17,1,0,1,400.0
85,41,35,17,1,0,1,400.0
85,11,17,17,1,0,1,400.0
85,6,52,17,1,0,1,400.0
85,5,0,17,2,0,1,400.0
85,4,17,17,2,0,1,400.0
84,88,0,17,0,2,1,400.0
84,15,17,17,0,1,1,400.0
84,1,34,17,0,0,1,400.0
0,45,29,3,0,0,1,50.0
83,52,0,17,0,0,1,400.0
83,49,34,17,0,0,1,400.0
83,30,51,17,0,0,1,400.0
82,75,0,17,0,0,1,400.0
82,68,17,17,0,0,1,400.0
82,50,51,17,0,1,1,400.0
82,16,0,17,1,0,1,400.0
82,6,17,17,1,0,1,400.0
81,94,34,17,0,2,1,400.0
81,63,0,17,0,0,1,400.0
81,60,17,17,0,0,1,400.0
81,59,0,17,1,0,1,400.0
81,56,17,17,1,0,1,400.0
81,47,34,17,1,0,1,400.0
81,21,51,17,1,0,1,400.0
0,47,26,3,0,0,1,50.0
0,48,23,3,0,0,1,50.0
81,20,17,17,2,0,1,400.0
81,17,0,17,2,0,1,400.0
81,9,34,17,2,0,1,400.0
80,99,0,17,0,0,1,400.0
80,48,26,17,0,0,1,400.0
80,24,43,17,0,1,1,400.0
79,93,0,17,0,0,1,400.0
79,55,34,17,0,0,1,400.0
79,29,51,17,0,0,1,400.0
79,26,17,17,0,1,1,400.0
79,22,0,17,1,0,1,400.0
79,10,17,17,1,0,1,400.0
79,4,34,17,1,0,1,400.0
79,3,51,17,1,0,1,400.0
78,99,17,17,0,0,1,400.0
78,65,34,17,0,0,1,400.0
78,59,51,17,0,0,1,400.0
78,29,0,17,0,0,1,400.0
78,28,0,17,1,0,1,400.0
78,26,34,17,1,0,1,400.0
0,49,20,3,0,0,1,50.0
0,51,17,3,0,0,1,50.0
78,18,17,17,1,0,1,400.0
0,55,14,3,0,0,1,50.0
78,1,51,17,1,0,1,400.0
77,83,0,17,0,1,1,400.0
77,80,60,17,0,0,1,400.0
77,54,17,17,0,0,1,400.0
77,45,34,17,0,1,1,400.0
77,32,34,17,1,0,1,400.0
77,2,0,17,1,0,1,400.0
76,74,34,17,0,0,1,400.0
76,66,17,17,0,0,1,400.0
76,16,51,17,0,0,1,400.0
76,15,0,17,1,0,1,400.0
75,78,17,17,0,2,1,400.0
75,67,34,17,0,0,1,400.0
75,48,51,17,0,1,1,400.0
75,43,0,17,1,0,1,400.0
75,40,17,17,1,0,1,400.0
75,37,41,17,1,0,1,400.0
0,58,11,3,0,1,1,50.0
75,32,58,17,1,0,1,400.0
75,31,0,17,2,0,1,400.0
75,28,34,17,2,0,1,400.0
75,19,17,17,2,0,1,400.0
75,18,59,17,2,0,1,400.0
75,14,0,17,3,0,1,400.0
74,65,51,17,0,0,1,400.0
74,52,34,17,1,0,1,400.0
74,26,0,17,1,0,1,400.0
73,89,51,17,0,2,1,400.0
73,87,0,17,0,1,1,400.0
73,61,34,17,0,0,1,400.0
0,61,8,3,0,0,1,50.0
73,7,17,17,0,1,1,400.0
0,65,5,3,0,1,1,50.0
73,4,0,17,1,0,1,400.0
73,2,17,17,1,0,1,400.0
70,98,34,17,0,2,1,400.0
70,91,17,17,0,0,1,400.0
70,89,0,17,0,3,1,400.0
70,56,51,17,0,0,1,400.0
70,51,0,17,1,0,1,400.0
0,67,2,3,0,1,1,50.0
70,32,17,17,1,1,1,400.0
70,27,44,17,1,0,1,400.0
70,19,61,17,1,0,1,400.0
70,18,34,17,2,0,1,400.0
70,15,0,17,2,1,1,400.0
69,88,17,17,0,2,1,400.0
69,58,34,17,0,1,1,400.0
68,66,34,17,0,0,1,400.0
0,68,77,3,1,0,1,50.0
0,72,74,3,1,0,1,50.0
0,73,71,3,1,0,1,50.0
68,43,0,17,0,1,1,400.0
68,33,0,17,1,0,1,400.0
68,3,17,17,1,0,1,400.0
67,73,51,17,0,1,1,400.0
67,63,17,17,0,0,1,400.0
67,39,5,17,1,0,1,400.0
67,28,51,17,1,0,1,400.0
67,4,22,17,1,1,1,400.0
0,75,68,3,1,0,1,50.0
66,85,51,17,0,2,1,400.0
66,30,0,17,1,0,1,400.0
66,24,17,17,1,0,1,400.0
66,20,34,17,1,1,1,400.0
66,19,51,17,1,1,1,400.0
66,13,0,17,2,0,1,400.0
66,9,17,17,2,0,1,400.0
66,2,34,17,2,0,1,400.0
65,94,17,17,0,3,1,400.0
