src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,6,78,2,0,0,1,13.0
0,37,76,2,0,0,1,13.0
97,69,0,20,0,0,1,474.0
0,44,74,2,0,0,1,13.0
0,61,72,2,0,0,1,13.0
93,54,0,20,0,0,1,474.0
90,60,0,20,0,0,1,474.0
90,5,20,20,0,0,1,474.0
86,6,0,20,0,0,1,474.0
0,80,70,2,0,0,1,13.0
0,87,68,2,0,0,1,13.0
84,74,0,20,0,0,1,474.0
83,30,0,20,0,0,1,474.0
77,85,0,20,0,0,1,474.0
0,97,66,2,0,0,1,13.0
1,0,64,2,0,0,1,13.0
1,10,78,2,0,0,1,13.0
1,13,76,2,0,0,1,13.0
1,17,74,2,0,0,1,13.0
1,21,72,2,0,0,1,13.0
75,62,0,20,0,0,1,474.0
1,28,70,2,0,0,1,13.0
75,44,20,20,0,0,1,474.0
1,31,68,2,0,0,1,13.0
1,37,66,2,0,0,1,13.0
1,44,62,2,0,0,1,13.0
75,12,40,20,0,0,1,474.0
60,12,20,20,0,0,1,474.0
1,59,60,2,0,0,1,13.0
1,88,58,2,0,0,1,13.0
59,66,0,20,0,0,1,474.0
1,93,56,2,0,0,1,13.0
1,95,54,2,0,0,1,13.0
1,97,52,2,0,0,1,13.0
2,7,78,2,0,0,1,13.0
59,42,20,20,0,0,1,474.0
58,66,20,20,0,0,1,474.0
2,8,76,2,0,0,1,13.0
52,3,0,20,0,0,1,474.0
50,27,0,20,0,0,1,474.0
48,6,20,20,0,0,1,474.0
43,62,20,20,0,0,1,474.0
2,14,74,2,0,0,1,13.0
2,16,72,2,0,0,1,13.0
2,20,70,2,0,0,1,13.0
28,37,0,20,0,0,1,474.0
24,37,20,20,0,0,1,474.0
24,25,0,20,0,0,1,474.0
22,50,20,20,0,0,1,474.0
21,89,0,20,0,0,1,474.0
21,68,20,20,0,0,1,474.0
18,19,0,20,0,0,1,474.0
13,29,0,20,0,0,1,474.0
12,95,0,20,0,0,1,474.0
11,71,0,20,0,0,1,474.0
2,27,68,2,0,0,1,13.0
8,88,0,20,0,0,1,474.0
8,84,20,20,0,0,1,474.0
2,29,66,2,0,0,1,13.0
8,26,40,20,0,0,1,474.0
6,98,40,20,0,0,1,474.0
2,30,64,2,0,0,1,13.0
2,31,62,2,0,0,1,13.0
1,42,0,20,0,0,1,474.0
2,37,60,2,0,0,1,13.0
2,47,58,2,0,0,1,13.0
2,52,56,2,0,0,1,13.0
2,65,54,2,0,0,1,13.0
2,72,52,2,0,0,1,13.0
2,73,50,2,0,0,1,13.0
2,84,48,2,0,0,1,13.0
98,46,0,20,0,0,1,458.0
98,41,20,20,0,0,1,458.0
96,41,0,20,0,0,1,458.0
2,89,46,2,0,0,1,13.0
3,43,78,2,0,0,1,13.0
3,92,76,2,0,0,1,13.0
96,4,20,20,0,0,1,458.0
4,0,62,2,0,0,1,13.0
4,2,44,2,0,0,1,13.0
4,5,78,2,0,0,1,13.0
92,76,0,20,0,0,1,458.0
92,24,40,20,0,0,1,458.0
92,19,20,20,0,0,1,458.0
91,85,20,20,0,0,1,458.0
4,6,76,2,0,0,1,13.0
90,95,56,20,0,0,1,458.0
4,22,74,2,0,0,1,13.0
87,0,0,20,0,0,1,458.0
86,19,40,20,0,0,1,458.0
85,42,40,20,0,0,1,458.0
4,48,72,2,0,0,1,13.0
4,52,70,2,0,0,1,13.0
83,89,20,20,0,0,1,458.0
82,76,20,20,0,0,1,458.0
81,88,20,20,0,0,1,458.0
4,86,68,2,0,0,1,13.0
81,53,0,20,0,0,1,458.0
80,81,40,20,0,0,1,458.0
4,94,66,2,0,0,1,13.0
80,63,0,20,0,0,1,458.0
5,28,76,2,0,0,1,13.0
6,2,74,2,0,1,1,13.0
6,29,72,2,0,0,1,13.0
76,28,40,20,0,0,1,458.0
6,58,70,2,0,0,1,13.0
6,72,68,2,0,0,1,13.0
75,13,60,20,0,1,1,458.0
7,5,74,2,0,0,1,13.0
71,21,40,20,0,0,1,458.0
7,8,72,2,0,0,1,13.0
7,11,76,2,0,0,1,13.0
66,62,40,20,0,0,1,458.0
65,83,56,20,0,0,1,458.0
7,15,70,2,0,0,1,13.0
64,51,0,20,0,0,1,458.0
63,60,40,20,0,0,1,458.0
62,13,60,20,0,2,1,458.0
7,26,68,2,0,0,1,13.0
7,29,64,2,0,0,1,13.0
60,78,60,20,0,0,1,458.0
59,5,40,20,0,0,1,458.0
7,31,66,2,0,0,1,13.0
7,37,62,2,0,0,1,13.0
7,39,60,2,0,0,1,13.0
7,46,58,2,0,0,1,13.0
7,49,56,2,0,0,1,13.0
57,29,20,20,0,0,1,458.0
54,61,20,20,0,0,1,458.0
53,73,20,20,0,0,1,458.0
7,55,54,2,0,0,1,13.0
52,77,20,20,0,0,1,458.0
7,60,52,2,0,1,1,13.0
7,62,50,2,0,1,1,13.0
52,62,0,20,1,1,1,458.0
7,64,48,2,0,0,1,13.0
51,46,20,20,0,0,1,458.0
7,69,46,2,0,0,1,13.0
7,81,44,2,0,1,1,13.0
51,1,40,20,0,1,1,458.0
7,82,42,2,0,0,1,13.0
49,88,60,20,0,0,1,458.0
7,85,40,2,0,1,1,13.0
49,29,0,20,0,1,1,458.0
47,98,60,20,0,0,1,458.0
47,20,0,20,0,0,1,458.0
45,88,0,20,0,1,1,458.0
7,98,38,2,0,1,1,13.0
45,35,20,20,0,0,1,458.0
8,5,70,2,0,0,1,13.0
8,14,78,2,0,0,1,13.0
8,19,74,2,0,0,1,13.0
43,78,0,20,0,0,1,458.0
42,72,60,20,0,1,1,458.0
8,20,68,2,0,0,1,13.0
41,95,40,20,0,1,1,458.0
38,73,0,20,0,0,1,458.0
8,38,66,2,0,0,1,13.0
37,7,40,20,0,1,1,458.0
34,99,0,20,0,0,1,458.0
34,64,20,20,0,0,1,458.0
31,88,20,20,0,1,1,458.0
8,48,64,2,0,0,1,13.0
30,83,20,20,0,1,1,458.0
30,72,40,20,0,1,1,458.0
28,14,20,20,0,0,1,458.0
8,52,62,2,0,0,1,13.0
28,6,0,20,1,1,1,458.0
25,32,20,20,0,0,1,458.0
20,41,20,20,0,1,1,458.0
18,74,20,20,0,0,1,458.0
8,77,60,2,0,0,1,13.0
8,83,78,2,1,0,1,13.0
8,94,76,2,1,0,1,13.0
16,20,40,20,0,0,1,458.0
9,21,78,2,0,0,1,13.0
15,88,40,20,0,1,1,458.0
13,9,20,20,0,0,1,458.0
12,75,60,20,0,1,1,458.0
9,26,76,2,0,0,1,13.0
9,31,74,2,0,0,1,13.0
11,60,20,20,0,1,1,458.0
9,33,72,2,0,0,1,13.0
9,36,70,2,0,0,1,13.0
10,3,20,20,0,0,1,458.0
7,66,0,20,0,1,1,458.0
5,4,0,20,0,0,1,458.0
4,76,60,20,1,0,1,458.0
9,38,68,2,0,0,1,13.0
9,47,56,2,0,0,1,13.0
4,38,20,20,1,0,1,458.0
9,48,66,2,0,0,1,13.0
2,77,0,20,0,1,1,458.0
1,91,20,20,0,1,1,458.0
9,53,64,2,0,0,1,13.0
9,57,62,2,0,0,1,13.0
1,41,60,20,1,0,1,458.0
9,67,60,2,0,0,1,13.0
0,68,40,20,0,0,1,458.0
0,11,20,20,0,1,1,458.0
99,3,40,19,0,0,1,442.0
98,54,40,19,1,0,1,442.0
97,80,20,19,0,0,1,442.0
9,76,58,2,0,1,1,13.0
9,80,54,2,0,1,1,13.0
96,50,40,19,0,0,1,442.0
95,43,20,19,0,1,1,442.0
94,47,20,19,0,0,1,442.0
93,91,58,19,0,0,1,442.0
9,85,52,2,0,1,1,13.0
9,92,50,2,0,1,1,13.0
92,51,60,19,1,0,1,442.0
9,96,48,2,0,1,1,13.0
9,99,46,2,0,1,1,13.0
10,5,72,2,0,0,1,13.0
10,25,76,2,0,0,1,13.0
91,16,0,19,0,0,1,442.0
10,42,74,2,0,1,1,13.0
89,60,54,19,0,1,1,442.0
89,14,0,19,1,0,1,442.0
86,66,20,19,0,1,1,442.0
86,40,0,19,1,0,1,442.0
10,88,56,2,0,0,1,13.0
84,0,50,19,0,1,1,442.0
83,67,0,19,1,0,1,442.0
83,15,40,19,1,1,1,442.0
10,90,54,2,0,0,1,13.0
82,61,0,19,0,0,1,442.0
11,26,78,2,0,0,1,13.0
82,14,44,19,0,0,1,442.0
82,0,0,19,1,1,1,442.0
11,32,74,2,0,0,1,13.0
81,94,60,19,0,1,1,442.0
11,40,72,2,0,0,1,13.0
11,52,68,2,0,0,1,13.0
81,79,0,19,1,0,1,442.0
81,15,19,19,1,0,1,442.0
11,58,66,2,0,0,1,13.0
11,62,70,2,0,1,1,13.0
11,69,64,2,0,0,1,13.0
11,72,62,2,0,0,1,13.0
80,99,20,19,1,0,1,442.0
79,59,19,19,0,1,1,442.0
78,51,20,19,0,1,1,442.0
11,75,58,2,0,1,1,13.0
11,79,60,2,0,0,1,13.0
11,89,52,2,0,0,1,13.0
12,17,78,2,1,0,1,13.0
78,6,39,19,0,1,1,442.0
72,99,0,19,0,1,1,442.0
12,30,76,2,1,0,1,13.0
12,51,74,2,1,1,1,13.0
72,26,19,19,0,0,1,442.0
72,8,0,19,1,1,1,442.0
71,98,60,19,0,1,1,442.0
71,29,20,19,0,1,1,442.0
12,83,54,2,1,0,1,13.0
70,96,59,19,0,0,1,442.0
13,30,78,2,0,0,1,13.0
70,37,0,19,0,1,1,442.0
69,62,20,19,0,1,1,442.0
69,33,0,19,1,0,1,442.0
68,39,0,19,0,0,1,442.0
68,28,60,19,0,1,1,442.0
67,23,19,19,0,0,1,442.0
66,16,60,19,0,1,1,442.0
13,33,74,2,0,0,1,13.0
13,57,72,2,0,0,1,13.0
13,68,70,2,0,1,1,13.0
65,94,0,19,0,0,1,442.0
13,94,68,2,0,0,1,13.0
65,66,19,19,0,2,1,442.0
65,41,0,19,1,1,1,442.0
65,32,40,19,1,0,1,442.0
14,1,42,2,0,0,1,13.0
14,32,76,2,0,0,1,13.0
