,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4820.0,FF_bm1,4820.0,4869,280449.2,310665.2,4869.0,0.989936331896
1e-05,4822.804492,FF_bm1,4820.0,4855,280449.2,308590.8,4858.085908,0.992737589111
2e-05,4825.608984,FF_bm1,4820.0,4858,280449.2,311212.4,4864.224248,0.992061372578
4e-05,4831.217968,FF_bm1,4820.0,4867,280449.2,307752.4,4879.310096,0.99014366231
8e-05,4842.435936,FF_bm1,4820.0,4856,280449.2,309699.6,4880.775968,0.992144685138
0.0001,4848.04492,FF_bm1,4820.0,4871,280449.2,310058.8,4902.00588,0.988992065428
0.0002,4876.08984,FF_bm1,4820.0,4872,280449.2,310819.2,4934.16384,0.988230224637
0.0004,4932.17968,FF_bm1,4820.0,4864,280449.2,308672.4,4987.46896,0.988914361083
0.0008,5044.35936,FF_bm1,4820.0,4856,280449.2,310056.0,5104.0448,0.988306246842
0.001,5100.4492,FF_bm1,4820.0,4872,280449.2,307980.8,5179.9808,0.984646352357
0.002,5380.8984,FF_bm1,4820.0,4856,280449.2,308306.0,5472.612,0.983241348007
0.004,5941.7968,FF_bm1,4820.0,4870,280449.2,310016.0,6110.064,0.97246064853
0.008,7075.3152,FF_mix,4530.0,4731,318164.4,327732.0,7352.856,0.96225401395
0.01,7727.016,FF_mix,4538.0,4712,318901.6,327184.0,7983.84,0.967832020682
0.02,10801.608,FF_mix,4454.0,4705,317380.4,329328.0,11291.56,0.956609007081
0.04,17170.4,FF_mix,4176.0,4445,324860.0,337664.4,17951.576,0.95648426634
0.08,31073.024,FF_mix,3724.0,3957,341862.8,352953.6,32193.288,0.965201938988
0.1,37805.44,FF_mix,3773.0,4001,340324.4,351177.2,39118.72,0.966428349394
0.2,72085.64,FF_mix,3783.0,3993,341513.2,351859.2,74364.84,0.969351107324
0.4,140142.24,FF_mix,3792.0,4019,340875.6,351680.8,144691.32,0.968560104366
1.0,344796.0,FF_mix,3744.0,3982,341052.0,352380.8,356362.8,0.96754206668
10.0,3411348.0,FF_bm3,3760.0,3978,340758.8,351485.6,3518834.0,0.969454086212
