src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,17,77,3,0,0,1,47.6
98,33,0,18,0,0,1,402.4
0,26,74,3,0,0,1,47.6
97,81,0,18,0,0,1,402.4
0,30,71,3,0,0,1,47.6
0,34,68,3,0,0,1,47.6
97,20,18,18,0,0,1,402.4
0,38,65,3,0,0,1,47.6
97,10,36,18,0,0,1,402.4
0,43,62,3,0,0,1,47.6
0,47,59,3,0,0,1,47.6
0,51,56,3,0,0,1,47.6
96,46,0,18,0,0,1,402.4
0,58,53,3,0,0,1,47.6
0,63,50,3,0,0,1,47.6
0,70,47,3,0,0,1,47.6
0,76,44,3,0,0,1,47.6
95,57,0,18,0,0,1,402.4
93,12,0,18,0,0,1,402.4
1,4,77,3,0,0,1,47.6
1,5,74,3,0,0,1,47.6
1,6,71,3,0,0,1,47.6
1,13,68,3,0,0,1,47.6
1,14,65,3,0,0,1,47.6
91,42,0,18,0,0,1,402.4
90,16,0,18,0,0,1,402.4
88,94,0,18,0,0,1,402.4
87,83,0,18,0,0,1,402.4
1,19,62,3,0,0,1,47.6
1,20,59,3,0,0,1,47.6
86,23,0,18,0,0,1,402.4
1,23,56,3,0,0,1,47.6
83,59,18,18,0,0,1,402.4
1,24,53,3,0,0,1,47.6
1,27,50,3,0,0,1,47.6
83,28,36,18,0,0,1,402.4
1,28,33,3,0,0,1,47.6
1,29,47,3,0,0,1,47.6
1,30,44,3,0,0,1,47.6
1,37,41,3,0,0,1,47.6
1,40,38,3,0,0,1,47.6
82,38,0,18,0,0,1,402.4
1,45,30,3,0,0,1,47.6
1,46,27,3,0,0,1,47.6
82,31,18,18,0,0,1,402.4
1,48,24,3,0,0,1,47.6
81,73,18,18,0,0,1,402.4
81,61,36,18,0,0,1,402.4
1,49,21,3,0,0,1,47.6
81,43,54,18,0,1,1,402.4
1,53,18,3,0,0,1,47.6
1,59,15,3,0,0,1,47.6
81,33,18,18,1,0,1,402.4
81,15,0,18,1,0,1,402.4
80,94,18,18,0,0,1,402.4
1,60,12,3,0,0,1,47.6
75,96,18,18,0,0,1,402.4
1,61,9,3,0,0,1,47.6
75,68,0,18,0,0,1,402.4
75,38,36,18,0,0,1,402.4
1,62,6,3,0,0,1,47.6
1,66,3,3,0,0,1,47.6
74,80,0,18,0,0,1,402.4
1,68,0,3,0,1,1,47.6
72,92,0,18,0,0,1,402.4
1,71,77,3,1,0,1,47.6
1,77,74,3,1,0,1,47.6
1,82,71,3,1,0,1,47.6
1,85,68,3,1,0,1,47.6
1,89,65,3,1,0,1,47.6
1,91,62,3,1,0,1,47.6
1,93,59,3,1,0,1,47.6
1,96,56,3,1,0,1,47.6
1,99,53,3,1,0,1,47.6
72,40,18,18,0,0,1,402.4
72,15,36,18,0,0,1,402.4
72,9,54,18,0,0,1,402.4
2,0,41,3,0,0,1,47.6
2,9,77,3,0,0,1,47.6
72,8,0,18,1,0,1,402.4
71,28,0,18,0,0,1,402.4
70,96,59,18,0,0,1,402.4
70,39,0,18,0,0,1,402.4
2,12,74,3,0,0,1,47.6
2,13,71,3,0,0,1,47.6
2,18,68,3,0,0,1,47.6
70,7,18,18,0,0,1,402.4
2,19,65,3,0,0,1,47.6
68,73,36,18,0,0,1,402.4
67,86,18,18,0,0,1,402.4
63,74,18,18,0,0,1,402.4
2,24,62,3,0,0,1,47.6
2,25,59,3,0,0,1,47.6
62,76,9,18,0,0,1,402.4
2,32,56,3,0,0,1,47.6
61,22,12,18,0,0,1,402.4
2,33,53,3,0,0,1,47.6
2,36,50,3,0,0,1,47.6
2,37,47,3,0,0,1,47.6
59,45,36,18,0,0,1,402.4
