src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,1,77,3,0,0,1,47.6
99,46,0,18,0,0,1,402.4
97,1,0,18,0,0,1,402.4
96,9,0,18,0,0,1,402.4
0,2,74,3,0,0,1,47.6
95,90,0,18,0,0,1,402.4
0,3,71,3,0,0,1,47.6
0,8,68,3,0,0,1,47.6
0,11,65,3,0,0,1,47.6
95,5,18,18,0,0,1,402.4
0,12,62,3,0,0,1,47.6
94,91,0,18,0,0,1,402.4
0,16,59,3,0,0,1,47.6
0,17,56,3,0,0,1,47.6
0,18,53,3,0,0,1,47.6
94,30,18,18,0,0,1,402.4
92,22,0,18,0,0,1,402.4
90,77,18,18,0,0,1,402.4
87,5,0,18,0,0,1,402.4
86,65,0,18,0,0,1,402.4
0,21,50,3,0,0,1,47.6
83,28,0,18,0,0,1,402.4
83,15,18,18,0,0,1,402.4
0,24,47,3,0,0,1,47.6
82,54,0,18,0,0,1,402.4
0,26,44,3,0,0,1,47.6
82,24,18,18,0,0,1,402.4
77,47,0,18,0,0,1,402.4
76,74,0,18,0,0,1,402.4
0,28,41,3,0,0,1,47.6
75,89,0,18,0,0,1,402.4
73,5,36,18,0,0,1,402.4
0,30,38,3,0,0,1,47.6
0,32,35,3,0,0,1,47.6
0,33,32,3,0,0,1,47.6
72,90,36,18,0,0,1,402.4
0,36,29,3,0,0,1,47.6
0,37,26,3,0,0,1,47.6
70,1,18,18,0,0,1,402.4
68,72,0,18,0,0,1,402.4
68,39,18,18,0,0,1,402.4
0,39,15,3,0,0,1,47.6
0,42,23,3,0,0,1,47.6
0,45,20,3,0,0,1,47.6
66,54,18,18,0,0,1,402.4
65,73,18,18,0,0,1,402.4
0,46,12,3,0,1,1,47.6
63,51,0,18,0,0,1,402.4
0,47,9,3,0,1,1,47.6
62,77,36,18,0,0,1,402.4
58,15,0,18,0,0,1,402.4
0,48,6,3,0,0,1,47.6
0,51,3,3,0,1,1,47.6
57,50,0,18,0,0,1,402.4
0,52,0,3,0,0,1,47.6
57,48,18,18,0,0,1,402.4
0,54,77,3,1,0,1,47.6
56,23,0,18,0,0,1,402.4
0,55,74,3,1,0,1,47.6
55,79,0,18,0,0,1,402.4
0,57,71,3,1,0,1,47.6
0,58,68,3,1,0,1,47.6
0,59,65,3,1,0,1,47.6
55,54,36,18,0,0,1,402.4
0,63,62,3,1,0,1,47.6
0,66,59,3,1,0,1,47.6
50,61,18,18,0,0,1,402.4
48,85,36,18,0,0,1,402.4
0,69,56,3,1,0,1,47.6
0,70,53,3,1,0,1,47.6
0,71,50,3,1,0,1,47.6
0,72,33,3,1,0,1,47.6
0,74,47,3,1,0,1,47.6
0,75,44,3,1,0,1,47.6
48,2,54,18,0,0,1,402.4
0,79,41,3,1,0,1,47.6
0,80,38,3,1,0,1,47.6
0,83,30,3,1,1,1,47.6
0,88,27,3,1,0,1,47.6
0,91,24,3,1,0,1,47.6
0,96,21,3,1,0,1,47.6
46,44,18,18,0,0,1,402.4
46,39,36,18,0,0,1,402.4
0,98,18,3,1,0,1,47.6
0,99,15,3,1,1,1,47.6
45,88,0,18,0,0,1,402.4
43,67,0,18,0,0,1,402.4
1,0,74,3,0,2,1,47.6
1,4,71,3,0,0,1,47.6
42,65,36,18,0,0,1,402.4
41,72,54,18,0,0,1,402.4
41,58,18,18,0,0,1,402.4
38,28,18,18,0,0,1,402.4
1,6,68,3,0,0,1,47.6
37,64,0,18,0,0,1,402.4
1,7,65,3,0,0,1,47.6
30,70,0,18,0,0,1,402.4
1,9,62,3,0,0,1,47.6
24,58,50,18,0,0,1,402.4
1,13,59,3,0,0,1,47.6
1,29,56,3,0,0,1,47.6
23,47,18,18,0,0,1,402.4
22,81,18,18,0,0,1,402.4
1,36,53,3,0,0,1,47.6
17,87,18,18,0,0,1,402.4
1,41,50,3,0,0,1,47.6
1,42,47,3,0,1,1,47.6
14,59,0,18,0,0,1,402.4
1,49,44,3,0,0,1,47.6
14,15,36,18,0,0,1,402.4
1,51,41,3,0,0,1,47.6
13,29,0,18,0,0,1,402.4
1,57,38,3,0,0,1,47.6
12,79,18,18,0,0,1,402.4
1,59,77,3,1,0,1,47.6
1,63,74,3,1,0,1,47.6
1,66,71,3,1,0,1,47.6
11,72,0,18,0,1,1,402.4
10,24,0,18,0,0,1,402.4
9,36,32,18,0,0,1,402.4
1,67,68,3,1,0,1,47.6
1,79,65,3,1,0,1,47.6
1,81,62,3,1,0,1,47.6
6,97,18,18,0,0,1,402.4
6,1,0,18,0,1,1,402.4
1,92,59,3,1,0,1,47.6
