src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,34,0,3,0,0,38.0
98,33,0,18,0,0,424.0
97,81,0,18,0,0,424.0
0,51,3,3,0,0,38.0
97,20,18,18,0,0,424.0
97,10,36,18,0,0,424.0
0,58,6,3,0,0,38.0
96,46,0,18,0,0,424.0
0,70,9,3,0,0,38.0
93,12,0,18,0,0,424.0
0,76,12,3,0,0,38.0
91,42,0,18,0,0,424.0
1,19,0,3,0,0,38.0
1,23,3,3,0,0,38.0
1,28,6,3,0,0,38.0
90,16,0,18,0,0,424.0
88,94,0,18,0,0,424.0
1,49,9,3,0,0,38.0
87,83,0,18,0,0,424.0
86,23,6,18,0,0,424.0
1,66,12,3,0,0,38.0
1,68,15,3,0,0,38.0
83,59,18,18,0,0,424.0
1,85,18,3,0,0,38.0
83,28,36,18,0,0,424.0
82,38,0,18,0,0,424.0
1,96,21,3,0,0,38.0
82,31,18,18,0,0,424.0
2,13,0,3,0,0,38.0
81,61,18,18,0,0,424.0
81,43,36,18,0,0,424.0
81,33,54,18,0,0,424.0
81,15,0,18,1,0,424.0
2,18,3,3,0,0,38.0
2,24,6,3,0,0,38.0
80,94,18,18,0,0,424.0
2,25,9,3,0,0,38.0
2,44,12,3,0,0,38.0
2,92,15,3,0,0,38.0
75,96,24,18,0,0,424.0
3,9,0,3,0,0,38.0
75,38,42,18,0,0,424.0
74,80,0,18,0,0,424.0
3,29,3,3,0,0,38.0
72,92,18,18,0,0,424.0
72,40,0,18,0,0,424.0
3,47,6,3,0,0,38.0
4,5,0,3,0,0,38.0
4,9,3,3,0,0,38.0
4,10,6,3,0,0,38.0
4,11,9,3,0,0,38.0
72,15,36,18,0,0,424.0
72,8,54,18,0,0,424.0
4,21,12,3,0,0,38.0
71,28,9,18,0,0,424.0
70,96,42,18,0,0,424.0
4,55,15,3,0,0,38.0
4,60,18,3,0,0,38.0
5,15,18,3,0,0,38.0
70,39,12,18,0,0,424.0
70,7,60,18,0,0,424.0
5,21,3,3,0,0,38.0
5,73,6,3,0,0,38.0
