,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4391.0,FF_d,4391.0,4636,247604.0,256914.0,4636.0,0.94715271786
1e-05,4364.4665,FF_d,4362.0,4626,246650.0,256682.0,4628.56682,0.942941232077
2e-05,4439.98932,FF_d,4435.0,4645,249466.0,257446.0,4650.14892,0.954805834476
4e-05,4393.87344,FF_d,4384.0,4642,246836.0,256640.0,4652.2656,0.944458854628
8e-05,4410.85088,FF_d,4391.0,4644,248136.0,257750.0,4664.62,0.945597043275
0.0001,4421.7538,FF_d,4397.0,4634,247538.0,256544.0,4659.6544,0.948944582671
0.0002,4423.0632,FF_a,4377.0,4641,230316.0,257338.0,4692.4676,0.94258790407
0.0004,4481.4144,FF_a,4389.0,4634,231036.0,257186.0,4736.8744,0.946069923239
0.0008,4578.8128,FF_d,4381.0,4637,247266.0,256994.0,4842.5952,0.945528711547
0.001,4645.36,FF_d,4396.0,4636,249360.0,258480.0,4894.48,0.949101845344
0.002,4856.844,FF_d,4361.0,4631,247922.0,258182.0,5147.364,0.943559460726
0.004,5314.96,FF_d,4280.0,4590,258740.0,270520.0,5672.08,0.937038969831
0.008,6421.032,FF_d,4213.0,4477,276004.0,286036.0,6765.288,0.949114361429
0.01,6962.14,FF_d,4197.0,4486,276514.0,287496.0,7360.96,0.945819567013
0.02,9813.2,FF_d,3724.0,4066,304460.0,317456.0,10415.12,0.94220709891
0.04,16483.08,FF_d,3173.0,3451,332752.0,343316.0,17183.64,0.959230989476
0.08,30034.16,FF_d,3106.0,3378,336602.0,346994.0,31137.52,0.96456493645
0.1,36652.0,FF_d,3124.0,3387,335280.0,345274.0,37914.4,0.96670394362
0.2,70278.2,FF_d,3077.0,3370,336006.0,347196.0,72809.2,0.965237909495
0.4,137279.4,FF_d,3041.0,3318,335596.0,346262.0,141822.8,0.967964248344
1.0,338613.0,FF_d,3055.0,3322,335558.0,345998.0,349320.0,0.969349020955
10.0,3375114.0,FF_d,3014.0,3292,337210.0,348040.0,3483692.0,0.968832491506
