,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4370.0,FF_d,4370.0,4569,250784.0,258346.0,4569.0,0.956445611731
1e-05,4343.50312,FF_d,4341.0,4561,250312.0,258672.0,4563.58672,0.951773985353
2e-05,4336.63424,FF_a,4332.0,4582,231712.0,262640.0,4587.2528,0.945366307259
4e-05,4326.00936,FF_d,4316.0,4579,250234.0,260228.0,4589.40912,0.942607043061
8e-05,4345.92224,FF_d,4326.0,4564,249028.0,258072.0,4584.64576,0.947929778548
0.0001,4366.9658,FF_d,4342.0,4562,249658.0,258018.0,4587.8018,0.951864529109
0.0002,4365.7008,FF_d,4316.0,4571,248504.0,258194.0,4622.6388,0.944417461299
0.0004,4425.9592,FF_d,4326.0,4577,249898.0,259436.0,4680.7744,0.945561315666
0.0008,4507.0208,FF_d,4308.0,4571,248776.0,258770.0,4778.016,0.943282902359
0.001,4576.576,FF_d,4325.0,4579,251576.0,261228.0,4840.228,0.94552901227
0.002,4844.98,FF_d,4344.0,4569,250490.0,259040.0,5087.08,0.952408847512
0.004,5325.784,FF_d,4293.0,4531,258196.0,267240.0,5599.96,0.951039650283
0.008,6410.952,FF_d,4163.0,4416,280994.0,290608.0,6740.864,0.95105790593
0.01,6958.36,FF_d,4150.0,4442,280836.0,291932.0,7361.32,0.945259817533
0.02,9789.4,FF_d,3710.0,4025,303970.0,315940.0,10343.8,0.946402675999
0.04,16457.48,FF_d,3177.0,3460,332012.0,342766.0,17170.64,0.958466312263
0.08,29653.12,FF_d,3160.0,3439,331164.0,341948.0,30794.84,0.962924957558
0.1,36284.0,FF_d,3121.0,3419,331630.0,342982.0,37717.2,0.962001421102
0.2,69571.6,FF_d,3196.0,3441,331878.0,341244.0,71689.8,0.970453258344
0.4,136260.6,FF_d,3115.0,3382,332864.0,343122.0,140630.8,0.968924303922
1.0,335400.0,FF_d,3146.0,3423,332254.0,343032.0,346455.0,0.968091094081
10.0,3310421.0,FF_d,3141.0,3409,330728.0,340996.0,3413369.0,0.969839768276
