src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
0,11,77,3,0,0,1,38.0
99,84,0,18,0,0,1,424.0
0,13,74,3,0,0,1,38.0
0,40,71,3,0,0,1,38.0
98,35,0,18,0,0,1,424.0
98,6,18,18,0,0,1,424.0
0,80,68,3,0,0,1,38.0
0,97,65,3,0,0,1,38.0
1,4,77,3,0,0,1,38.0
96,43,0,18,0,0,1,424.0
93,60,0,18,0,0,1,424.0
1,9,74,3,0,0,1,38.0
92,77,0,18,0,0,1,424.0
1,15,71,3,0,0,1,38.0
87,74,0,18,0,0,1,424.0
1,23,68,3,0,0,1,38.0
85,73,0,18,0,0,1,424.0
83,40,0,18,0,0,1,424.0
1,37,65,3,0,0,1,38.0
1,39,62,3,0,0,1,38.0
1,42,59,3,0,0,1,38.0
82,0,0,18,0,0,1,424.0
80,93,18,18,0,0,1,424.0
1,63,56,3,0,0,1,38.0
1,74,53,3,0,0,1,38.0
1,84,50,3,0,0,1,38.0
80,24,0,18,0,0,1,424.0
79,90,0,18,0,0,1,424.0
79,83,18,18,0,0,1,424.0
78,50,0,18,0,0,1,424.0
1,91,47,3,0,0,1,38.0
75,62,0,18,0,0,1,424.0
75,48,18,18,0,0,1,424.0
74,15,18,18,0,0,1,424.0
1,92,44,3,0,0,1,38.0
2,50,77,3,0,0,1,38.0
72,31,0,18,0,0,1,424.0
2,55,74,3,0,0,1,38.0
71,98,36,18,0,0,1,424.0
2,63,71,3,0,0,1,38.0
2,71,68,3,0,0,1,38.0
2,79,65,3,0,0,1,38.0
66,72,18,18,0,0,1,424.0
2,97,62,3,0,0,1,38.0
3,0,62,3,0,0,1,38.0
3,13,77,3,0,0,1,38.0
3,35,74,3,0,0,1,38.0
64,76,0,18,0,0,1,424.0
64,51,18,18,0,0,1,424.0
64,32,36,18,0,0,1,424.0
3,45,71,3,0,0,1,38.0
3,50,68,3,0,0,1,38.0
64,30,54,18,0,0,1,424.0
62,90,18,18,0,0,1,424.0
3,76,65,3,0,0,1,38.0
3,81,59,3,0,0,1,38.0
