,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,4622.0,FF_d_coreAsc,4622.0,4817,267422.0,270582.0,4817.0,0.959518372431
1e-05,4603.68441,FF_d_coreAsc,4601.0,4816,268441.0,271795.0,4818.71795,0.95537536286
2e-05,4617.3681,FF_d_coreAsc,4612.0,4815,268405.0,271349.0,4820.42698,0.957875333276
4e-05,4606.75952,FF_d_coreAsc,4596.0,4818,268988.0,272579.0,4828.90316,0.953997081192
8e-05,4624.45008,FF_d_coreAsc,4603.0,4814,268126.0,271322.0,4835.70576,0.956313371722
0.0001,4628.8577,FF_d_coreAsc,4602.0,4816,268577.0,271858.0,4843.1858,0.955746463413
0.0002,4674.6744,FF_d_coreAsc,4621.0,4817,268372.0,271600.0,4871.32,0.959631968337
0.0004,4714.4012,FF_d_coreAsc,4607.0,4815,268503.0,271569.0,4923.6276,0.95750564076
0.0008,4809.844,FF_d_coreAsc,4595.0,4817,268555.0,271980.0,5034.584,0.95536076069
0.001,4862.116,FF_d_coreAsc,4593.0,4819,269116.0,272497.0,5091.497,0.954948220533
0.002,5129.772,FF_d_coreAsc,4588.0,4809,270886.0,274250.0,5357.5,0.957493607093
0.004,5648.4,FF_d_coreAsc,4496.0,4750,288100.0,292016.0,5918.064,0.954433747252
0.008,6819.296,FF_d_coreAsc,4374.0,4647,305662.0,309996.0,7126.968,0.956829888951
0.01,7423.7,FF_d_coreAsc,4373.0,4659,305070.0,309686.0,7755.86,0.957173027878
0.02,10501.92,FF_d_coreAsc,4165.0,4473,316846.0,322669.0,10926.38,0.96115273311
0.04,17289.48,FF_d_coreAsc,3229.0,3509,351512.0,359180.0,17876.2,0.967178706884
0.08,31320.36,FF_d_coreAsc,3051.0,3339,353367.0,362472.0,32336.76,0.968568279568
0.1,38371.7,FF_d_coreAsc,3009.0,3307,353627.0,363295.0,39636.5,0.968090018039
0.2,73649.0,FF_d_coreAsc,2949.0,3253,353500.0,363733.0,75999.6,0.969070889847
0.4,144428.6,FF_d_coreAsc,2939.0,3221,353724.0,363495.0,148619.0,0.971804412626
1.0,355591.0,FF_d_coreAsc,2922.0,3214,352669.0,362896.0,366110.0,0.971268198083
10.0,3523619.0,FF_d_coreAsc,2919.0,3197,352070.0,361841.0,3621607.0,0.972943502705
