src,dst,spec,slots_used,core_src,core_dst,tfk_slot
56,28,0,20,0,0,460.0
0,34,0,2,0,0,20.0
0,58,2,2,0,0,20.0
0,70,4,2,0,0,20.0
55,27,0,20,0,0,460.0
1,14,0,2,0,0,20.0
1,49,2,2,0,0,20.0
1,59,4,2,0,0,20.0
1,66,6,2,0,0,20.0
50,98,0,20,0,0,460.0
1,68,8,2,0,0,20.0
42,45,0,20,0,0,460.0
1,82,10,2,0,0,20.0
28,99,20,20,0,0,460.0
18,52,0,20,0,0,460.0
1,85,12,2,0,0,20.0
1,91,14,2,0,0,20.0
1,96,16,2,0,0,20.0
2,18,20,2,0,0,20.0
2,24,0,2,0,0,20.0
2,25,2,2,0,0,20.0
2,44,4,2,0,0,20.0
15,28,40,20,0,0,460.0
2,92,6,2,0,0,20.0
3,9,0,2,0,0,20.0
3,59,2,2,0,0,20.0
3,65,4,2,0,0,20.0
10,28,60,20,0,0,460.0
3,70,6,2,0,0,20.0
3,71,8,2,0,0,20.0
4,3,10,2,0,0,20.0
4,5,0,2,0,0,20.0
5,0,6,20,0,0,460.0
4,9,2,2,0,0,20.0
4,10,4,2,0,0,20.0
3,89,12,20,0,0,460.0
3,7,32,20,0,0,460.0
4,11,6,2,0,0,20.0
4,34,8,2,0,0,20.0
0,40,26,20,0,0,460.0
95,41,0,18,0,0,420.0
95,24,18,18,0,0,420.0
4,35,12,2,0,0,20.0
4,44,14,2,0,0,20.0
4,55,20,2,0,0,20.0
4,69,16,2,0,0,20.0
4,73,18,2,0,0,20.0
95,8,36,18,0,0,420.0
5,21,2,2,0,0,20.0
5,75,4,2,0,0,20.0
6,22,0,2,0,0,20.0
6,36,2,2,0,0,20.0
6,49,4,2,0,0,20.0
93,92,8,18,0,0,420.0
6,91,6,2,0,0,20.0
7,0,52,2,0,0,20.0
7,40,0,2,0,0,20.0
93,8,54,18,0,0,420.0
7,44,2,2,0,0,20.0
92,18,26,18,0,0,420.0
7,55,22,2,0,0,20.0
7,66,4,2,0,0,20.0
7,83,6,2,0,0,20.0
89,98,32,18,0,0,420.0
7,97,8,2,0,0,20.0
89,79,50,18,0,0,420.0
8,30,0,2,0,0,20.0
8,31,2,2,0,0,20.0
8,47,4,2,0,0,20.0
89,10,6,18,1,0,420.0
8,92,72,2,0,0,20.0
8,95,74,2,0,0,20.0
9,3,52,2,0,0,20.0
68,8,10,18,0,0,420.0
9,6,8,2,0,0,20.0
9,22,4,2,0,0,20.0
9,24,6,2,0,0,20.0
9,46,10,2,0,0,20.0
9,47,12,2,0,0,20.0
60,77,0,18,0,0,420.0
9,53,14,2,0,0,20.0
9,57,16,2,0,0,20.0
9,58,18,2,0,0,20.0
9,60,20,2,0,0,20.0
9,70,22,2,0,0,20.0
9,73,24,2,0,0,20.0
9,83,26,2,0,0,20.0
9,84,28,2,0,0,20.0
9,89,68,2,0,0,20.0
9,94,30,2,0,0,20.0
10,61,0,2,0,0,20.0
60,2,22,18,0,0,420.0
10,74,2,2,0,0,20.0
10,94,24,2,0,0,20.0
11,0,46,2,0,0,20.0
59,92,44,18,0,0,420.0
11,9,32,2,0,0,20.0
11,28,0,2,0,1,20.0
11,34,2,2,0,0,20.0
11,51,4,2,0,0,20.0
11,53,8,2,0,0,20.0
11,55,24,2,0,0,20.0
11,64,10,2,0,0,20.0
11,65,12,2,0,0,20.0
11,74,14,2,0,0,20.0
55,38,26,18,0,0,420.0
11,75,16,2,0,0,20.0
11,85,18,2,0,0,20.0
11,93,26,2,0,0,20.0
54,38,0,18,0,0,420.0
53,55,44,18,0,0,420.0
11,94,20,2,0,0,20.0
12,9,34,2,0,0,20.0
12,17,0,2,0,0,20.0
12,20,2,2,0,0,20.0
12,24,4,2,0,0,20.0
12,26,6,2,0,0,20.0
12,39,8,2,0,0,20.0
12,52,20,2,0,0,20.0
12,53,10,2,0,0,20.0
52,77,22,18,0,0,420.0
12,57,12,2,0,0,20.0
12,71,14,2,0,0,20.0
12,72,16,2,0,0,20.0
49,30,6,18,0,0,420.0
12,87,18,2,0,0,20.0
12,88,22,2,0,0,20.0
12,96,24,2,0,0,20.0
46,39,12,18,0,0,420.0
13,3,54,2,0,0,20.0
45,71,20,18,0,0,420.0
13,10,26,2,0,0,20.0
45,26,38,18,0,0,420.0
39,8,30,18,0,1,420.0
13,15,0,2,0,0,20.0
13,25,4,2,0,0,20.0
13,30,2,2,0,0,20.0
13,31,6,2,0,0,20.0
13,55,62,2,0,0,20.0
13,58,8,2,0,0,20.0
30,24,36,18,0,0,420.0
13,61,10,2,0,0,20.0
13,69,12,2,0,0,20.0
13,71,16,2,0,0,20.0
13,87,14,2,0,0,20.0
14,5,26,2,0,0,20.0
14,11,22,2,0,0,20.0
14,21,4,2,0,0,20.0
14,23,2,2,0,0,20.0
14,27,20,2,0,0,20.0
14,39,6,2,0,0,20.0
27,8,48,18,0,1,420.0
14,48,8,2,0,0,20.0
24,59,62,18,0,0,420.0
15,63,2,18,0,0,420.0
14,49,24,2,0,0,20.0
14,52,40,2,0,0,20.0
10,67,28,18,0,0,420.0
14,59,10,2,0,0,20.0
14,85,14,2,0,0,20.0
14,91,12,2,0,0,20.0
15,6,20,2,0,0,20.0
15,10,22,2,0,1,20.0
15,18,24,2,0,0,20.0
15,24,60,2,0,0,20.0
6,32,22,18,0,0,420.0
96,48,26,17,0,0,380.0
93,84,30,17,0,0,380.0
92,41,18,17,1,0,380.0
15,36,26,2,0,0,20.0
15,40,62,2,0,0,20.0
15,49,28,2,0,0,20.0
92,38,44,17,1,0,380.0
15,83,30,2,0,0,20.0
92,37,0,17,1,0,380.0
15,89,70,2,0,0,20.0
16,15,32,2,0,0,20.0
16,26,0,2,0,0,20.0
16,41,35,2,0,0,20.0
16,44,6,2,0,0,20.0
92,1,61,17,1,0,380.0
92,0,54,17,2,0,380.0
16,55,64,2,0,0,20.0
16,76,2,2,0,0,20.0
16,84,4,2,0,0,20.0
16,85,8,2,0,0,20.0
16,89,10,2,0,0,20.0
16,90,12,2,0,0,20.0
87,6,40,17,0,0,380.0
85,69,20,17,0,0,380.0
17,6,10,2,0,0,20.0
80,74,16,17,0,0,380.0
17,26,2,2,0,0,20.0
78,66,8,17,0,0,380.0
17,34,4,2,0,0,20.0
78,6,57,17,0,0,380.0
77,71,40,17,0,0,380.0
17,45,56,2,0,0,20.0
17,47,6,2,0,0,20.0
17,52,42,2,0,0,20.0
17,53,12,2,0,0,20.0
17,85,16,2,0,0,20.0
17,94,8,2,0,0,20.0
18,31,22,2,0,0,20.0
18,59,44,2,0,1,20.0
74,52,44,17,0,0,380.0
18,76,46,2,0,0,20.0
18,77,57,2,0,0,20.0
18,91,48,2,0,0,20.0
19,11,28,2,0,0,20.0
74,50,61,17,0,0,380.0
72,77,59,17,0,0,380.0
69,47,37,17,0,0,380.0
67,80,46,17,0,0,380.0
67,55,0,17,0,1,380.0
19,16,14,2,0,0,20.0
19,18,50,2,0,0,20.0
19,20,0,2,0,0,20.0
19,21,6,2,0,0,20.0
