src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,25,0,4,0,0,63.0
0,55,4,4,0,0,63.0
0,56,8,4,0,0,63.0
0,60,12,4,0,0,63.0
0,65,16,4,0,0,63.0
0,77,20,4,0,0,63.0
1,3,0,4,0,0,63.0
1,7,4,4,0,0,63.0
1,19,8,4,0,0,63.0
1,20,12,4,0,0,63.0
1,23,16,4,0,0,63.0
1,40,20,4,0,0,63.0
1,43,24,4,0,0,63.0
1,44,28,4,0,0,63.0
1,49,32,4,0,0,63.0
1,56,36,4,0,0,63.0
1,58,40,4,0,0,63.0
1,83,44,4,0,0,63.0
1,84,48,4,0,0,63.0
2,4,0,4,0,0,63.0
2,5,4,4,0,0,63.0
2,8,8,4,0,0,63.0
2,17,12,4,0,0,63.0
2,20,16,4,0,0,63.0
2,23,20,4,0,0,63.0
2,26,24,4,0,0,63.0
2,30,28,4,0,0,63.0
2,33,32,4,0,0,63.0
2,34,36,4,0,0,63.0
2,37,40,4,0,0,63.0
2,42,44,4,0,0,63.0
2,45,48,4,0,0,63.0
2,54,52,4,0,0,63.0
2,59,56,4,0,0,63.0
2,63,60,4,0,0,63.0
2,65,64,4,0,0,63.0
2,67,68,4,0,0,63.0
2,68,72,4,0,0,63.0
2,70,76,4,0,0,63.0
2,75,0,4,1,0,63.0
2,76,4,4,1,0,63.0
2,78,8,4,1,0,63.0
2,81,12,4,1,0,63.0
2,82,16,4,1,0,63.0
2,83,20,4,1,0,63.0
2,84,24,4,1,0,63.0
2,86,28,4,1,0,63.0
2,87,32,4,1,0,63.0
2,88,36,4,1,0,63.0
2,89,40,4,1,0,63.0
2,94,44,4,1,0,63.0
2,95,48,4,1,0,63.0
3,0,24,4,0,0,63.0
3,1,52,4,0,0,63.0
3,5,8,4,0,0,63.0
3,6,4,4,0,0,63.0
3,11,12,4,0,0,63.0
3,12,16,4,0,0,63.0
3,14,20,4,0,0,63.0
3,16,28,4,0,0,63.0
3,23,32,4,0,0,63.0
3,25,36,4,0,0,63.0
3,31,40,4,0,0,63.0
3,34,44,4,0,0,63.0
3,35,48,4,0,0,63.0
3,36,56,4,0,0,63.0
3,37,60,4,0,0,63.0
3,39,64,4,0,0,63.0
3,40,68,4,0,0,63.0
3,44,72,4,0,0,63.0
3,52,76,4,0,0,63.0
3,57,0,4,1,0,63.0
3,58,4,4,1,0,63.0
3,70,8,4,1,0,63.0
3,71,12,4,1,0,63.0
3,74,16,4,1,0,63.0
3,84,20,4,1,0,63.0
3,88,24,4,1,0,63.0
3,90,28,4,1,0,63.0
3,96,32,4,1,0,63.0
4,0,28,4,0,0,63.0
4,6,8,4,0,0,63.0
4,15,4,4,0,0,63.0
4,16,12,4,0,0,63.0
4,18,16,4,0,0,63.0
4,27,20,4,0,0,63.0
4,32,24,4,0,0,63.0
4,49,36,4,0,0,63.0
4,54,32,4,0,0,63.0
4,57,40,4,0,0,63.0
4,63,44,4,0,0,63.0
4,74,48,4,0,0,63.0
4,75,52,4,0,0,63.0
4,99,56,4,0,0,63.0
5,0,32,4,0,0,63.0
5,6,0,4,0,0,63.0
5,8,12,4,0,0,63.0
5,13,16,4,0,0,63.0
5,15,20,4,0,0,63.0
5,16,24,4,0,0,63.0
5,21,28,4,0,0,63.0
5,22,36,4,0,0,63.0
5,26,40,4,0,0,63.0
5,34,48,4,0,0,63.0
5,42,52,4,0,0,63.0
5,43,44,4,0,0,63.0
5,44,56,4,0,0,63.0
5,49,60,4,0,0,63.0
5,51,64,4,0,0,63.0
5,61,68,4,0,0,63.0
5,70,72,4,0,0,63.0
5,71,76,4,0,0,63.0
5,72,0,4,1,0,63.0
5,74,4,4,1,0,63.0
5,90,8,4,1,0,63.0
5,98,12,4,1,0,63.0
6,1,56,4,0,0,63.0
6,4,60,4,0,0,63.0
6,10,12,4,0,0,63.0
6,13,20,4,0,0,63.0
6,31,16,4,0,0,63.0
6,35,24,4,0,0,63.0
6,38,28,4,0,0,63.0
6,40,32,4,0,0,63.0
6,50,36,4,0,0,63.0
6,52,40,4,0,0,63.0
6,57,44,4,0,0,63.0
6,62,48,4,0,0,63.0
6,69,52,4,0,0,63.0
6,77,64,4,0,0,63.0
6,79,68,4,0,0,63.0
6,96,72,4,0,0,63.0
6,99,76,4,0,0,63.0
7,2,52,4,0,1,63.0
7,28,0,4,0,0,63.0
7,31,8,4,0,0,63.0
7,33,12,4,0,0,63.0
7,39,16,4,0,0,63.0
7,44,20,4,0,0,63.0
7,49,24,4,0,0,63.0
7,52,28,4,0,0,63.0
7,91,32,4,0,0,63.0
8,12,0,4,0,0,63.0
8,17,4,4,0,0,63.0
8,20,20,4,0,0,63.0
8,24,16,4,0,0,63.0
8,35,28,4,0,0,63.0
8,42,24,4,0,0,63.0
8,46,32,4,0,0,63.0
8,62,36,4,0,0,63.0
8,71,40,4,0,0,63.0
8,75,44,4,0,0,63.0
8,96,48,4,0,0,63.0
9,0,36,4,0,0,63.0
9,4,64,4,0,0,63.0
9,10,0,4,0,0,63.0
9,11,4,4,0,0,63.0
9,13,8,4,0,0,63.0
9,15,12,4,0,0,63.0
9,28,16,4,0,0,63.0
9,29,20,4,0,0,63.0
9,38,24,4,0,0,63.0
9,41,28,4,0,0,63.0
9,44,32,4,0,0,63.0
9,45,40,4,0,0,63.0
9,48,44,4,0,0,63.0
9,50,48,4,0,0,63.0
9,57,52,4,0,0,63.0
9,64,56,4,0,0,63.0
9,66,60,4,0,0,63.0
9,73,68,4,0,0,63.0
9,74,72,4,0,0,63.0
9,83,76,4,0,0,63.0
9,84,0,4,1,0,63.0
9,85,4,4,1,0,63.0
9,86,8,4,1,0,63.0
9,88,12,4,1,0,63.0
9,93,16,4,1,0,63.0
10,2,56,4,0,1,63.0
10,4,68,4,0,0,63.0
10,7,36,4,0,0,63.0
10,11,8,4,0,0,63.0
10,12,4,4,0,0,63.0
10,14,16,4,0,0,63.0
10,22,20,4,0,0,63.0
10,26,28,4,0,0,63.0
10,27,24,4,0,0,63.0
10,38,32,4,0,0,63.0
10,39,40,4,0,0,63.0
10,43,48,4,0,0,63.0
10,44,44,4,0,0,63.0
10,45,52,4,0,0,63.0
10,47,60,4,0,0,63.0
10,49,64,4,0,0,63.0
10,51,72,4,0,0,63.0
10,54,76,4,0,0,63.0
10,59,0,4,1,0,63.0
10,62,4,4,1,0,63.0
10,63,8,4,1,0,63.0
10,67,12,4,1,0,63.0
10,70,16,4,1,0,63.0
10,71,20,4,1,0,63.0
10,72,24,4,1,0,63.0
10,73,28,4,1,0,63.0
10,77,32,4,1,0,63.0
10,80,36,4,1,0,63.0
10,81,40,4,1,0,63.0
10,87,44,4,1,0,63.0
10,88,48,4,1,0,63.0
10,91,52,4,1,0,63.0
10,93,56,4,1,0,63.0
10,97,60,4,1,0,63.0
10,99,64,4,1,0,63.0
11,4,72,4,0,0,63.0
11,5,16,4,0,1,63.0
11,13,0,4,0,0,63.0
11,16,20,4,0,0,63.0
11,31,24,4,0,0,63.0
11,42,28,4,0,0,63.0
11,44,36,4,0,0,63.0
11,45,32,4,0,0,63.0
11,59,40,4,0,0,63.0
11,61,44,4,0,0,63.0
11,62,52,4,0,0,63.0
11,65,48,4,0,0,63.0
11,66,56,4,0,0,63.0
11,67,60,4,0,0,63.0
11,68,64,4,0,0,63.0
11,70,68,4,0,0,63.0
11,78,76,4,0,0,63.0
11,86,0,4,1,0,63.0
11,88,4,4,1,0,63.0
11,90,12,4,1,0,63.0
11,91,8,4,1,0,63.0
11,92,16,4,1,0,63.0
12,2,60,4,0,1,63.0
12,9,20,4,0,1,63.0
12,10,68,4,0,1,63.0
12,15,8,4,0,0,63.0
12,16,32,4,0,0,63.0
12,17,24,4,0,0,63.0
12,19,12,4,0,0,63.0
12,21,36,4,0,0,63.0
12,23,28,4,0,0,63.0
12,34,40,4,0,0,63.0
12,36,44,4,0,0,63.0
12,40,48,4,0,0,63.0
12,42,56,4,0,0,63.0
12,56,52,4,0,0,63.0
12,59,64,4,0,0,63.0
12,60,72,4,0,0,63.0
12,61,76,4,0,0,63.0
12,63,0,4,1,0,63.0
12,67,4,4,1,0,63.0
12,68,8,4,1,0,63.0
