,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1747.0,FF_mix,1747.0,1804,53679.0,54978.0,1804.0,0.968403547672
1e-05,1723.47569,FF_a,1723.0,1804,47569.0,57769.0,1804.57769,0.955057629023
2e-05,1723.94144,FF_a,1723.0,1804,47072.0,57760.0,1805.1552,0.955010095531
4e-05,1728.88548,FF_a,1727.0,1804,47137.0,57760.0,1806.3104,0.957136425722
8e-05,1726.76232,FF_a,1723.0,1804,47029.0,57769.0,1808.62152,0.954739452619
0.0001,1728.8377,FF_a,1724.0,1804,48377.0,57769.0,1809.7769,0.955276697365
0.0002,1734.5068,FF_a,1725.0,1804,47534.0,57769.0,1815.5538,0.955359626358
0.0004,1746.0032,FF_a,1727.0,1804,47508.0,57760.0,1827.104,0.955612378934
0.0008,1737.1224,FF_a,1693.0,1787,55153.0,82624.0,1853.0992,0.937414683466
0.001,1752.938,FF_a,1696.0,1787,56938.0,82633.0,1869.633,0.937584007129
0.002,1815.206,coreopt_IS_aa,1695.0,1784,60103.0,84263.0,1952.526,0.929670590814
0.004,1997.932,FF_mix,1532.0,1658,116483.0,119372.0,2135.488,0.93558568346
0.008,2482.008,FF_mix,1474.0,1617,126001.0,129228.0,2650.824,0.936315651284
0.01,2726.6,FF_mix,1468.0,1617,125860.0,129210.0,2909.1,0.937265821044
0.02,3990.78,FF_mix,1471.0,1618,125989.0,129223.0,4202.46,0.94962950272
0.04,6474.4,FF_mix,1442.0,1615,125810.0,129310.0,6787.4,0.953885140113
0.08,11564.76,FF_mix,1457.0,1612,126347.0,129325.0,11958.0,0.967114902158
0.1,14091.1,FF_mix,1454.0,1613,126371.0,129347.0,14547.7,0.968613595276
0.2,26703.0,FF_mix,1446.0,1603,126285.0,129397.0,27482.4,0.971640031438
0.4,51823.4,FF_mix,1417.0,1592,126016.0,129461.0,53376.4,0.970904744419
1.0,127560.0,FF_mix,1428.0,1592,126132.0,129452.0,131044.0,0.973413509966
10.0,1262781.0,FF_mix,1431.0,1591,126135.0,129457.0,1296161.0,0.974247026411
