,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1725.0,FF_mix,1725.0,1772,94920.0,97740.0,1772.0,0.973476297968
1e-05,1698.9214,FF_a,1698.0,1772,92140.0,102240.0,1773.0224,0.958206393783
2e-05,1702.9596,FF_mix,1701.0,1772,97980.0,102240.0,1774.0448,0.959930436931
4e-05,1701.7152,FF_a,1698.0,1772,92880.0,102300.0,1776.092,0.958123340458
8e-05,1710.848,FF_mix,1703.0,1772,98100.0,102240.0,1780.1792,0.961053808515
0.0001,1705.308,FF_a,1696.0,1772,93080.0,102240.0,1782.224,0.956842686441
0.0002,1714.524,FF_mix,1695.0,1772,97620.0,102240.0,1792.448,0.956526493377
0.0004,1733.024,FF_mix,1694.0,1772,97560.0,102240.0,1812.896,0.9559423155
0.0008,1758.312,FF_a,1679.0,1755,99140.0,122020.0,1852.616,0.949096844678
0.001,1779.14,FF_a,1679.0,1754,100140.0,122800.0,1876.8,0.947964620631
0.002,1879.68,FF_mix,1644.0,1752,117840.0,124320.0,2000.64,0.939539347409
0.004,2066.76,coreopt_IS_aa,1617.0,1623,112440.0,136000.0,2167.0,0.953742501154
0.008,2666.04,FF_mix,1503.0,1628,145380.0,152920.0,2851.36,0.935006453061
0.01,2936.4,FF_mix,1483.0,1622,145340.0,153760.0,3159.6,0.929358146601
0.02,4436.2,coreopt_IS_da,1487.0,1614,147460.0,154320.0,4700.4,0.943792017701
0.04,7392.8,FF_mix,1488.0,1606,147620.0,154700.0,7794.0,0.94852450603
0.08,13403.2,FF_mix,1488.0,1590,148940.0,155060.0,13994.8,0.957727155801
0.1,16331.0,FF_mix,1483.0,1592,148480.0,155020.0,17094.0,0.955364455364
0.2,31147.0,FF_mix,1479.0,1591,148340.0,155060.0,32603.0,0.955341532988
0.4,60940.0,FF_mix,1484.0,1591,148640.0,155060.0,63615.0,0.957950168985
1.0,150369.0,FF_mix,1489.0,1592,148880.0,155060.0,156652.0,0.959891989888
10.0,1484278.0,FF_mix,1478.0,1591,148280.0,155060.0,1552191.0,0.956247008261
