src,dst,spec,slots_used,core_src,core_dst,tfk_slot
97,25,0,5,0,0,380.0
95,59,0,5,0,0,460.0
94,87,0,5,0,0,420.0
94,36,5,5,0,0,380.0
93,60,0,5,0,0,460.0
90,34,0,5,0,0,380.0
88,73,0,5,0,0,460.0
88,59,5,5,0,0,460.0
87,91,5,5,0,0,380.0
86,90,5,5,0,0,460.0
86,16,0,5,0,0,420.0
84,95,5,5,0,0,380.0
82,28,0,5,0,0,420.0
81,93,5,5,0,0,420.0
79,69,0,5,0,0,460.0
79,62,5,5,0,0,460.0
76,17,0,5,0,0,420.0
76,15,5,5,0,0,460.0
75,56,0,5,0,0,420.0
75,15,10,5,0,0,420.0
73,8,5,5,0,0,420.0
71,90,10,5,0,0,420.0
70,62,0,5,0,0,460.0
69,83,5,5,0,0,380.0
69,81,10,5,0,0,380.0
69,80,15,5,0,0,380.0
69,66,20,5,0,0,460.0
68,88,10,5,0,0,420.0
68,79,15,5,0,0,460.0
68,55,0,5,0,0,460.0
68,13,5,5,0,0,420.0
66,88,15,5,0,0,420.0
65,39,0,5,0,0,380.0
64,53,0,5,0,0,380.0
64,36,10,5,0,0,420.0
63,70,5,5,0,0,420.0
62,35,10,5,0,0,420.0
61,84,0,5,0,0,380.0
61,81,15,5,0,0,420.0
60,45,5,5,0,0,380.0
58,48,0,5,0,0,380.0
58,40,5,5,0,0,460.0
57,82,5,5,0,0,380.0
57,54,0,5,0,0,420.0
55,10,5,5,0,0,380.0
54,26,5,5,0,0,380.0
52,96,0,5,0,0,380.0
52,77,5,5,0,0,380.0
49,89,0,5,0,0,380.0
47,8,0,5,0,0,380.0
46,2,0,5,0,0,380.0
45,44,0,5,0,0,380.0
43,84,10,5,0,0,420.0
42,4,0,5,0,0,420.0
41,91,0,5,0,0,460.0
39,17,5,5,0,0,380.0
39,16,10,5,0,0,460.0
38,82,10,5,0,0,420.0
35,49,5,5,0,0,460.0
30,55,10,5,0,0,420.0
30,53,5,5,0,0,460.0
30,17,15,5,0,0,460.0
28,93,10,5,0,0,380.0
26,17,10,5,0,0,380.0
25,39,15,5,0,0,380.0
25,21,5,5,0,0,460.0
22,55,15,5,0,0,460.0
22,41,5,5,0,0,460.0
21,82,15,5,0,0,380.0
21,56,10,5,0,0,420.0
20,14,0,5,0,0,460.0
18,28,5,5,0,0,420.0
15,81,0,5,0,0,420.0
15,22,20,5,0,0,380.0
14,27,5,5,0,0,380.0
14,26,15,5,0,0,420.0
13,14,10,5,0,0,420.0
10,76,10,5,0,0,380.0
10,56,15,5,0,0,380.0
8,42,10,5,0,0,380.0
7,65,5,5,0,0,380.0
6,23,0,5,0,0,380.0
5,90,15,5,0,0,380.0
5,10,0,5,0,0,380.0
4,84,15,5,0,0,420.0
4,29,5,5,0,0,460.0
3,56,5,5,0,0,460.0
3,37,0,5,0,0,380.0
