,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1680.0,FF_a,1680.0,1749,130200.0,140625.0,1749.0,0.960548885077
1e-05,1683.2965,FF_a,1682.0,1748,129650.0,141600.0,1749.416,0.962204815779
2e-05,1684.586,FF_a,1682.0,1749,129300.0,141675.0,1751.8335,0.961613075672
4e-05,1685.222,FF_a,1680.0,1749,130550.0,141675.0,1754.667,0.960422689889
8e-05,1693.322,FF_a,1683.0,1749,129025.0,141675.0,1760.334,0.961932224226
0.0001,1694.93,FF_a,1682.0,1749,129300.0,141675.0,1763.1675,0.961298345166
0.0002,1712.06,FF_a,1686.0,1749,130300.0,142025.0,1777.405,0.963235728492
0.0004,1733.86,FF_a,1682.0,1749,129650.0,141675.0,1805.67,0.960230828446
0.0008,1763.2,FF_a,1656.0,1731,134000.0,157825.0,1857.26,0.949355502191
0.001,1792.525,FF_a,1659.0,1732,133525.0,158250.0,1890.25,0.948300489353
0.002,1928.85,FF_a,1659.0,1731,134925.0,158175.0,2047.35,0.942120301854
0.004,2205.4,FF_mix,1606.0,1729,149850.0,159075.0,2365.3,0.932397581702
0.008,2878.4,FF_mix,1470.0,1578,176050.0,184150.0,3051.2,0.94336654431
0.01,3206.0,FF_mix,1452.0,1575,175400.0,184625.0,3421.25,0.937084398977
0.02,4967.0,FF_mix,1452.0,1573,175750.0,184825.0,5269.5,0.94259417402
0.04,8490.0,FF_mix,1454.0,1573,175900.0,184825.0,8966.0,0.94691055097
0.08,15645.0,FF_mix,1471.0,1573,177175.0,184825.0,16359.0,0.956354300385
0.1,19078.0,FF_mix,1458.0,1573,176200.0,184825.0,20055.5,0.951260252798
0.2,36314.0,FF_mix,1434.0,1573,174400.0,184825.0,38538.0,0.942290726037
0.4,72341.0,FF_mix,1471.0,1573,177175.0,184825.0,75503.0,0.958120869369
1.0,176594.0,FF_mix,1444.0,1573,175150.0,184825.0,186398.0,0.947402869129
10.0,1764960.0,FF_mix,1460.0,1573,176350.0,184825.0,1849823.0,0.954123718864
