,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,5115.0,FF_bm1,5115.0,5163,273475.8,296855.0,5163.0,0.990703079605
1e-05,5117.734758,FF_bm1,5115.0,5170,273475.8,300045.2,5173.000452,0.989316510889
2e-05,5120.469516,FF_bm1,5115.0,5159,273475.8,300243.8,5165.004876,0.991377479582
4e-05,5125.939032,FF_bm1,5115.0,5162,273475.8,297567.6,5173.902704,0.990729691928
8e-05,5136.878064,FF_bm1,5115.0,5153,273475.8,297494.2,5176.799536,0.992288387502
0.0001,5142.34758,FF_bm1,5115.0,5159,273475.8,300240.6,5189.02406,0.991004767089
0.0002,5169.69516,FF_bm1,5115.0,5157,273475.8,299093.4,5216.81868,0.990967000601
0.0004,5224.39032,FF_bm1,5115.0,5161,273475.8,298224.2,5280.28968,0.989413580809
0.0008,5333.78064,FF_bm1,5115.0,5169,273475.8,298598.6,5407.87888,0.986298095493
0.001,5388.4758,FF_bm1,5115.0,5159,273475.8,300597.8,5459.5978,0.986973033068
0.002,5661.9516,FF_bm1,5115.0,5170,273475.8,297937.2,5765.8744,0.981976228965
0.004,6208.9032,FF_bm1,5115.0,5163,273475.8,299019.0,6359.076,0.976384493596
0.008,7302.8064,FF_bm1,5115.0,4990,273475.8,326464.8,7601.7184,0.960678364513
0.01,7849.758,FF_bm1,5115.0,4995,273475.8,327397.8,8268.978,0.949302078201
0.02,10880.172,FF_d,4641.0,4999,311958.6,328641.4,11571.828,0.940229322455
0.04,17642.144,coreopt_IS_da,3822.0,3991,345503.6,358295.0,18322.8,0.962851965857
0.08,31471.624,FF_d,3747.0,3984,346557.8,357602.0,32592.16,0.965619461858
0.1,38392.64,FF_d,3770.0,4015,346226.4,357643.4,39779.34,0.965140195891
0.2,72708.72,FF_d,3822.0,4064,344433.6,355710.8,75206.16,0.966792081925
0.4,141481.76,FF_d,3852.0,4062,344074.4,353860.4,145606.16,0.971674275319
1.0,348043.6,FF_d,3788.0,4023,344255.6,355206.6,359229.6,0.968861140619
10.0,3452984.0,FF_d,3772.0,3987,344921.2,354940.2,3553389.0,0.971743876057
