src,dst,spec,slots_used,core_src,core_dst,tfk_slot
14,5,0,2,0,0,1.0
59,86,0,2,0,0,1.0
27,65,0,2,0,0,2.0
37,10,0,2,0,0,2.0
61,68,0,2,0,0,2.0
72,32,0,2,0,0,2.0
97,10,2,18,0,0,424.0
73,0,0,2,0,0,2.0
83,26,0,2,0,0,2.0
89,68,2,2,0,0,2.0
61,22,2,18,0,0,424.0
91,61,20,2,0,0,2.0
56,28,0,18,0,0,424.0
2,24,0,2,0,0,3.0
98,95,0,2,0,0,3.0
51,24,2,2,0,0,4.0
54,85,0,2,0,0,4.0
72,60,2,2,0,0,4.0
51,66,4,18,0,0,424.0
72,63,4,2,0,0,4.0
82,55,0,2,0,0,4.0
87,55,2,2,0,0,4.0
97,55,20,2,0,0,4.0
4,10,20,2,0,0,5.0
24,52,4,2,0,0,5.0
27,55,4,2,0,0,5.0
46,23,0,2,0,0,5.0
42,43,0,18,0,0,424.0
90,16,0,18,0,0,423.0
83,28,18,18,0,0,423.0
64,10,22,2,0,0,5.0
10,74,24,2,0,0,6.0
72,92,6,18,0,0,423.0
11,51,0,2,0,0,6.0
50,27,6,18,0,0,423.0
16,26,18,2,0,0,6.0
29,65,2,2,0,0,6.0
41,34,0,18,0,0,423.0
59,55,6,2,0,0,6.0
37,14,2,18,0,0,423.0
61,56,22,2,0,0,6.0
98,89,4,2,0,0,6.0
4,11,2,2,0,0,7.0
13,15,0,2,0,0,7.0
38,67,0,2,0,0,7.0
47,18,0,2,0,0,7.0
17,72,24,18,0,0,423.0
15,98,6,18,0,0,423.0
47,78,2,2,0,0,7.0
54,95,2,2,0,0,7.0
62,0,2,2,0,0,7.0
59,29,8,18,0,0,422.0
38,50,2,2,0,0,8.0
54,56,18,2,0,0,8.0
24,43,18,18,0,0,422.0
54,99,4,2,0,0,8.0
60,50,0,2,0,0,8.0
68,40,4,2,0,0,8.0
71,68,6,2,0,0,8.0
83,40,2,2,0,0,8.0
22,15,24,18,0,0,422.0
21,15,42,18,0,0,422.0
47,84,4,2,0,0,9.0
57,66,0,2,0,0,9.0
79,26,2,2,0,0,9.0
15,28,60,18,0,0,422.0
94,2,2,2,0,0,9.0
4,5,4,2,0,0,10.0
6,36,0,2,0,0,10.0
22,5,20,2,0,0,10.0
1,80,0,18,0,0,422.0
64,2,4,2,0,0,10.0
65,38,4,2,0,0,10.0
76,66,2,2,0,0,10.0
80,28,36,2,0,0,10.0
82,95,4,2,0,0,10.0
0,40,6,18,0,0,422.0
85,8,2,2,0,0,10.0
93,68,8,2,0,0,10.0
8,92,0,2,0,0,11.0
95,57,6,18,0,0,421.0
42,10,26,2,0,0,11.0
48,68,10,2,0,0,11.0
58,29,0,2,0,0,11.0
82,31,6,18,0,0,421.0
75,38,6,18,0,0,421.0
63,89,0,2,0,0,11.0
74,89,6,2,0,0,11.0
91,29,4,2,0,0,11.0
2,18,6,2,0,0,12.0
8,30,4,2,0,0,12.0
39,69,0,2,0,0,12.0
41,24,36,2,0,0,12.0
47,89,8,2,0,0,12.0
70,39,2,18,0,0,421.0
27,37,24,18,0,0,421.0
52,41,18,2,0,0,12.0
57,65,24,2,0,0,12.0
