src,dst,spec,slots_used,core_src,core_dst,tfk_slot
0,15,0,2,0,0,1.5
0,41,2,2,0,0,1.5
86,29,0,19,0,0,449.0
82,5,0,19,0,0,449.0
62,8,0,19,0,0,449.0
2,43,0,2,0,0,1.5
3,47,0,2,0,0,1.5
4,73,0,2,0,0,1.5
4,79,2,2,0,0,1.5
9,93,0,2,0,0,1.5
11,43,2,2,0,0,1.5
29,62,19,19,0,0,449.0
21,11,4,19,0,0,449.0
13,61,0,2,0,0,1.5
10,14,0,19,0,0,449.0
13,95,2,2,0,0,1.5
15,65,2,2,0,0,1.5
18,70,0,2,0,0,1.5
24,32,0,2,0,0,1.5
25,26,0,2,0,0,1.5
25,39,2,2,0,0,1.5
25,82,19,2,0,0,1.5
29,59,38,2,0,0,1.5
31,96,0,2,0,0,1.5
35,58,0,2,0,0,1.5
57,5,19,19,0,0,447.0
37,95,0,2,0,0,1.5
46,24,2,2,0,0,1.5
46,54,0,2,0,0,1.5
85,36,0,19,0,0,445.0
46,93,4,2,0,0,1.5
47,33,2,2,0,0,1.5
53,20,0,2,0,0,1.5
55,48,0,2,0,0,1.5
57,27,0,2,0,0,1.5
77,73,2,19,0,0,445.0
57,84,2,2,0,0,1.5
59,63,0,2,0,0,1.5
65,19,0,2,0,0,1.5
69,30,0,2,0,0,1.5
70,87,2,2,0,0,1.5
76,16,0,2,0,0,1.5
76,7,2,19,0,0,443.0
77,27,21,2,0,0,1.5
57,77,38,19,0,0,443.0
80,99,0,2,0,0,1.5
82,66,21,2,0,0,1.5
83,30,2,2,0,0,1.5
4,29,40,19,0,0,443.0
84,75,0,2,0,0,1.5
85,39,19,2,0,0,1.5
86,77,23,2,0,0,1.5
98,92,0,19,0,0,439.0
18,10,19,19,0,0,439.0
4,91,4,19,0,0,439.0
87,28,0,2,0,0,1.5
89,65,4,2,0,0,1.5
91,75,2,2,0,0,1.5
93,5,38,2,0,0,1.5
35,17,2,19,0,0,437.0
93,8,19,2,0,0,1.5
93,89,2,2,0,0,1.5
97,13,4,2,0,0,1.5
97,16,2,2,0,0,1.5
98,88,19,2,0,0,1.5
2,83,4,2,0,0,3.0
5,28,40,2,0,0,3.0
9,15,4,2,0,0,3.0
9,59,2,2,0,0,3.0
12,76,21,2,0,0,3.0
13,67,6,2,0,0,3.0
14,71,19,2,0,0,3.0
20,43,4,2,0,0,3.0
22,66,0,2,0,0,3.0
96,60,2,19,0,0,435.0
79,68,4,19,0,0,435.0
74,90,0,19,0,0,435.0
23,30,4,2,0,0,3.0
23,56,0,2,0,0,3.0
51,62,38,19,0,0,435.0
24,9,6,2,0,0,3.0
25,49,4,2,0,0,3.0
27,47,4,2,0,0,3.0
27,75,6,2,0,0,3.0
32,36,19,2,0,0,3.0
32,68,2,2,0,0,3.0
32,91,23,2,0,0,3.0
45,92,19,19,0,0,433.0
39,53,4,2,0,0,3.0
18,65,38,19,0,0,433.0
42,86,19,2,0,0,3.0
43,60,21,2,0,0,3.0
45,51,0,2,0,0,3.0
45,72,2,2,0,0,3.0
45,96,38,2,0,0,3.0
46,88,6,2,0,0,3.0
48,65,6,2,0,0,3.0
13,29,59,19,0,0,431.0
50,77,0,2,0,0,3.0
51,66,2,2,0,0,3.0
51,98,21,2,0,0,3.0
99,14,21,19,0,0,429.0
56,8,21,2,0,0,3.0
82,65,57,18,0,0,425.0
57,61,4,2,0,0,3.0
57,76,57,2,0,0,3.0
59,3,4,2,0,0,3.0
5,64,42,18,0,0,425.0
59,15,6,2,0,0,3.0
96,34,40,18,0,0,423.0
61,74,19,2,0,0,3.0
61,95,6,2,0,0,3.0
63,91,25,2,0,0,3.0
69,96,21,2,0,0,3.0
86,0,25,18,0,0,423.0
74,17,21,18,0,0,423.0
73,2,21,2,0,0,3.0
73,69,23,2,0,0,3.0
75,8,23,2,0,0,3.0
61,54,21,18,0,0,423.0
76,40,23,2,0,0,3.0
55,94,2,18,0,0,423.0
76,85,25,2,0,0,3.0
77,49,25,2,0,0,3.0
4,17,59,18,0,0,423.0
77,65,27,2,0,0,3.0
63,30,6,18,0,0,421.0
80,76,27,2,0,0,3.0
81,39,0,2,0,0,3.0
81,60,23,2,0,0,3.0
82,46,23,2,0,0,3.0
82,96,25,2,0,0,3.0
61,46,39,18,0,0,421.0
83,92,38,2,0,0,3.0
57,36,59,18,0,0,421.0
34,95,8,18,0,0,421.0
22,32,25,18,0,0,421.0
89,17,0,2,0,0,3.0
93,51,6,2,0,0,3.0
97,94,0,2,0,0,3.0
97,98,23,2,0,0,3.0
98,14,40,2,0,0,3.0
21,79,23,18,0,0,421.0
99,18,2,2,0,0,3.0
4,20,23,2,0,0,4.5
5,83,60,2,0,0,4.5
7,44,0,2,0,0,4.5
11,18,57,2,0,0,4.5
84,8,25,18,0,0,419.0
12,55,23,2,0,0,4.5
12,74,39,2,0,0,4.5
15,10,38,2,0,0,4.5
16,32,4,2,0,0,4.5
17,51,57,2,0,0,4.5
20,5,62,2,0,0,4.5
20,98,25,2,0,0,4.5
24,93,8,2,0,0,4.5
27,90,19,2,0,0,4.5
81,70,4,18,0,0,417.0
34,20,2,2,0,0,4.5
37,44,2,2,0,0,4.5
37,57,6,2,0,0,4.5
38,22,2,2,0,0,4.5
39,13,8,2,0,0,4.5
46,67,57,18,0,0,417.0
40,74,41,2,0,0,4.5
42,65,0,18,0,1,417.0
19,36,21,18,0,0,417.0
43,55,25,2,0,0,4.5
47,68,23,2,0,0,4.5
19,29,2,18,0,1,417.0
14,37,42,18,0,0,415.0
51,19,59,2,0,0,4.5
11,5,23,18,0,1,415.0
52,12,0,2,0,0,4.5
55,64,20,2,0,0,4.5
60,3,25,2,0,0,4.5
66,44,23,18,0,0,413.0
60,55,27,2,0,0,4.5
60,92,40,2,0,0,4.5
64,42,22,2,0,0,4.5
66,53,6,2,0,0,4.5
68,90,25,2,0,0,4.5
69,87,4,2,0,0,4.5
72,22,4,2,0,0,4.5
75,52,4,2,0,0,4.5
35,16,21,18,0,0,413.0
75,88,8,2,0,0,4.5
75,92,42,2,0,0,4.5
75,93,10,2,0,0,4.5
76,54,39,2,0,0,4.5
79,52,41,2,0,0,4.5
80,3,2,2,0,0,4.5
68,92,44,18,0,0,411.0
80,46,8,2,0,0,4.5
58,54,2,18,0,0,411.0
35,51,61,18,0,0,411.0
84,18,4,2,0,0,4.5
89,90,27,18,0,0,409.0
86,31,21,2,0,0,4.5
91,37,27,2,0,0,4.5
91,84,43,2,0,0,4.5
