src,dst,spec,slots_used,core_src,core_dst,cores_used,tfk_slot
1,7,78,2,0,0,1,1.5
5,18,78,2,0,0,1,1.5
12,45,78,2,0,0,1,1.5
20,29,78,2,0,0,1,1.5
20,58,76,2,0,0,1,1.5
24,51,78,2,0,0,1,1.5
24,54,76,2,0,0,1,1.5
25,80,78,2,0,0,1,1.5
21,5,0,19,0,0,1,449.0
28,24,74,2,0,0,1,1.5
28,31,78,2,0,0,1,1.5
29,63,76,2,0,0,1,1.5
29,79,74,2,0,0,1,1.5
32,77,78,2,0,0,1,1.5
34,47,78,2,0,0,1,1.5
34,59,76,2,0,0,1,1.5
34,64,74,2,0,0,1,1.5
36,29,72,2,0,0,1,1.5
37,4,78,2,0,0,1,1.5
37,40,76,2,0,0,1,1.5
43,25,76,2,0,0,1,1.5
43,40,78,2,0,0,1,1.5
46,82,78,2,0,0,1,1.5
46,87,76,2,0,0,1,1.5
87,55,0,19,0,0,1,445.0
47,49,76,2,0,0,1,1.5
51,12,76,2,0,0,1,1.5
55,40,74,2,0,0,1,1.5
58,53,78,2,0,0,1,1.5
55,59,19,19,0,0,1,445.0
63,57,78,2,0,0,1,1.5
96,51,0,19,0,0,1,443.0
63,84,74,2,0,0,1,1.5
64,4,76,2,0,0,1,1.5
65,36,78,2,0,0,1,1.5
67,68,78,2,0,0,1,1.5
70,93,78,2,0,0,1,1.5
71,91,78,2,0,0,1,1.5
72,19,78,2,0,0,1,1.5
72,26,76,2,0,0,1,1.5
74,52,78,2,0,0,1,1.5
44,16,0,19,0,0,1,443.0
74,76,76,2,0,0,1,1.5
75,19,76,2,0,0,1,1.5
15,96,19,19,0,0,1,443.0
78,11,78,2,0,0,1,1.5
80,77,76,2,0,0,1,1.5
80,78,74,2,0,0,1,1.5
82,0,76,2,0,0,1,1.5
82,31,74,2,0,0,1,1.5
82,78,72,2,0,0,1,1.5
87,39,78,2,0,0,1,1.5
12,51,19,19,0,0,1,441.0
53,51,38,19,0,0,1,439.0
57,45,0,19,0,0,1,431.0
90,71,76,2,0,0,1,1.5
15,49,0,19,0,0,1,431.0
93,86,76,2,0,0,1,1.5
99,42,0,19,0,0,1,429.0
96,82,70,2,0,0,1,1.5
1,3,76,2,0,0,1,3.0
2,16,78,2,0,0,1,3.0
