,best_heuristic,best_method,cnk_bh,cnk_ub,thp_bh,thp_ub,ub,optimality
0.0,1674.0,FF_a,1674.0,1742,64052.6,74205.2,1742.0,0.960964408726
1e-05,1667.650012,FF_a,1667.0,1743,65001.2,76638.4,1743.766384,0.956349444112
2e-05,1668.300024,FF_a,1667.0,1743,65001.2,76638.4,1744.532768,0.956301913384
4e-05,1673.591952,FF_a,1671.0,1742,64798.8,76626.4,1745.065056,0.95904272809
8e-05,1676.183904,FF_a,1671.0,1742,64798.8,76626.4,1748.130112,0.95884390555
0.0001,1675.47666,FF_a,1669.0,1742,64766.6,76626.4,1749.66264,0.957599837646
0.0002,1680.00024,FF_a,1667.0,1743,65001.2,76638.4,1758.32768,0.955453445401
0.0004,1693.00048,FF_a,1667.0,1743,65001.2,76638.4,1773.65536,0.954526182584
0.0008,1704.45744,FF_a,1646.0,1723,73071.8,95755.4,1799.60432,0.947129000002
0.001,1719.0718,FF_a,1646.0,1723,73071.8,95755.4,1818.7554,0.945191310497
0.002,1781.514,FF_mix,1601.0,1724,90257.0,96596.2,1917.1924,0.929230681282
0.004,1939.0112,FF_bm2,1501.0,1589,109502.8,112742.0,2039.968,0.950510596245
0.008,2458.5616,coreopt_IS_da,1437.0,1571,127695.2,133350.4,2637.8032,0.932048911003
0.01,2710.032,FF_bm2,1426.0,1565,128403.2,133799.2,2902.992,0.933530647001
0.02,3994.256,FF_bm2,1422.0,1559,128612.8,134307.2,4245.144,0.94090000245
0.04,6598.44,FF_mix,1421.0,1543,129436.0,134895.2,6938.808,0.950947194388
0.08,11781.264,FF_bm2,1402.0,1525,129740.8,135263.2,12346.056,0.954253244923
0.1,14398.68,FF_mix,1405.0,1520,129936.8,135316.0,15051.6,0.956621222993
0.2,27497.56,FF_bm2,1395.0,1507,130512.8,135419.2,28590.84,0.961761179455
0.4,53560.4,FF_bm2,1394.0,1504,130416.0,135434.4,55677.76,0.961971171254
1.0,132229.2,FF_bm2,1390.0,1495,130839.2,135448.0,136943.0,0.965578379326
10.0,1312223.0,FF_mix,1399.0,1493,131082.4,135451.2,1356005.0,0.967712508435
