src,dst,spec,slots_used,core_src,core_dst,tfk_slot
99,90,0,5,0,0,457.0
98,45,0,5,0,0,403.0
97,51,0,5,0,0,433.0
94,42,0,5,0,0,403.0
91,74,0,5,0,0,429.0
90,0,5,5,0,0,451.0
89,92,0,5,0,0,425.0
89,80,5,5,0,0,401.0
89,56,10,5,0,0,487.0
89,52,15,5,0,0,423.0
88,50,0,5,0,0,421.0
88,33,5,5,0,0,385.0
87,96,0,5,0,0,455.0
87,84,5,5,0,0,445.0
83,53,0,5,0,0,467.0
82,80,0,5,0,0,385.0
81,28,0,5,0,0,443.0
80,72,10,5,0,0,387.0
79,87,10,5,0,0,397.0
78,67,0,5,0,0,455.0
75,92,5,5,0,0,435.0
74,56,5,5,0,0,383.0
74,51,10,5,0,0,489.0
73,3,0,5,0,0,475.0
71,95,0,5,0,0,447.0
70,88,10,5,0,0,387.0
68,98,5,5,0,0,409.0
68,24,0,5,0,0,389.0
67,30,5,5,0,0,377.0
63,46,0,5,0,0,469.0
61,40,0,5,0,0,459.0
58,77,0,5,0,0,433.0
57,4,0,5,0,0,383.0
50,31,5,5,0,0,397.0
47,85,0,5,0,0,393.0
47,71,5,5,0,0,383.0
45,99,5,5,0,0,441.0
45,96,10,5,0,0,423.0
44,99,10,5,0,0,449.0
44,4,5,5,0,0,433.0
43,67,10,5,0,0,439.0
43,13,0,5,0,0,379.0
42,80,15,5,0,0,469.0
42,74,20,5,0,0,497.0
42,70,5,5,0,0,465.0
40,48,5,5,0,0,475.0
37,89,20,5,0,0,393.0
37,51,5,5,0,0,383.0
37,23,0,5,0,0,405.0
36,90,10,5,0,0,381.0
35,48,0,5,0,0,391.0
33,78,10,5,0,0,381.0
33,31,0,5,0,0,389.0
32,56,0,5,0,0,453.0
31,77,10,5,0,0,435.0
29,91,5,5,0,0,431.0
29,73,10,5,0,0,423.0
28,49,5,5,0,0,477.0
27,91,10,5,0,0,403.0
26,5,0,5,0,0,385.0
22,36,0,5,0,0,431.0
19,52,0,5,0,0,437.0
19,0,10,5,0,0,401.0
16,71,10,5,0,0,401.0
15,79,0,5,0,0,417.0
15,56,15,5,0,0,389.0
14,99,15,5,0,0,419.0
14,60,0,5,0,0,461.0
13,1,5,5,0,0,471.0
11,71,15,5,0,0,429.0
9,48,10,5,0,0,391.0
8,99,20,5,0,0,415.0
8,36,5,5,0,0,487.0
8,33,15,5,0,0,437.0
6,88,15,5,0,0,405.0
6,13,10,5,0,0,391.0
66,85,5,4,0,0,375.0
64,91,15,4,0,0,375.0
6,85,20,4,0,0,375.0
99,96,25,2,0,0,107.5
99,51,27,2,0,0,43.0
99,49,29,2,0,0,76.0
99,48,31,2,0,0,121.0
99,45,33,2,0,0,46.0
99,31,35,2,0,0,77.5
99,17,37,2,0,0,109.0
98,93,10,2,0,0,26.5
98,92,12,2,0,0,74.5
98,74,15,2,0,0,85.0
98,68,17,2,0,0,37.0
98,62,19,2,0,0,67.0
98,56,21,2,0,0,53.5
98,47,23,2,0,0,50.5
98,46,25,2,0,0,94.0
98,44,27,2,0,0,40.0
98,27,29,2,0,0,74.5
98,25,31,2,0,0,26.5
98,23,33,2,0,0,26.5
98,18,35,2,0,0,49.0
98,10,37,2,0,0,53.5
98,8,39,2,0,0,110.5
98,4,41,2,0,0,82.0
98,2,43,2,0,0,31.0
98,0,45,2,0,0,40.0
97,76,5,2,0,0,47.5
97,70,15,2,0,0,124.0
97,38,7,2,0,0,37.0
97,34,9,2,0,0,37.0
97,23,11,2,0,0,67.0
97,18,13,2,0,0,76.0
96,53,5,2,0,0,73.0
96,48,15,2,0,0,109.0
96,30,17,2,0,0,62.5
96,27,7,2,0,0,64.0
96,24,19,2,0,0,82.0
96,18,21,2,0,0,82.0
95,97,17,2,0,0,38.5
95,96,23,2,0,0,35.5
95,88,20,2,0,0,29.5
95,78,5,2,0,0,95.5
95,76,7,2,0,0,77.5
95,75,10,2,0,0,59.5
95,67,15,2,0,0,67.0
95,63,12,2,0,0,71.5
95,60,25,2,0,0,94.0
95,59,27,2,0,0,35.5
95,57,29,2,0,0,49.0
95,44,31,2,0,0,59.5
95,40,33,2,0,0,29.5
95,36,35,2,0,0,85.0
95,34,37,2,0,0,104.5
95,29,39,2,0,0,25.0
95,22,41,2,0,0,49.0
95,21,43,2,0,0,100.0
95,15,45,2,0,0,62.5
95,13,47,2,0,0,40.0
95,10,49,2,0,0,98.5
95,9,51,2,0,0,91.0
95,6,53,2,0,0,71.5
95,5,55,2,0,0,38.5
95,4,57,2,0,0,40.0
95,0,59,2,0,0,35.5
94,97,19,2,0,0,40.0
94,92,10,2,0,0,70.0
94,84,12,2,0,0,29.5
94,81,5,2,0,0,88.0
94,80,21,2,0,0,29.5
94,75,14,2,0,0,65.5
94,67,17,2,0,0,41.5
94,59,7,2,0,0,47.5
94,57,23,2,0,0,115.0
94,56,25,2,0,0,32.5
94,39,27,2,0,0,68.5
94,37,29,2,0,0,29.5
94,34,31,2,0,0,82.0
94,33,33,2,0,0,86.5
94,30,35,2,0,0,103.0
94,26,37,2,0,0,41.5
94,23,39,2,0,0,77.5
94,21,41,2,0,0,26.5
94,16,43,2,0,0,71.5
94,13,45,2,0,0,28.0
94,10,47,2,0,0,77.5
94,7,49,2,0,0,83.5
94,6,51,2,0,0,68.5
94,5,53,2,0,0,40.0
93,99,39,2,0,0,43.0
93,83,5,2,0,0,32.5
93,77,7,2,0,0,26.5
93,76,0,2,0,0,121.0
93,72,2,2,0,0,43.0
93,68,12,2,0,0,44.5
93,57,14,2,0,0,64.0
93,35,16,2,0,0,47.5
93,29,18,2,0,0,121.0
93,22,20,2,0,0,67.0
93,11,22,2,0,0,76.0
93,9,24,2,0,0,64.0
92,93,26,2,0,0,76.0
92,84,14,2,0,0,95.5
92,79,16,2,0,0,32.5
92,72,18,2,0,0,58.0
92,69,20,2,0,0,97.0
92,68,22,2,0,0,119.5
92,66,24,2,0,0,94.0
92,56,28,2,0,0,94.0
92,53,30,2,0,0,92.5
92,50,32,2,0,0,50.5
92,49,34,2,0,0,40.0
92,42,36,2,0,0,109.0
92,41,38,2,0,0,121.0
92,32,40,2,0,0,76.0
92,14,42,2,0,0,103.0
92,12,44,2,0,0,70.0
91,98,47,2,0,0,67.0
91,85,24,2,0,0,40.0
91,84,19,2,0,0,79.0
91,75,21,2,0,0,95.5
91,67,26,2,0,0,56.5
91,53,28,2,0,0,26.5
91,37,31,2,0,0,92.5
91,34,33,2,0,0,86.5
91,30,37,2,0,0,25.0
91,17,35,2,0,0,103.0
91,11,39,2,0,0,68.5
91,9,41,2,0,0,61.0
91,8,43,2,0,0,38.5
91,0,49,2,0,0,91.0
90,86,15,2,0,0,98.5
90,79,18,2,0,0,97.0
90,73,20,2,0,0,115.0
90,62,22,2,0,0,107.5
90,60,27,2,0,0,35.5
90,57,25,2,0,0,101.5
90,51,29,2,0,0,118.0
90,49,31,2,0,0,79.0
90,47,33,2,0,0,74.5
90,38,35,2,0,0,77.5
90,32,37,2,0,0,115.0
90,30,39,2,0,0,77.5
90,27,41,2,0,0,50.5
90,19,43,2,0,0,73.0
90,17,45,2,0,0,67.0
90,8,47,2,0,0,107.5
90,2,49,2,0,0,34.0
89,93,28,2,0,0,98.5
89,91,45,2,0,0,74.5
89,77,25,2,0,0,122.5
89,75,30,2,0,0,50.5
89,74,32,2,0,0,38.5
89,72,34,2,0,0,49.0
89,49,36,2,0,0,112.0
89,40,38,2,0,0,44.5
89,37,40,2,0,0,110.5
89,35,42,2,0,0,35.5
89,3,47,2,0,0,47.5
88,99,41,2,0,0,70.0
88,92,46,2,0,0,29.5
88,75,23,2,0,0,59.5
